scope,mode,label,min_fair,multiplier,min_prob,n_bets,wins,final_capital,roi_pct
overall,weighted,combined,,1.1,0.4,352,194,165.36000000000024,65.36000000000024
overall,weighted,combined,,1.1,0.35,378,201,164.85000000000025,64.85000000000025
overall,weighted,combined,,1.05,0.35,409,216,163.0300000000003,63.03000000000032
overall,weighted,combined,,1.05,0.4,381,207,160.14000000000033,60.14000000000033
overall,weighted,combined,,1.1,0.45,309,177,160.02000000000018,60.02000000000018
overall,weighted,combined,,1.15,0.35,341,178,159.54000000000022,59.54000000000021
overall,unweighted,combined,1.4,1.05,0.4,330,177,159.33000000000024,59.33000000000024
overall,weighted,combined,,1.15,0.4,316,171,159.0500000000002,59.05000000000021
overall,unweighted,combined,1.4,1.05,0.35,356,184,158.82000000000025,58.82000000000025
overall,unweighted,combined,1.4,1.05,0.45,285,160,155.9900000000002,55.99000000000021
overall,weighted,combined,,1.05,0.45,335,189,155.20000000000027,55.20000000000027
overall,weighted,combined,,1.2,0.35,307,158,153.91000000000022,53.910000000000224
overall,weighted,combined,,1.1,0.5,249,150,152.8500000000002,52.85000000000019
overall,weighted,combined,,1.2,0.4,284,151,151.4200000000002,51.42000000000021
overall,weighted,combined,,1.15,0.45,278,155,151.2300000000002,51.23000000000019
overall,unweighted,combined,1.4,1.15,0.35,209,105,151.16000000000017,51.160000000000174
overall,weighted,combined,,1.05,0.5,272,162,151.03000000000026,51.03000000000025
overall,unweighted,combined,1.5,1.05,0.4,303,156,149.98000000000025,49.980000000000246
overall,weighted,combined,,1.25,0.35,262,133,149.88000000000022,49.88000000000022
overall,unweighted,combined,1.4,1.05,0.5,224,133,149.8200000000002,49.82000000000019
label:combined,weighted,combined,,1.1,0.4,352,194,165.36000000000024,65.36000000000024
label:combined,weighted,combined,,1.1,0.35,378,201,164.85000000000025,64.85000000000025
label:combined,weighted,combined,,1.05,0.35,409,216,163.0300000000003,63.03000000000032
label:combined,weighted,combined,,1.05,0.4,381,207,160.14000000000033,60.14000000000033
label:combined,weighted,combined,,1.1,0.45,309,177,160.02000000000018,60.02000000000018
overall_n_bets>=30,weighted,combined,,1.1,0.4,352,194,165.36000000000024,65.36000000000024
overall_n_bets>=30,weighted,combined,,1.1,0.35,378,201,164.85000000000025,64.85000000000025
overall_n_bets>=30,weighted,combined,,1.05,0.35,409,216,163.0300000000003,63.03000000000032
overall_n_bets>=30,weighted,combined,,1.05,0.4,381,207,160.14000000000033,60.14000000000033
overall_n_bets>=30,weighted,combined,,1.1,0.45,309,177,160.02000000000018,60.02000000000018
overall_n_bets>=30,weighted,combined,,1.15,0.35,341,178,159.54000000000022,59.54000000000021
overall_n_bets>=30,unweighted,combined,1.4,1.05,0.4,330,177,159.33000000000024,59.33000000000024
overall_n_bets>=30,weighted,combined,,1.15,0.4,316,171,159.0500000000002,59.05000000000021
overall_n_bets>=30,unweighted,combined,1.4,1.05,0.35,356,184,158.82000000000025,58.82000000000025
overall_n_bets>=30,unweighted,combined,1.4,1.05,0.45,285,160,155.9900000000002,55.99000000000021
overall_n_bets>=30,weighted,combined,,1.05,0.45,335,189,155.20000000000027,55.20000000000027
overall_n_bets>=30,weighted,combined,,1.2,0.35,307,158,153.91000000000022,53.910000000000224
overall_n_bets>=30,weighted,combined,,1.1,0.5,249,150,152.8500000000002,52.85000000000019
overall_n_bets>=30,weighted,combined,,1.2,0.4,284,151,151.4200000000002,51.42000000000021
overall_n_bets>=30,weighted,combined,,1.15,0.45,278,155,151.2300000000002,51.23000000000019
overall_n_bets>=30,unweighted,combined,1.4,1.15,0.35,209,105,151.16000000000017,51.160000000000174
overall_n_bets>=30,weighted,combined,,1.05,0.5,272,162,151.03000000000026,51.03000000000025
overall_n_bets>=30,unweighted,combined,1.5,1.05,0.4,303,156,149.98000000000025,49.980000000000246
overall_n_bets>=30,weighted,combined,,1.25,0.35,262,133,149.88000000000022,49.88000000000022
overall_n_bets>=30,unweighted,combined,1.4,1.05,0.5,224,133,149.8200000000002,49.82000000000019
