feature,importance
CrdY,0.9166669
goals_percentile,0.8934991
Age,0.7161605
goals_vs_avg,0.6682331
# Pl,0.57479125
SoT,0.5388556
goals_per_shot_on_target,0.51893985
shot_accuracy,0.509955
year,0.4981758
PK,0.4810325
CrdR,0.43693003
penalty_conversion,0.37432626
possession_percentile,0.2700637
G+A-PK,0.2456934
shots_vs_avg,0.23938854
PKatt,0.2382617
G/SoT,0.20774104
shots_percentile,0.1521025
Poss,0.13006835
SoT/90,0.11826822
shots_on_target_per_game,0.112402156
goals_vs_median,0.10238987
Sh,0.09186805
shots_per_game_75,0.08205322
Gls,0.07757624
goals_per_game_season_avg,0.07298188
goals_per_game_median,0.072713114
goals_per_shot,0.07198226
Dist,0.06583091
possession_score_25,0.061255943
possession_score,0.060525298
Ast,0.059173673
possession_score_median,0.058764827
Attendance,0.056195464
assist_to_goal_ratio,0.05004075
SoT%,0.047851488
G-PK,0.044414915
shots_per_game_season_avg,0.042324428
goals_per_game_75,0.030351177
shots_per_game_median,0.01977904
possession_score_75,0.019115014
goals_per_game,0.017510112
Sh/90,0.01641631
G+A,0.016228106
possession_vs_avg,0.014466539
goals_per_game_25,0.013305016
assists_per_game,0.012477373
possession_score_season_avg,0.009533942
G/Sh,0.009421195
non_penalty_goals_per_game,0.0065458505
shots_per_game,0.0065276218
goals_assists_per_game,0.0038631482
shots_per_game_25,0.0033482017
Min,0.0
90s,0.0
MP,0.0
Starts,0.0
starts_ratio,0.0
minutes_per_game,0.0
historical_goals_ratio,0.0
historical_win_rate,0.0
years_since_winner,0.0
recent_performance,0.0
historical_top3_rate,0.0
recent_contender,0.0
