2023-08-19 Inter vs Monza: combined_future_rows=760, features_future_rows=760
2023-08-19 Genoa vs Fiorentina: combined_future_rows=760, features_future_rows=760
2023-08-19 Empoli vs Verona: combined_future_rows=760, features_future_rows=760
2023-08-19 Frosinone vs Napoli: combined_future_rows=760, features_future_rows=760
2023-08-20 Roma vs Salernitana: combined_future_rows=756, features_future_rows=756
2023-08-20 Sassuolo vs Atalanta: combined_future_rows=756, features_future_rows=756
2023-08-20 Lecce vs Lazio: combined_future_rows=756, features_future_rows=756
2023-08-20 Udinese vs Juventus: combined_future_rows=756, features_future_rows=756
2023-08-21 Torino vs Cagliari: combined_future_rows=752, features_future_rows=752
2023-08-21 Bologna vs Milan: combined_future_rows=752, features_future_rows=752
2023-08-26 Verona vs Roma: combined_future_rows=750, features_future_rows=750
2023-08-26 Milan vs Torino: combined_future_rows=750, features_future_rows=750
2023-08-26 Monza vs Empoli: combined_future_rows=750, features_future_rows=750
2023-08-26 Frosinone vs Atalanta: combined_future_rows=750, features_future_rows=750
2023-08-27 Napoli vs Sassuolo: combined_future_rows=746, features_future_rows=746
2023-08-27 Juventus vs Bologna: combined_future_rows=746, features_future_rows=746
2023-08-27 Fiorentina vs Lecce: combined_future_rows=746, features_future_rows=746
2023-08-27 Lazio vs Genoa: combined_future_rows=746, features_future_rows=746
2023-08-28 Salernitana vs Udinese: combined_future_rows=742, features_future_rows=742
2023-08-28 Cagliari vs Inter: combined_future_rows=742, features_future_rows=742
2023-09-01 Sassuolo vs Verona: combined_future_rows=740, features_future_rows=740
2023-09-01 Roma vs Milan: combined_future_rows=740, features_future_rows=740
2023-09-02 Napoli vs Lazio: combined_future_rows=738, features_future_rows=738
2023-09-02 Atalanta vs Monza: combined_future_rows=738, features_future_rows=738
2023-09-02 Udinese vs Frosinone: combined_future_rows=738, features_future_rows=738
2023-09-02 Bologna vs Cagliari: combined_future_rows=738, features_future_rows=738
2023-09-03 Inter vs Fiorentina: combined_future_rows=734, features_future_rows=734
2023-09-03 Torino vs Genoa: combined_future_rows=734, features_future_rows=734
2023-09-03 Empoli vs Juventus: combined_future_rows=734, features_future_rows=734
2023-09-03 Lecce vs Salernitana: combined_future_rows=734, features_future_rows=734
2023-09-16 Genoa vs Napoli: combined_future_rows=730, features_future_rows=730
2023-09-16 Juventus vs Lazio: combined_future_rows=730, features_future_rows=730
2023-09-16 Inter vs Milan: combined_future_rows=730, features_future_rows=730
2023-09-17 Roma vs Empoli: combined_future_rows=727, features_future_rows=727
2023-09-17 Fiorentina vs Atalanta: combined_future_rows=727, features_future_rows=727
2023-09-17 Monza vs Lecce: combined_future_rows=727, features_future_rows=727
2023-09-17 Frosinone vs Sassuolo: combined_future_rows=727, features_future_rows=727
2023-09-17 Cagliari vs Udinese: combined_future_rows=727, features_future_rows=727
2023-09-18 Salernitana vs Torino: combined_future_rows=722, features_future_rows=722
2023-09-18 Verona vs Bologna: combined_future_rows=722, features_future_rows=722
2023-09-22 Salernitana vs Frosinone: combined_future_rows=720, features_future_rows=720
2023-09-22 Lecce vs Genoa: combined_future_rows=720, features_future_rows=720
2023-09-23 Lazio vs Monza: combined_future_rows=718, features_future_rows=718
2023-09-23 Sassuolo vs Juventus: combined_future_rows=718, features_future_rows=718
2023-09-23 Milan vs Verona: combined_future_rows=718, features_future_rows=718
2023-09-24 Udinese vs Fiorentina: combined_future_rows=715, features_future_rows=715
2023-09-24 Atalanta vs Cagliari: combined_future_rows=715, features_future_rows=715
2023-09-24 Torino vs Roma: combined_future_rows=715, features_future_rows=715
2023-09-24 Bologna vs Napoli: combined_future_rows=715, features_future_rows=715
2023-09-24 Empoli vs Inter: combined_future_rows=715, features_future_rows=715
2023-09-26 Juventus vs Lecce: combined_future_rows=710, features_future_rows=710
2023-09-27 Cagliari vs Milan: combined_future_rows=709, features_future_rows=709
2023-09-27 Empoli vs Salernitana: combined_future_rows=709, features_future_rows=709
2023-09-27 Verona vs Atalanta: combined_future_rows=709, features_future_rows=709
2023-09-27 Inter vs Sassuolo: combined_future_rows=709, features_future_rows=709
2023-09-27 Lazio vs Torino: combined_future_rows=709, features_future_rows=709
2023-09-27 Napoli vs Udinese: combined_future_rows=709, features_future_rows=709
2023-09-28 Frosinone vs Fiorentina: combined_future_rows=703, features_future_rows=703
2023-09-28 Genoa vs Roma: combined_future_rows=703, features_future_rows=703
2023-09-28 Monza vs Bologna: combined_future_rows=703, features_future_rows=703
2023-09-30 Lecce vs Napoli: combined_future_rows=700, features_future_rows=700
2023-09-30 Milan vs Lazio: combined_future_rows=700, features_future_rows=700
2023-09-30 Salernitana vs Inter: combined_future_rows=700, features_future_rows=700
2023-10-01 Roma vs Frosinone: combined_future_rows=697, features_future_rows=697
2023-10-01 Bologna vs Empoli: combined_future_rows=697, features_future_rows=697
2023-10-01 Udinese vs Genoa: combined_future_rows=697, features_future_rows=697
2023-10-01 Atalanta vs Juventus: combined_future_rows=697, features_future_rows=697
2023-10-02 Sassuolo vs Monza: combined_future_rows=693, features_future_rows=693
2023-10-02 Torino vs Verona: combined_future_rows=693, features_future_rows=693
2023-10-02 Fiorentina vs Cagliari: combined_future_rows=693, features_future_rows=693
2023-10-06 Lecce vs Sassuolo: combined_future_rows=690, features_future_rows=690
2023-10-06 Empoli vs Udinese: combined_future_rows=690, features_future_rows=690
2023-10-07 Genoa vs Milan: combined_future_rows=688, features_future_rows=688
2023-10-07 Juventus vs Torino: combined_future_rows=688, features_future_rows=688
2023-10-07 Inter vs Bologna: combined_future_rows=688, features_future_rows=688
2023-10-08 Lazio vs Atalanta: combined_future_rows=685, features_future_rows=685
2023-10-08 Napoli vs Fiorentina: combined_future_rows=685, features_future_rows=685
2023-10-08 Cagliari vs Roma: combined_future_rows=685, features_future_rows=685
2023-10-08 Monza vs Salernitana: combined_future_rows=685, features_future_rows=685
2023-10-08 Frosinone vs Verona: combined_future_rows=685, features_future_rows=685
2023-10-21 Sassuolo vs Lazio: combined_future_rows=680, features_future_rows=680
2023-10-21 Verona vs Napoli: combined_future_rows=680, features_future_rows=680
2023-10-21 Torino vs Inter: combined_future_rows=680, features_future_rows=680
2023-10-22 Roma vs Monza: combined_future_rows=677, features_future_rows=677
2023-10-22 Bologna vs Frosinone: combined_future_rows=677, features_future_rows=677
2023-10-22 Salernitana vs Cagliari: combined_future_rows=677, features_future_rows=677
2023-10-22 Atalanta vs Genoa: combined_future_rows=677, features_future_rows=677
2023-10-22 Milan vs Juventus: combined_future_rows=677, features_future_rows=677
2023-10-23 Udinese vs Lecce: combined_future_rows=672, features_future_rows=672
2023-10-23 Fiorentina vs Empoli: combined_future_rows=672, features_future_rows=672
2023-10-27 Genoa vs Salernitana: combined_future_rows=670, features_future_rows=670
2023-10-28 Juventus vs Verona: combined_future_rows=669, features_future_rows=669
2023-10-28 Sassuolo vs Bologna: combined_future_rows=669, features_future_rows=669
2023-10-28 Lecce vs Torino: combined_future_rows=669, features_future_rows=669
2023-10-29 Cagliari vs Frosinone: combined_future_rows=666, features_future_rows=666
2023-10-29 Monza vs Udinese: combined_future_rows=666, features_future_rows=666
2023-10-29 Inter vs Roma: combined_future_rows=666, features_future_rows=666
2023-10-29 Napoli vs Milan: combined_future_rows=666, features_future_rows=666
2023-10-30 Empoli vs Atalanta: combined_future_rows=662, features_future_rows=662
2023-10-30 Lazio vs Fiorentina: combined_future_rows=662, features_future_rows=662
