2024-08-17 Parma vs Fiorentina: combined_future_rows=380, features_future_rows=380
2024-08-17 Empoli vs Monza: combined_future_rows=380, features_future_rows=380
2024-08-17 Milan vs Torino: combined_future_rows=380, features_future_rows=380
2024-08-17 Genoa vs Inter: combined_future_rows=380, features_future_rows=380
2024-08-18 Bologna vs Udinese: combined_future_rows=376, features_future_rows=376
2024-08-18 Verona vs Napoli: combined_future_rows=376, features_future_rows=376
2024-08-18 Cagliari vs Roma: combined_future_rows=376, features_future_rows=376
2024-08-18 Lazio vs Venezia: combined_future_rows=376, features_future_rows=376
2024-08-19 Lecce vs Atalanta: combined_future_rows=372, features_future_rows=372
2024-08-19 Juventus vs Como: combined_future_rows=372, features_future_rows=372
2024-08-24 Parma vs Milan: combined_future_rows=370, features_future_rows=370
2024-08-24 Udinese vs Lazio: combined_future_rows=370, features_future_rows=370
2024-08-24 Monza vs Genoa: combined_future_rows=370, features_future_rows=370
2024-08-24 Inter vs Lecce: combined_future_rows=370, features_future_rows=370
2024-08-25 Fiorentina vs Venezia: combined_future_rows=366, features_future_rows=366
2024-08-25 Torino vs Atalanta: combined_future_rows=366, features_future_rows=366
2024-08-25 Napoli vs Bologna: combined_future_rows=366, features_future_rows=366
2024-08-25 Roma vs Empoli: combined_future_rows=366, features_future_rows=366
2024-08-26 Cagliari vs Como: combined_future_rows=362, features_future_rows=362
2024-08-26 Verona vs Juventus: combined_future_rows=362, features_future_rows=362
2024-08-30 Inter vs Atalanta: combined_future_rows=360, features_future_rows=360
2024-08-30 Venezia vs Torino: combined_future_rows=360, features_future_rows=360
2024-08-31 Bologna vs Empoli: combined_future_rows=358, features_future_rows=358
2024-08-31 Lecce vs Cagliari: combined_future_rows=358, features_future_rows=358
2024-08-31 Lazio vs Milan: combined_future_rows=358, features_future_rows=358
2024-08-31 Napoli vs Parma: combined_future_rows=358, features_future_rows=358
2024-09-01 Fiorentina vs Monza: combined_future_rows=354, features_future_rows=354
2024-09-01 Genoa vs Verona: combined_future_rows=354, features_future_rows=354
2024-09-01 Juventus vs Roma: combined_future_rows=354, features_future_rows=354
2024-09-01 Udinese vs Como: combined_future_rows=354, features_future_rows=354
2024-09-14 Como vs Bologna: combined_future_rows=350, features_future_rows=350
2024-09-14 Empoli vs Juventus: combined_future_rows=350, features_future_rows=350
2024-09-14 Milan vs Venezia: combined_future_rows=350, features_future_rows=350
2024-09-15 Genoa vs Roma: combined_future_rows=347, features_future_rows=347
2024-09-15 Atalanta vs Fiorentina: combined_future_rows=347, features_future_rows=347
2024-09-15 Torino vs Lecce: combined_future_rows=347, features_future_rows=347
2024-09-15 Cagliari vs Napoli: combined_future_rows=347, features_future_rows=347
2024-09-15 Monza vs Inter: combined_future_rows=347, features_future_rows=347
2024-09-16 Parma vs Udinese: combined_future_rows=342, features_future_rows=342
2024-09-16 Lazio vs Verona: combined_future_rows=342, features_future_rows=342
2024-09-20 Cagliari vs Empoli: combined_future_rows=340, features_future_rows=340
2024-09-20 Verona vs Torino: combined_future_rows=340, features_future_rows=340
2024-09-21 Venezia vs Genoa: combined_future_rows=338, features_future_rows=338
2024-09-21 Juventus vs Napoli: combined_future_rows=338, features_future_rows=338
2024-09-21 Lecce vs Parma: combined_future_rows=338, features_future_rows=338
2024-09-22 Inter vs Milan: combined_future_rows=335, features_future_rows=335
2024-09-22 Monza vs Bologna: combined_future_rows=335, features_future_rows=335
2024-09-22 Roma vs Udinese: combined_future_rows=335, features_future_rows=335
2024-09-22 Fiorentina vs Lazio: combined_future_rows=335, features_future_rows=335
2024-09-24 Atalanta vs Como: combined_future_rows=331, features_future_rows=331
2024-09-27 Milan vs Lecce: combined_future_rows=330, features_future_rows=330
2024-09-28 Udinese vs Inter: combined_future_rows=329, features_future_rows=329
2024-09-28 Genoa vs Juventus: combined_future_rows=329, features_future_rows=329
2024-09-28 Bologna vs Atalanta: combined_future_rows=329, features_future_rows=329
2024-09-29 Empoli vs Fiorentina: combined_future_rows=326, features_future_rows=326
