Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Time_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie,bookie_gap
2024-08-17,Parma,Fiorentina,0.1595967338609728,0.2238405879138536,0.6165626782251735,Away,0.6165626782251735,A,17:30:00,D,3.5,3.2,2.2,3.4,3.4,2.2,3.2,3.4,2.2,3.37,3.43,2.25,3.3,3.4,2.2,both,2025-09-06 17:30:00,1,A,False,0,0.0,1.6218951216421051,2.25,PSA,0.6281048783578949
2024-08-17,Empoli,Monza,0.2909258327981829,0.2377416358927644,0.4713325313090526,Away,0.4713325313090526,A,19:45:00,D,2.5,3.2,3.0,2.5,3.1,3.1,2.4,3.2,3.0,2.53,3.13,3.14,2.5,3.1,3.1,both,2025-09-06 19:45:00,3,A,False,0,0.0,2.1216443457078085,3.14,PSA,1.0183556542921917
2024-08-18,Bologna,Udinese,0.6515783489898898,0.2186243486362222,0.1297973023738881,Home,0.6515783489898898,H,17:30:00,D,1.91,3.4,4.33,1.85,3.3,4.75,1.9,3.3,4.33,1.95,3.29,4.57,1.95,3.25,4.33,both,2025-09-06 17:30:00,5,H,False,0,0.0,1.5347348504600429,1.95,PSH,0.4152651495399571
2024-08-18,Verona,Napoli,0.155634158243248,0.2357427621055348,0.6086230796512171,Away,0.6086230796512171,A,17:30:00,H,4.75,3.6,1.75,4.75,3.6,1.75,4.4,3.6,1.8,4.99,3.67,1.78,4.5,3.7,1.8,both,2025-09-06 17:30:00,6,A,False,0,0.0,1.6430530379706745,1.8,BWA,0.15694696202932557
2024-08-18,Cagliari,Roma,0.1702008497674083,0.2591525362977029,0.5706466139348888,Away,0.5706466139348888,A,19:45:00,D,4.1,3.4,1.95,4.0,3.5,1.95,3.7,3.5,2.0,4.04,3.53,1.99,3.9,3.4,2.0,both,2025-09-06 19:45:00,7,A,False,0,0.0,1.7523980263450765,2.0,BWA,0.24760197365492354
2024-08-18,Lazio,Venezia,0.674366030462774,0.2200058294501826,0.1056281400870434,Home,0.674366030462774,H,19:45:00,H,1.48,4.1,7.5,1.44,4.5,7.5,1.49,4.2,6.5,1.48,4.46,7.29,1.44,4.4,7.5,both,2025-09-06 19:45:00,8,H,True,1,0.125,1.4828742178987937,1.49,BWH,0.0071257821012062905
2024-08-19,Lecce,Atalanta,0.1206145056871732,0.1926180254644989,0.6867674688483278,Away,0.6867674688483278,A,17:30:00,A,4.2,3.7,1.85,4.2,3.6,1.87,4.1,3.6,1.87,4.44,3.62,1.88,4.2,3.7,1.85,both,2025-09-06 17:30:00,9,A,True,2,0.2222222222222222,1.456096925611439,1.88,PSA,0.4239030743885608
2024-08-24,Udinese,Lazio,0.1419884742931298,0.2054072332717545,0.6526042924351158,Away,0.6526042924351158,A,17:30:00,H,3.3,3.1,2.35,3.4,3.1,2.4,3.1,3.1,2.4,3.38,3.11,2.4,3.2,3.1,2.4,both,2025-09-06 17:30:00,12,A,False,3,0.25,1.5323221308714017,2.4,BFA,0.8676778691285982
2024-08-24,Monza,Genoa,0.4019571841195658,0.2927028217600007,0.3053399941204334,Home,0.4019571841195658,H,19:45:00,A,2.6,3.1,2.88,2.63,3.1,2.9,2.55,3.1,2.9,2.68,3.11,2.96,2.62,3.1,2.88,both,2025-09-06 19:45:00,13,H,False,3,0.2307692307692307,2.487827160473243,2.68,PSH,0.19217283952675723
2024-08-26,Cagliari,Como,0.3308553835772748,0.3083310639411384,0.3608135524815866,Away,0.3608135524815866,A,17:30:00,D,2.1,3.4,3.4,2.1,3.4,3.5,2.05,3.4,3.5,2.13,3.43,3.66,2.1,3.5,3.5,both,2025-09-06 17:30:00,19,A,False,5,0.2631578947368421,2.771514520788498,3.66,PSA,0.8884854792115022
