Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,sim_source,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Date_str,Time_str,DateTime_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie
2023-08-19,Empoli,Verona,0.4238316706951846,0.3069875197165829,0.2691808095882324,Home,0.4238316706951846,simulation_2023_2024_predictions.csv,H,17:30:00,A,2.25,3.2,3.3,,,,2.35,3.25,3.1,2.3,3.25,3.2,,,,2.3,3.3,3.44,2.25,3.0,2.88,both,2023-08-19,17:30:00,2023-08-19 17:30:00,1,H,False,0,0.0,2.3594272659231965,2.35,BWH
2023-08-19,Frosinone,Napoli,0.1616682145762263,0.2166658255560848,0.6216659598676888,Away,0.6216659598676888,simulation_2023_2024_predictions.csv,A,17:30:00,A,8.5,5.0,1.36,,,,8.25,5.0,1.36,8.25,5.25,1.37,,,,8.85,5.25,1.37,8.5,4.5,1.25,both,2023-08-19,17:30:00,2023-08-19 17:30:00,2,A,True,1,0.5,1.6085809173351446,1.37,IWA
2023-08-19,Genoa,Fiorentina,0.1407457935406788,0.1947676657713197,0.6644865406880014,Away,0.6644865406880014,simulation_2023_2024_predictions.csv,A,19:45:00,A,3.4,3.25,2.2,,,,3.25,3.3,2.25,3.35,3.35,2.2,,,,3.54,3.36,2.23,3.0,3.1,2.15,both,2023-08-19,19:45:00,2023-08-19 19:45:00,3,A,True,2,0.6666666666666666,1.504921377285704,2.25,BWA
2023-08-19,Inter,Monza,0.6471558784087373,0.2248918441170475,0.1279522774742151,Home,0.6471558784087373,simulation_2023_2024_predictions.csv,H,19:45:00,H,1.4,5.0,7.0,,,,1.39,5.0,7.25,1.43,4.7,7.5,,,,1.39,5.1,8.76,1.3,4.5,7.0,both,2023-08-19,19:45:00,2023-08-19 19:45:00,4,H,True,3,0.75,1.5452227714578677,1.43,IWH
2023-08-20,Roma,Salernitana,0.5793873409391747,0.2774727784235293,0.1431398806372958,Home,0.5793873409391747,simulation_2023_2024_predictions.csv,H,17:30:00,D,1.53,4.0,6.5,,,,1.53,4.0,6.5,1.55,3.95,6.5,,,,1.53,4.18,7.16,1.44,3.75,6.0,both,2023-08-20,17:30:00,2023-08-20 17:30:00,5,H,False,3,0.6,1.7259610787819788,1.55,IWH
2023-08-20,Sassuolo,Atalanta,0.1749093004241469,0.2120480576315335,0.6130426419443196,Away,0.6130426419443196,simulation_2023_2024_predictions.csv,A,17:30:00,A,3.5,3.4,2.1,,,,3.25,3.6,2.1,3.35,3.6,2.1,,,,3.39,3.63,2.18,3.2,3.3,1.95,both,2023-08-20,17:30:00,2023-08-20 17:30:00,6,A,True,4,0.6666666666666666,1.6312078990596977,2.18,PSA
2023-08-20,Lecce,Lazio,0.1813290105309646,0.2164149232292189,0.6022560662398164,Away,0.6022560662398164,simulation_2023_2024_predictions.csv,A,19:45:00,H,3.6,3.3,2.1,,,,3.7,3.25,2.05,3.65,3.3,2.1,,,,3.87,3.31,2.14,3.3,3.1,2.0,both,2023-08-20,19:45:00,2023-08-20 19:45:00,7,A,False,4,0.5714285714285714,1.6604232917793529,2.14,PSA
2023-08-20,Udinese,Juventus,0.1408120460643183,0.1947647220260883,0.6644232319095933,Away,0.6644232319095933,simulation_2023_2024_predictions.csv,A,19:45:00,A,4.33,3.6,1.83,,,,4.2,3.5,1.88,4.2,3.4,1.95,,,,4.64,3.66,1.85,3.9,3.2,1.8,both,2023-08-20,19:45:00,2023-08-20 19:45:00,8,A,True,5,0.625,1.5050647719314967,1.95,IWA
2023-08-21,Torino,Cagliari,0.508933591348989,0.3319342042512744,0.1591322043997365,Home,0.508933591348989,simulation_2023_2024_predictions.csv,H,17:30:00,D,1.67,3.75,5.25,,,,1.68,3.7,5.25,1.67,3.75,5.5,,,,1.67,3.86,5.78,1.65,3.3,4.6,both,2023-08-21,17:30:00,2023-08-21 17:30:00,9,H,False,5,0.5555555555555556,1.9648928995812227,1.68,BWH
2023-08-21,Bologna,Milan,0.1357557672654198,0.1950485542012432,0.6691956785333368,Away,0.6691956785333368,simulation_2023_2024_predictions.csv,A,19:45:00,A,4.0,3.4,1.95,,,,3.7,3.4,2.0,3.85,3.45,2.0,,,,4.02,3.52,2.01,3.6,3.25,1.85,both,2023-08-21,19:45:00,2023-08-21 19:45:00,10,A,True,6,0.6,1.4943312278879035,2.01,PSA
