model,train_up_to,test_year,rmse,spearman,kendall,hit1
Linear,2014,2015,7.517896045412959,0.8688021898246626,0.7038153430777868,1
Ridge,2014,2015,7.184400754559206,0.8828434373369803,0.727275854513713,1
Lasso,2014,2015,7.176600525836289,0.9039053086054571,0.7390061102316761,1
RF,2014,2015,8.421152487072439,0.8494954744952257,0.6803548316418605,1
XGB,2014,2015,8.340606970436088,0.8600264101294641,0.7038153430777868,1
LGB,2014,2015,9.729937443387758,0.8433524287085867,0.6803548316418605,1
Linear,2015,2016,9.239591379244228,0.857882167997937,0.6997042637035166,0
Ridge,2015,2016,8.104511119276953,0.8547813890774626,0.6865022964638275,0
Lasso,2015,2016,7.388418512531707,0.8423782733955646,0.6733003292241386,0
RF,2015,2016,7.606572176596879,0.8713188766533263,0.6997042637035166,0
XGB,2015,2016,8.517029957284088,0.805168926349871,0.6204924602653826,0
LGB,2015,2016,10.122617458760997,0.8206728209522433,0.6468963947447606,0
Linear,2016,2017,8.204321496415783,0.9263157894736841,0.7777777777777777,0
Ridge,2016,2017,8.050529432458578,0.9210526315789472,0.7660818713450293,0
Lasso,2016,2017,8.259566136443237,0.9368421052631579,0.8011695906432749,0
RF,2016,2017,8.71108761110925,0.9456140350877192,0.8245614035087718,1
XGB,2016,2017,8.408840004270498,0.9280701754385964,0.8011695906432749,1
LGB,2016,2017,11.374649220728845,0.856140350877193,0.7076023391812866,0
Linear,2017,2018,300.2789261489623,-0.8169614164262228,-0.6689328505057632,0
Ridge,2017,2018,367.56880198881476,0.9317496660759832,0.814640996160484,0
Lasso,2017,2018,477.39809905453825,0.9162377404476372,0.7881486060414438,0
RF,2017,2018,12.815557819393671,0.9162377404476372,0.7881486060414438,0
XGB,2017,2018,22.88090318311302,0.8014494907978766,0.6424404603867231,1
LGB,2017,2018,23.784956987546106,0.8117907745501074,0.629194265327203,0
Linear,2018,2019,6.808890833093183,0.9069010083263669,0.7701525897130047,0
Ridge,2018,2019,6.731738620247141,0.912931937725046,0.7808491534590185,0
Lasso,2018,2019,6.7885373743653235,0.899362346578018,0.7487594622209768,0
RF,2018,2019,8.190324016789567,0.8865466216058251,0.7273663347289488,0
XGB,2018,2019,8.574741664174105,0.8888082201303296,0.7166697709829348,0
LGB,2018,2019,8.69191655586594,0.8910698186548344,0.7380628984749628,0
Linear,2019,2020,7.1751892689989,0.835721804089162,0.656058318887078,0
Ridge,2019,2020,7.187729929206361,0.8507934326570458,0.6880611637108378,0
Lasso,2019,2020,7.135311979951235,0.8545613397990167,0.7093963935933444,0
RF,2019,2020,6.565329675652245,0.8907332483619381,0.7734020832408642,1
XGB,2019,2020,7.33857078925738,0.8658650612249297,0.7093963935933444,1
LGB,2019,2020,7.4845272989979925,0.8749080383656599,0.7200640085345977,1
Linear,2020,2021,8.681453148255466,0.8523738998436471,0.6805210283153192,1
Ridge,2020,2021,8.323539120640355,0.8541313718020876,0.6923561766338466,1
Lasso,2020,2021,7.470529243650457,0.865554939531951,0.6923561766338466,0
RF,2020,2021,9.041838643364056,0.8681911474696117,0.7278616215894284,1
XGB,2020,2021,8.899979792993923,0.8541313718020876,0.668685879996792,1
LGB,2020,2021,7.899080427788397,0.8998256427215409,0.751531918226483,1
Linear,2021,2022,8.311461615608138,0.8894632845388815,0.7302789622330439,0
Ridge,2021,2022,8.246546219865188,0.8894632845388815,0.7302789622330439,0
Lasso,2021,2022,7.354637198163823,0.9028930437711759,0.7565953212324328,0
RF,2021,2022,7.232772731732201,0.9390500878581222,0.8355443982305998,0
XGB,2021,2022,10.208625252719784,0.8150830795600204,0.6776462442342658,0
LGB,2021,2022,8.468136194855065,0.9235542118208594,0.7960698597315162,0
Linear,2022,2023,5.580388552976521,0.9664430818115963,0.8655784229010972,1
Ridge,2022,2023,5.563088909598613,0.9664430818115963,0.8655784229010972,1
Lasso,2022,2023,5.315849814049387,0.9767683284121476,0.8918080720799183,1
RF,2022,2023,6.365342467002244,0.9685081311317065,0.8786932474905078,0
XGB,2022,2023,6.730070606223359,0.937532391330053,0.8262339491328654,1
LGB,2022,2023,7.046035962848822,0.9251420954093913,0.7868894753646338,1
