1,Milan,19,13,4,2,,,,43,2.26,19,11,6,2,,,,39,2.05
2,Inter,19,15,3,1,,,,48,2.53,19,8,4,7,,,,28,1.47
3,Napoli,19,12,4,3,,,,40,2.11,19,9,3,7,,,,30,1.58
4,Udinese,19,11,4,4,,,,37,1.95,19,9,2,8,,,,29,1.53
5,Lazio,19,13,3,3,,,,42,2.21,19,7,3,9,,,,24,1.26
6,Roma,19,11,5,3,,,,38,2.0,19,7,4,8,,,,25,1.32
7,Juventus,19,8,6,5,,,,30,1.58,19,7,7,5,,,,28,1.47
8,Palermo,19,11,3,5,,,,36,1.89,19,6,2,11,,,,20,1.05
9,Fiorentina,19,9,6,4,,,,33,1.74,19,3,9,7,,,,18,0.95
10,Genoa,19,10,3,6,,,,33,1.74,19,4,6,9,,,,18,0.95
11,Chievo,19,6,8,5,,,,26,1.37,19,5,5,9,,,,20,1.05
12,Parma,19,7,7,5,,,,28,1.47,19,4,6,9,,,,18,0.95
13,Catania,19,11,4,4,,,,37,1.95,19,1,6,12,,,,9,0.47
14,Cagliari,19,8,3,8,,,,27,1.42,19,4,6,9,,,,18,0.95
15,Cesena,19,7,5,7,,,,26,1.37,19,4,5,10,,,,17,0.89
16,Bologna,19,7,7,5,,,,28,1.47,19,4,5,10,,,,17,0.89
17,Lecce,19,7,5,7,,,,26,1.37,19,4,3,12,,,,15,0.79
18,Sampdoria,19,5,6,8,,,,21,1.11,19,3,6,10,,,,15,0.79
19,Brescia,19,6,5,8,,,,23,1.21,19,1,6,12,,,,9,0.47
20,Bari,19,2,6,11,,,,12,0.63,19,3,3,13,,,,12,0.63
