Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
Atalanta,31,38.0,43,,167,,,4.39,,0.25,,2,3
Bologna,28,38.0,28,,166,,,4.37,,0.14,,5,6
Cagliari,31,38.0,34,,139,,,3.66,,0.21,,5,8
Catania,34,38.0,34,,166,,,4.37,,0.19,,3,3
Chievo,36,38.0,33,,149,,,3.92,,0.18,,6,7
Fiorentina,31,38.0,65,,189,,,4.97,,0.29,,11,11
Genoa,31,38.0,39,,150,,,3.95,,0.23,,5,9
Hellas Verona,29,38.0,60,,173,,,4.55,,0.3,,8,8
Inter,28,38.0,59,,205,,,5.39,,0.29,,0,1
Juventus,26,38.0,78,,243,,,6.39,,0.3,,4,4
Lazio,30,38.0,51,,198,,,5.21,,0.22,,7,8
Livorno,31,38.0,37,,154,,,4.05,,0.21,,4,4
Milan,32,38.0,55,,225,,,5.92,,0.23,,3,5
Napoli,30,38.0,76,,258,,,6.79,,0.27,,7,9
Parma,30,38.0,56,,172,,,4.53,,0.31,,3,6
Roma,29,38.0,70,,239,,,6.29,,0.27,,6,6
Sampdoria,33,38.0,46,,195,,,5.13,,0.22,,4,5
Sassuolo,38,38.0,43,,170,,,4.47,,0.21,,7,8
Torino,26,38.0,57,,192,,,5.05,,0.27,,5,8
Udinese,27,38.0,45,,177,,,4.66,,0.22,,6,8
