1,Juventus,19,16,1,2,45,8,37,49,2.58,31.8,13.2,18.6,0.98,19,14,4,1,41,16,25,46,2.42,23.5,14.2,9.3,0.49
2,Napoli,19,14,3,2,43,18,25,45,2.37,39.3,12.9,26.4,1.39,19,14,4,1,34,11,23,46,2.42,27.9,14.2,13.6,0.72
3,Roma,19,11,2,6,31,19,12,35,1.84,35.2,18.0,17.2,0.91,19,12,6,1,30,9,21,42,2.21,28.2,19.3,8.9,0.47
4,Inter,19,11,5,3,37,16,21,38,2.0,30.4,15.8,14.6,0.77,19,9,7,3,29,14,15,34,1.79,26.4,21.4,5.0,0.26
5,Lazio,19,9,5,5,45,21,24,32,1.68,31.4,20.0,11.4,0.6,19,12,4,3,44,28,16,40,2.11,32.3,23.9,8.5,0.45
6,Milan,19,10,5,4,25,16,9,35,1.84,28.6,15.0,13.6,0.72,19,8,5,6,31,26,5,29,1.53,22.6,21.9,0.7,0.04
7,Atalanta,19,9,6,4,30,18,12,33,1.74,31.2,18.7,12.5,0.66,19,7,6,6,27,21,6,27,1.42,32.9,17.9,15.0,0.79
8,Fiorentina,19,8,5,6,27,22,5,29,1.53,29.0,19.3,9.7,0.51,19,8,4,7,27,24,3,28,1.47,25.5,21.5,4.0,0.21
9,Torino,19,8,6,5,29,18,11,30,1.58,25.9,21.6,4.3,0.23,19,5,9,5,25,28,-3,24,1.26,20.1,25.5,-5.4,-0.28
10,Sampdoria,19,12,3,4,36,20,16,39,2.05,31.1,26.4,4.7,0.25,19,4,3,12,20,40,-20,15,0.79,22.4,33.9,-11.5,-0.61
11,Sassuolo,19,4,7,8,11,22,-11,19,1.0,21.7,20.0,1.7,0.09,19,7,3,9,18,37,-19,24,1.26,24.6,28.9,-4.3,-0.23
12,Genoa,19,6,3,10,23,27,-4,21,1.11,27.2,23.2,4.0,0.21,19,5,5,9,10,16,-6,20,1.05,16.3,19.4,-3.1,-0.16
13,Chievo,19,7,6,6,22,24,-2,27,1.42,16.9,22.3,-5.4,-0.28,19,3,4,12,14,35,-21,13,0.68,17.1,32.9,-15.8,-0.83
14,Udinese,19,6,2,11,24,30,-6,20,1.05,21.9,21.0,0.9,0.05,19,6,2,11,24,33,-9,20,1.05,21.3,28.3,-6.9,-0.36
15,Bologna,19,6,4,9,25,26,-1,22,1.16,18.4,25.4,-7.0,-0.37,19,5,2,12,15,26,-11,17,0.89,18.2,26.0,-7.8,-0.41
16,Cagliari,19,6,3,10,18,30,-12,21,1.11,24.1,27.8,-3.7,-0.19,19,5,3,11,15,31,-16,18,0.95,15.6,31.5,-15.8,-0.83
17,SPAL,19,5,8,6,22,29,-7,23,1.21,20.6,24.3,-3.7,-0.2,19,3,6,10,17,30,-13,15,0.79,15.2,33.4,-18.2,-0.96
18,Crotone,19,6,6,7,23,25,-2,24,1.26,18.8,25.3,-6.5,-0.34,19,3,2,14,17,41,-24,11,0.58,15.8,33.3,-17.5,-0.92
19,Hellas Verona,19,5,1,13,14,35,-21,16,0.84,16.1,29.3,-13.3,-0.7,19,2,3,14,16,43,-27,9,0.47,16.9,40.8,-23.9,-1.26
20,Benevento,19,5,2,12,23,40,-17,17,0.89,24.3,37.3,-13.0,-0.68,19,1,1,17,10,44,-34,4,0.21,14.0,36.0,-22.0,-1.16
