Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,25,25.7,55.4,38,418,3420,38.0,57,38,95,52,5,9,66,,64.1,57.2,44.7,101.8,933,1920,1.5,1.0,2.5,1.37,2.37,1.69,1.18,2.86,1.5,2.68
Benevento,41,26.0,47.5,38,418,3420,38.0,32,23,55,30,2,3,79,,38.3,36.0,28.8,64.7,772,1216,0.84,0.61,1.45,0.79,1.39,1.01,0.76,1.77,0.95,1.7
Bologna,30,26.8,46.8,38,418,3420,38.0,37,18,55,35,2,3,101,,36.6,34.3,24.3,58.6,586,1344,0.97,0.47,1.45,0.92,1.39,0.96,0.64,1.6,0.9,1.54
Cagliari,29,27.1,45.3,38,418,3420,38.0,33,21,54,29,4,7,96,,39.7,34.2,27.4,61.6,464,1348,0.87,0.55,1.42,0.76,1.32,1.04,0.72,1.77,0.9,1.62
Chievo,25,30.3,44.4,38,418,3420,38.0,36,20,56,35,1,2,75,,34.1,32.5,25.2,57.7,554,1358,0.95,0.53,1.47,0.92,1.45,0.9,0.66,1.56,0.85,1.52
Crotone,29,25.6,39.9,38,418,3420,38.0,38,21,59,36,2,3,65,,34.6,32.2,23.4,55.6,472,1250,1.0,0.55,1.55,0.95,1.5,0.91,0.62,1.53,0.85,1.46
Fiorentina,27,25.0,52.6,38,418,3420,38.0,53,32,85,46,7,8,89,,54.5,48.3,37.9,86.2,737,1695,1.39,0.84,2.24,1.21,2.05,1.43,1.0,2.43,1.27,2.27
Genoa,33,27.9,46.3,38,418,3420,38.0,31,18,49,27,4,5,75,,43.5,39.6,31.9,71.5,699,1475,0.82,0.47,1.29,0.71,1.18,1.15,0.84,1.99,1.04,1.88
Hellas Verona,32,25.9,41.9,38,418,3420,38.0,30,19,49,23,7,7,98,,33.0,27.7,21.1,48.8,635,1077,0.79,0.5,1.29,0.61,1.11,0.87,0.56,1.42,0.73,1.28
Inter,22,27.6,57.1,38,418,3420,38.0,64,34,98,58,6,7,69,,56.7,51.3,43.8,95.2,947,1877,1.68,0.89,2.58,1.53,2.42,1.49,1.15,2.65,1.35,2.51
Juventus,24,29.2,57.2,38,418,3420,38.0,82,39,121,78,4,8,66,,55.3,49.4,37.9,87.2,789,1704,2.16,1.03,3.18,2.05,3.08,1.46,1.0,2.45,1.3,2.3
Lazio,24,26.5,51.1,38,418,3420,38.0,86,51,137,77,9,11,79,,63.7,55.2,45.8,101.0,915,1802,2.26,1.34,3.61,2.03,3.37,1.68,1.21,2.88,1.45,2.66
Milan,24,25.0,56.0,38,418,3420,38.0,54,28,82,50,4,6,75,,51.2,46.6,35.3,81.9,778,2016,1.42,0.74,2.16,1.32,2.05,1.35,0.93,2.28,1.23,2.15
Napoli,23,28.0,63.4,38,418,3420,38.0,73,45,118,67,6,8,58,,67.1,60.7,50.8,111.6,971,2468,1.92,1.18,3.11,1.76,2.95,1.77,1.34,3.1,1.6,2.94
Roma,27,27.4,58.0,38,418,3420,38.0,56,37,93,53,3,6,48,,63.4,58.8,46.7,105.5,938,1989,1.47,0.97,2.45,1.39,2.37,1.67,1.23,2.9,1.55,2.78
Sampdoria,27,27.0,53.6,38,418,3420,38.0,56,33,89,49,7,8,69,,53.5,47.2,35.5,82.7,614,1627,1.47,0.87,2.34,1.29,2.16,1.41,0.93,2.34,1.24,2.18
Sassuolo,28,27.2,42.9,38,418,3420,38.0,28,16,44,24,4,10,89,,46.3,38.4,27.7,66.1,640,1492,0.74,0.42,1.16,0.63,1.05,1.22,0.73,1.95,1.01,1.74
SPAL,29,26.7,44.7,38,418,3420,38.0,37,14,51,32,5,6,101,,35.8,31.1,21.5,52.5,704,1218,0.97,0.37,1.34,0.84,1.21,0.94,0.56,1.51,0.82,1.38
Torino,27,28.1,51.1,38,418,3420,38.0,53,36,89,53,0,2,78,,46.0,44.4,35.1,79.6,703,1425,1.39,0.95,2.34,1.39,2.34,1.21,0.92,2.14,1.17,2.09
Udinese,27,26.5,44.7,38,418,3420,38.0,45,27,72,38,7,7,72,,43.2,37.7,29.4,67.1,605,1364,1.18,0.71,1.89,1.0,1.71,1.14,0.77,1.91,0.99,1.77
