Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,B365H,B365D,B365A,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Bb1X2,B365>2.5,B365<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,imp_H,imp_D,imp_A,imp_over2_5,imp_under2_5,spread_max_avg_H,bookies_count,market_raw_sum,market_vig,imp_B365_H,imp_B365_D,imp_B365_A,imp_imp_diff_H,imp_imp_diff_D,imp_imp_diff_A,odds_spread_H,odds_spread_D,odds_spread_A,has_bookies_1x2
I1,2017-08-19,,Juventus,Cagliari,3,0,H,17,5,7,2,13,11,4,1,1,0,0,0,I8.csv,1.14,8.0,19.0,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.8316008316008316,0.1185031185031185,0.04989604989604989,,,,,,,True
I1,2017-08-19,,Verona,Napoli,1,3,A,12,22,4,12,7,9,3,6,2,2,0,1,I8.csv,8.0,4.75,1.4,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.11906893464637423,0.20053715308863027,0.6803939122649956,,,,,,,True
I1,2017-08-20,,Sampdoria,Benevento,2,1,H,16,18,6,7,10,10,6,7,1,2,0,0,I8.csv,1.67,3.75,5.5,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.5717651950932151,0.2546261002148451,0.17360870469193984,,,,,,,True
I1,2017-08-20,,Lazio,Spal,0,0,D,23,9,13,2,20,4,9,5,2,2,0,0,I8.csv,1.29,5.5,11.0,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.7397444519166108,0.17350369872225962,0.08675184936112981,,,,,,,True
I1,2017-08-20,,Inter,Fiorentina,3,0,H,16,15,6,3,7,13,9,7,0,1,0,0,I8.csv,1.57,4.0,6.0,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.6045340050377834,0.23727959697732998,0.15818639798488665,,,,,,,True
I1,2017-08-20,,Crotone,Milan,0,3,A,6,19,2,10,9,14,2,9,1,3,1,0,I8.csv,6.0,4.0,1.57,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.15818639798488665,0.23727959697732998,0.6045340050377834,,,,,,,True
I1,2017-08-20,,Sassuolo,Genoa,0,0,D,14,12,3,4,16,28,2,5,2,3,0,0,I8.csv,2.2,3.25,3.5,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.4337464251668255,0.29361296472831266,0.27264061010486174,,,,,,,True
I1,2017-08-20,,Atalanta,Roma,0,1,A,14,6,6,1,14,16,4,1,1,2,0,0,I8.csv,3.2,3.3,2.3,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.29753038024304196,0.28851430811446493,0.4139553116424932,,,,,,,True
I1,2017-08-20,,Bologna,Torino,1,1,D,13,9,3,3,18,10,0,8,2,1,0,0,I8.csv,3.1,3.3,2.38,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.30845966538370906,0.28976514020893884,0.40177519440735215,,,,,,,True
I1,2017-08-20,,Udinese,Chievo,1,2,A,18,10,5,3,11,10,5,4,2,2,0,0,I8.csv,2.1,3.2,3.8,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.4527177959791511,0.29709605361131797,0.2501861504095309,,,,,,,True
