stagione,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2010-2011,Bari,34,26.9,,38,418,3420,38.0,27,18,45,22,5,8,79,7,0.71,0.47,1.18,0.58,1.05
2010-2011,Bologna,25,26.5,,38,418,3420,38.0,35,20,55,34,1,4,87,4,0.92,0.53,1.45,0.89,1.42
2010-2011,Brescia,32,28.3,,38,418,3420,38.0,34,18,52,29,5,6,104,5,0.89,0.47,1.37,0.76,1.24
2010-2011,Cagliari,22,26.2,,38,418,3420,38.0,41,28,69,40,1,2,75,0,1.08,0.74,1.82,1.05,1.79
2010-2011,Catania,29,26.8,,38,418,3420,38.0,38,21,59,35,3,3,73,7,1.0,0.55,1.55,0.92,1.47
2010-2011,Cesena,29,28.6,,38,418,3420,38.0,37,23,60,33,4,5,86,7,0.97,0.61,1.58,0.87,1.47
2010-2011,Chievo,26,28.2,,38,418,3420,38.0,37,21,58,36,1,2,97,4,0.97,0.55,1.53,0.95,1.5
2010-2011,Fiorentina,30,27.5,,38,418,3420,38.0,47,32,79,44,3,4,73,5,1.24,0.84,2.08,1.16,2.0
2010-2011,Genoa,32,27.8,,38,418,3420,38.0,42,29,71,40,2,2,69,5,1.11,0.76,1.87,1.05,1.82
2010-2011,Inter,30,29.5,,38,418,3420,38.0,68,48,116,63,5,6,56,3,1.79,1.26,3.05,1.66,2.92
2010-2011,Juventus,32,27.4,,38,418,3420,38.0,56,35,91,52,4,4,74,5,1.47,0.92,2.39,1.37,2.29
2010-2011,Lazio,25,28.0,,38,418,3420,38.0,52,40,92,48,4,5,73,7,1.37,1.05,2.42,1.26,2.32
2010-2011,Lecce,26,27.4,,38,418,3420,38.0,45,31,76,43,2,5,89,9,1.18,0.82,2.0,1.13,1.95
2010-2011,Milan,34,29.2,,38,418,3420,38.0,63,47,110,58,5,6,69,5,1.66,1.24,2.89,1.53,2.76
2010-2011,Napoli,24,27.7,,38,418,3420,38.0,58,45,103,51,7,10,101,5,1.53,1.18,2.71,1.34,2.53
2010-2011,Palermo,27,24.9,,38,418,3420,38.0,58,31,89,56,2,4,82,3,1.53,0.82,2.34,1.47,2.29
2010-2011,Parma,31,28.1,,38,418,3420,38.0,39,17,56,36,3,3,93,7,1.03,0.45,1.47,0.95,1.39
2010-2011,Roma,29,29.7,,38,418,3420,38.0,57,33,90,46,11,13,84,9,1.5,0.87,2.37,1.21,2.08
2010-2011,Sampdoria,30,26.0,,38,418,3420,38.0,32,13,45,25,7,8,84,5,0.84,0.34,1.18,0.66,1.0
2010-2011,Udinese,24,25.6,,38,418,3420,38.0,65,41,106,60,5,7,77,7,1.71,1.08,2.79,1.58,2.66
2011-2012,Atalanta,30,26.8,,38,418,3420,38.0,39,22,61,36,3,4,102,4,1.03,0.58,1.61,0.95,1.53
2011-2012,Bologna,27,28.1,,38,418,3420,38.0,41,25,66,39,2,3,97,3,1.08,0.66,1.74,1.03,1.68
2011-2012,Cagliari,25,26.6,,38,418,3420,38.0,35,20,55,29,6,6,83,2,0.92,0.53,1.45,0.76,1.29
2011-2012,Catania,33,27.5,,38,418,3420,38.0,46,24,70,37,9,11,82,6,1.21,0.63,1.84,0.97,1.61
2011-2012,Cesena,34,28.8,,38,418,3420,38.0,23,10,33,19,4,7,105,10,0.61,0.26,0.87,0.5,0.76
2011-2012,Chievo,26,28.0,,38,418,3420,38.0,35,22,57,32,3,5,85,1,0.92,0.58,1.5,0.84,1.42
2011-2012,Fiorentina,28,27.0,,38,418,3420,38.0,36,22,58,30,6,8,93,3,0.95,0.58,1.53,0.79,1.37
2011-2012,Genoa,29,28.3,,38,418,3420,38.0,49,29,78,44,5,6,95,11,1.29,0.76,2.05,1.16,1.92
2011-2012,Inter,30,29.7,,38,418,3420,38.0,57,39,96,49,8,11,63,4,1.5,1.03,2.53,1.29,2.32
2011-2012,Juventus,25,28.0,,38,418,3420,38.0,67,45,112,65,2,4,72,4,1.76,1.18,2.95,1.71,2.89
2011-2012,Lazio,32,29.1,,38,418,3420,38.0,54,37,91,47,7,7,81,9,1.42,0.97,2.39,1.24,2.21
2011-2012,Lecce,31,27.8,,38,418,3420,38.0,40,21,61,34,6,7,113,9,1.05,0.55,1.61,0.89,1.45
2011-2012,Milan,32,29.1,,38,418,3420,38.0,72,44,116,62,10,10,79,4,1.89,1.16,3.05,1.63,2.79
2011-2012,Napoli,25,28.3,,38,418,3420,38.0,65,40,105,61,4,9,80,5,1.71,1.05,2.76,1.61,2.66
2011-2012,Novara,32,28.7,,38,418,3420,38.0,34,17,51,28,6,7,83,6,0.89,0.45,1.34,0.74,1.18
2011-2012,Palermo,30,26.3,,38,418,3420,38.0,50,34,84,45,5,5,91,6,1.32,0.89,2.21,1.18,2.08
2011-2012,Parma,32,28.2,,38,418,3420,38.0,52,25,77,45,7,8,83,2,1.37,0.66,2.03,1.18,1.84
2011-2012,Roma,30,26.9,,38,418,3420,38.0,59,40,99,57,2,4,80,10,1.55,1.05,2.61,1.5,2.55
2011-2012,Siena,29,28.2,,38,418,3420,38.0,45,20,65,38,7,8,96,2,1.18,0.53,1.71,1.0,1.53
2011-2012,Udinese,26,26.7,,38,418,3420,38.0,51,35,86,47,4,5,88,3,1.34,0.92,2.26,1.24,2.16
2012-2013,Atalanta,35,27.7,,38,418,3420,38.0,38,25,63,33,5,5,126,12,1.0,0.66,1.66,0.87,1.53
2012-2013,Bologna,31,26.8,,38,418,3420,38.0,45,28,73,41,4,5,106,3,1.18,0.74,1.92,1.08,1.82
2012-2013,Cagliari,25,26.1,,38,408,3420,38.0,41,27,68,34,7,9,109,9,1.08,0.71,1.79,0.89,1.61
2012-2013,Catania,29,27.9,,38,418,3420,38.0,50,38,88,49,1,2,95,7,1.32,1.0,2.32,1.29,2.29
2012-2013,Chievo,35,28.6,,38,417,3420,38.0,37,24,61,32,5,6,105,4,0.97,0.63,1.61,0.84,1.47
2012-2013,Fiorentina,30,26.8,,38,418,3420,38.0,70,56,126,63,7,10,93,3,1.84,1.47,3.32,1.66,3.13
2012-2013,Genoa,37,27.7,,38,418,3420,38.0,38,31,69,36,2,4,105,4,1.0,0.82,1.82,0.95,1.76
2012-2013,Inter,36,28.2,,38,418,3420,38.0,52,42,94,48,4,5,87,4,1.37,1.11,2.47,1.26,2.37
2012-2013,Juventus,28,27.8,,38,418,3420,38.0,71,49,120,63,8,11,77,1,1.87,1.29,3.16,1.66,2.95
2012-2013,Lazio,28,29.1,,38,418,3420,38.0,48,30,78,41,7,9,91,8,1.26,0.79,2.05,1.08,1.87
2012-2013,Milan,29,26.9,,38,418,3420,38.0,64,36,100,54,10,11,99,7,1.68,0.95,2.63,1.42,2.37
