stagione,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
2010-2011,Bari,34,38.0,27,,130,,,3.42,,0.17,,5,8
2010-2011,Bologna,25,38.0,35,,133,,,3.5,,0.26,,1,4
2010-2011,Brescia,32,38.0,34,,159,,,4.18,,0.18,,5,6
2010-2011,Cagliari,22,38.0,41,,149,,,3.92,,0.27,,1,2
2010-2011,Catania,29,38.0,38,,156,,,4.11,,0.22,,3,3
2010-2011,Cesena,29,38.0,37,,129,,,3.39,,0.26,,4,5
2010-2011,Chievo,26,38.0,37,,167,,,4.39,,0.22,,1,2
2010-2011,Fiorentina,30,38.0,47,,186,,,4.89,,0.24,,3,4
2010-2011,Genoa,32,38.0,42,,162,,,4.26,,0.25,,2,2
2010-2011,Inter,30,38.0,68,,223,,,5.87,,0.28,,5,6
2010-2011,Juventus,32,38.0,56,,187,,,4.92,,0.28,,4,4
2010-2011,Lazio,25,38.0,52,,189,,,4.97,,0.25,,4,5
2010-2011,Lecce,26,38.0,45,,171,,,4.5,,0.25,,2,5
2010-2011,Milan,34,38.0,63,,234,,,6.16,,0.25,,5,6
2010-2011,Napoli,24,38.0,58,,199,,,5.24,,0.26,,7,10
2010-2011,Palermo,27,38.0,58,,206,,,5.42,,0.27,,2,4
2010-2011,Parma,31,38.0,39,,152,,,4.0,,0.24,,3,3
2010-2011,Roma,29,38.0,57,,187,,,4.92,,0.25,,11,13
2010-2011,Sampdoria,30,38.0,32,,131,,,3.45,,0.19,,7,8
2010-2011,Udinese,24,38.0,65,,205,,,5.39,,0.29,,5,7
2011-2012,Atalanta,30,38.0,39,,142,,,3.74,,0.25,,3,4
2011-2012,Bologna,27,38.0,41,,156,,,4.11,,0.25,,2,3
2011-2012,Cagliari,25,38.0,35,,152,,,4.0,,0.19,,6,6
2011-2012,Catania,33,38.0,46,,183,,,4.82,,0.2,,9,11
2011-2012,Cesena,34,38.0,23,,135,,,3.55,,0.14,,4,7
2011-2012,Chievo,26,38.0,35,,134,,,3.53,,0.24,,3,5
2011-2012,Fiorentina,28,38.0,36,,161,,,4.24,,0.19,,6,8
2011-2012,Genoa,29,38.0,49,,162,,,4.26,,0.27,,5,6
2011-2012,Inter,30,38.0,57,,199,,,5.24,,0.25,,8,11
2011-2012,Juventus,25,38.0,67,,264,,,6.95,,0.25,,2,4
2011-2012,Lazio,32,38.0,54,,180,,,4.74,,0.26,,7,7
2011-2012,Lecce,31,38.0,40,,140,,,3.68,,0.24,,6,7
2011-2012,Milan,32,38.0,72,,220,,,5.79,,0.28,,10,10
2011-2012,Napoli,25,38.0,65,,190,,,5.0,,0.32,,4,9
2011-2012,Novara,32,38.0,34,,153,,,4.03,,0.18,,6,7
2011-2012,Palermo,30,38.0,50,,189,,,4.97,,0.24,,5,5
2011-2012,Parma,32,38.0,52,,150,,,3.95,,0.3,,7,8
2011-2012,Roma,30,38.0,59,,213,,,5.61,,0.27,,2,4
2011-2012,Siena,29,38.0,45,,137,,,3.61,,0.28,,7,8
2011-2012,Udinese,26,38.0,51,,184,,,4.84,,0.26,,4,5
2012-2013,Atalanta,35,38.0,38,,148,,,3.89,,0.22,,5,5
2012-2013,Bologna,31,38.0,45,,165,,,4.34,,0.25,,4,5
2012-2013,Cagliari,25,38.0,41,,157,,,4.13,,0.22,,7,9
2012-2013,Catania,29,38.0,50,,155,,,4.08,,0.32,,1,2
2012-2013,Chievo,35,38.0,37,,121,,,3.18,,0.26,,5,6
2012-2013,Fiorentina,30,38.0,70,,220,,,5.79,,0.29,,7,10
2012-2013,Genoa,37,38.0,38,,160,,,4.21,,0.23,,2,4
2012-2013,Inter,36,38.0,52,,196,,,5.16,,0.24,,4,5
2012-2013,Juventus,28,38.0,71,,265,,,6.97,,0.24,,8,11
2012-2013,Lazio,28,38.0,48,,186,,,4.89,,0.22,,7,9
2012-2013,Milan,29,38.0,64,,241,,,6.34,,0.22,,10,11
2012-2013,Napoli,27,38.0,72,,235,,,6.18,,0.28,,7,10
2012-2013,Palermo,36,38.0,34,,178,,,4.68,,0.18,,2,2
2012-2013,Parma,33,38.0,44,,194,,,5.11,,0.21,,3,5
2012-2013,Pescara,39,38.0,27,,124,,,3.26,,0.2,,2,3
2012-2013,Roma,24,38.0,68,,229,,,6.03,,0.28,,5,7
2012-2013,Sampdoria,29,38.0,41,,148,,,3.89,,0.24,,6,7
2012-2013,Siena,37,38.0,35,,119,,,3.13,,0.26,,4,7
2012-2013,Torino,29,38.0,45,,153,,,4.03,,0.26,,5,6
2012-2013,Udinese,30,38.0,59,,176,,,4.63,,0.31,,4,6
2013-2014,Atalanta,31,38.0,43,,167,,,4.39,,0.25,,2,3
2013-2014,Bologna,28,38.0,28,,166,,,4.37,,0.14,,5,6
2013-2014,Cagliari,31,38.0,34,,139,,,3.66,,0.21,,5,8
2013-2014,Catania,34,38.0,34,,166,,,4.37,,0.19,,3,3
2013-2014,Chievo,36,38.0,33,,149,,,3.92,,0.18,,6,7
2013-2014,Fiorentina,31,38.0,65,,189,,,4.97,,0.29,,11,11
2013-2014,Genoa,31,38.0,39,,150,,,3.95,,0.23,,5,9
2013-2014,Hellas Verona,29,38.0,60,,173,,,4.55,,0.3,,8,8
2013-2014,Inter,28,38.0,59,,205,,,5.39,,0.29,,0,1
2013-2014,Juventus,26,38.0,78,,243,,,6.39,,0.3,,4,4
2013-2014,Lazio,30,38.0,51,,198,,,5.21,,0.22,,7,8
2013-2014,Livorno,31,38.0,37,,154,,,4.05,,0.21,,4,4
2013-2014,Milan,32,38.0,55,,225,,,5.92,,0.23,,3,5
2013-2014,Napoli,30,38.0,76,,258,,,6.79,,0.27,,7,9
2013-2014,Parma,30,38.0,56,,172,,,4.53,,0.31,,3,6
2013-2014,Roma,29,38.0,70,,239,,,6.29,,0.27,,6,6
2013-2014,Sampdoria,33,38.0,46,,195,,,5.13,,0.22,,4,5
2013-2014,Sassuolo,38,38.0,43,,170,,,4.47,,0.21,,7,8
2013-2014,Torino,26,38.0,57,,192,,,5.05,,0.27,,5,8
2013-2014,Udinese,27,38.0,45,,177,,,4.66,,0.22,,6,8
2014-2015,Atalanta,32,38.0,37,,144,,,3.79,,0.23,,4,5
2014-2015,Cagliari,29,38.0,45,,193,,,5.08,,0.21,,4,7
2014-2015,Cesena,33,38.0,34,,121,,,3.18,,0.24,,5,6
2014-2015,Chievo,27,38.0,27,,151,,,3.97,,0.17,,1,2
2014-2015,Empoli,26,38.0,43,,184,,,4.84,,0.22,,3,3
2014-2015,Fiorentina,30,38.0,61,,222,,,5.84,,0.27,,2,7
2014-2015,Genoa,33,38.0,58,,184,,,4.84,,0.29,,5,7
2014-2015,Hellas Verona,30,38.0,48,,170,,,4.47,,0.26,,4,6
2014-2015,Inter,34,38.0,58,,205,,,5.39,,0.26,,5,7
2014-2015,Juventus,28,38.0,71,,221,,,5.82,,0.29,,6,9
2014-2015,Lazio,29,38.0,70,,232,,,6.11,,0.29,,3,5
2014-2015,Milan,35,38.0,54,,161,,,4.24,,0.27,,11,11
2014-2015,Napoli,26,38.0,65,,257,,,6.76,,0.24,,4,9
2014-2015,Palermo,31,38.0,52,,169,,,4.45,,0.28,,5,7
2014-2015,Parma,38,38.0,31,,131,,,3.45,,0.22,,2,2
2014-2015,Roma,32,38.0,53,,185,,,4.87,,0.25,,6,7
2014-2015,Sampdoria,30,38.0,46,,162,,,4.26,,0.27,,2,2
2014-2015,Sassuolo,27,38.0,47,,164,,,4.32,,0.24,,7,9
2014-2015,Torino,31,38.0,48,,177,,,4.66,,0.25,,3,6
2014-2015,Udinese,28,38.0,41,,132,,,3.47,,0.3,,1,1
2015-2016,Atalanta,33,38.0,38,,135,,,3.55,,0.25,,4,6
2015-2016,Bologna,31,38.0,33,,110,,,2.89,,0.28,,2,3
2015-2016,Carpi,35,38.0,33,,126,,,3.32,,0.22,,5,8
2015-2016,Chievo,26,38.0,42,,130,,,3.42,,0.28,,5,8
2015-2016,Empoli,29,38.0,39,,147,,,3.87,,0.26,,1,2
2015-2016,Fiorentina,26,38.0,58,,178,,,4.68,,0.28,,8,9
2015-2016,Frosinone,28,38.0,34,,127,,,3.34,,0.24,,3,3
2015-2016,Genoa,30,38.0,44,,150,,,3.95,,0.27,,4,4
2015-2016,Hellas Verona,32,38.0,34,,140,,,3.68,,0.2,,6,7
2015-2016,Inter,28,38.0,49,,170,,,4.47,,0.28,,2,3
2015-2016,Juventus,28,38.0,72,,213,,,5.61,,0.3,,9,9
2015-2016,Lazio,27,38.0,52,,150,,,3.95,,0.29,,9,11
2015-2016,Milan,30,38.0,49,,165,,,4.34,,0.26,,6,7
2015-2016,Napoli,22,38.0,78,,244,,,6.42,,0.29,,7,8
2015-2016,Palermo,31,38.0,37,,134,,,3.53,,0.27,,1,1
2015-2016,Roma,32,38.0,83,,220,,,5.79,,0.36,,4,4
2015-2016,Sampdoria,35,38.0,45,,150,,,3.95,,0.28,,3,3
2015-2016,Sassuolo,26,38.0,48,,166,,,4.37,,0.27,,4,5
2015-2016,Torino,27,38.0,49,,173,,,4.55,,0.23,,9,11
2015-2016,Udinese,28,38.0,34,,147,,,3.87,,0.22,,2,2
2016-2017,Atalanta,32,38.0,62,536,201,37.5,14.11,5.29,0.11,0.28,,5,5
2016-2017,Bologna,28,38.0,39,424,145,34.2,11.16,3.82,0.09,0.26,,1,2
2016-2017,Cagliari,34,38.0,53,431,161,37.4,11.34,4.24,0.11,0.3,,4,6
2016-2017,Chievo,29,38.0,42,405,129,31.9,10.66,3.39,0.09,0.29,,4,5
2016-2017,Crotone,31,38.0,34,408,129,31.6,10.74,3.39,0.07,0.23,,4,5
2016-2017,Empoli,29,38.0,29,364,127,34.9,9.58,3.34,0.07,0.2,,4,5
2016-2017,Fiorentina,30,38.0,62,614,224,36.5,16.16,5.89,0.09,0.25,,6,10
2016-2017,Genoa,33,38.0,36,453,148,32.7,11.92,3.89,0.08,0.23,,2,3
2016-2017,Inter,29,38.0,70,636,212,33.3,16.74,5.58,0.11,0.32,,3,5
2016-2017,Juventus,27,38.0,72,588,211,35.9,15.47,5.55,0.12,0.33,,3,3
2016-2017,Lazio,30,38.0,73,590,212,35.9,15.53,5.58,0.1,0.29,,12,14
2016-2017,Milan,28,38.0,55,556,191,34.4,14.63,5.03,0.09,0.25,,7,12
2016-2017,Napoli,26,38.0,94,672,261,38.8,17.68,6.87,0.13,0.34,,5,6
2016-2017,Palermo,30,38.0,33,385,119,30.9,10.13,3.13,0.08,0.27,,1,1
2016-2017,Pescara,34,38.0,32,449,145,32.3,11.82,3.82,0.07,0.21,,2,6
2016-2017,Roma,22,38.0,88,677,235,34.7,17.82,6.18,0.11,0.32,,12,14
2016-2017,Sampdoria,24,38.0,45,504,165,32.7,13.26,4.34,0.08,0.23,,7,8
2016-2017,Sassuolo,28,38.0,59,445,173,38.9,11.71,4.55,0.11,0.29,,9,10
2016-2017,Torino,29,38.0,70,580,185,31.9,15.26,4.87,0.11,0.35,,5,9
2016-2017,Udinese,29,38.0,47,435,155,35.6,11.45,4.08,0.1,0.29,,2,3
2017-2018,Atalanta,25,38.0,57,570,192,33.7,15.0,5.05,0.09,0.27,16.9,15,5,9,64.1,57.2,0.1,-7.1,-5.2
2017-2018,Benevento,41,38.0,32,470,145,30.9,12.37,3.82,0.06,0.21,19.8,23,2,3,38.3,36.0,0.08,-6.3,-6.0
2017-2018,Bologna,30,38.0,37,356,119,33.4,9.37,3.13,0.1,0.29,19.4,32,2,3,36.6,34.3,0.1,0.4,0.7
2017-2018,Cagliari,29,38.0,33,374,113,30.2,9.84,2.97,0.08,0.26,18.3,16,4,7,39.7,34.2,0.09,-6.7,-5.2
2017-2018,Chievo,25,38.0,36,389,131,33.7,10.24,3.45,0.09,0.27,18.7,10,1,2,34.1,32.5,0.08,1.9,2.5
2017-2018,Crotone,29,38.0,38,378,129,34.1,9.95,3.39,0.1,0.28,20.0,12,2,3,34.6,32.2,0.09,3.4,3.8
2017-2018,Fiorentina,27,38.0,53,611,179,29.3,16.08,4.71,0.08,0.26,19.3,20,7,8,54.5,48.3,0.08,-1.5,-2.3
2017-2018,Genoa,33,38.0,31,413,120,29.1,10.87,3.16,0.07,0.23,17.5,11,4,5,43.5,39.6,0.1,-12.5,-12.6
2017-2018,Hellas Verona,32,38.0,30,354,89,25.1,9.32,2.34,0.06,0.26,20.5,19,7,7,33.0,27.7,0.08,-3.0,-4.7
2017-2018,Inter,22,38.0,64,565,195,34.5,14.87,5.13,0.1,0.3,18.0,14,6,7,56.7,51.3,0.09,7.3,6.7
2017-2018,Juventus,24,38.0,82,546,198,36.3,14.37,5.21,0.14,0.39,18.9,41,4,8,55.3,49.4,0.09,26.7,28.6
2017-2018,Lazio,24,38.0,86,542,199,36.7,14.26,5.24,0.14,0.39,18.4,16,9,11,63.7,55.2,0.1,22.3,21.8
2017-2018,Milan,24,38.0,54,606,214,35.3,15.95,5.63,0.08,0.23,19.6,24,4,6,51.2,46.6,0.08,2.8,3.4
2017-2018,Napoli,23,38.0,73,648,245,37.8,17.05,6.45,0.1,0.27,19.0,20,6,8,67.1,60.7,0.1,5.9,6.3
2017-2018,Roma,27,38.0,56,637,199,31.2,16.76,5.24,0.08,0.27,18.6,29,3,6,63.4,58.8,0.09,-7.4,-5.8
2017-2018,Sampdoria,27,38.0,56,474,163,34.4,12.47,4.29,0.1,0.3,18.8,26,7,8,53.5,47.2,0.1,2.5,1.8
2017-2018,Sassuolo,28,38.0,28,489,134,27.4,12.87,3.53,0.05,0.18,19.5,18,4,10,46.3,38.4,0.08,-18.3,-14.4
2017-2018,SPAL,29,38.0,37,368,109,29.6,9.68,2.87,0.09,0.29,19.6,24,5,6,35.8,31.1,0.09,1.2,0.9
2017-2018,Torino,27,38.0,53,449,151,33.6,11.82,3.97,0.12,0.35,17.8,21,0,2,46.0,44.4,0.1,7.0,8.6
2017-2018,Udinese,27,38.0,45,436,131,30.0,11.47,3.45,0.09,0.29,19.1,14,7,7,43.2,37.7,0.09,1.8,0.3
2018-2019,Atalanta,27,38.0,75,637,214,33.6,16.76,5.63,0.11,0.34,16.6,16,2,4,72.2,69.0,0.11,2.8,4.0
2018-2019,Bologna,29,38.0,45,495,158,31.9,13.03,4.16,0.08,0.25,18.7,25,5,5,46.8,42.9,0.09,-1.8,-2.9
2018-2019,Cagliari,30,38.0,35,433,124,28.6,11.39,3.26,0.08,0.27,17.9,13,2,3,42.1,39.7,0.09,-7.1,-6.7
2018-2019,Chievo,36,38.0,25,385,110,28.6,10.13,2.89,0.05,0.19,19.6,14,4,6,36.0,31.7,0.09,-11.0,-10.7
2018-2019,Empoli,29,38.0,48,450,148,32.9,11.84,3.89,0.1,0.3,17.8,17,4,7,52.4,46.8,0.11,-4.4,-2.8
2018-2019,Fiorentina,27,38.0,45,579,168,29.0,15.24,4.42,0.07,0.24,18.6,15,5,6,54.0,49.2,0.09,-9.0,-9.2
2018-2019,Frosinone,33,38.0,28,450,120,26.7,11.84,3.16,0.05,0.2,19.3,24,4,5,38.9,35.1,0.08,-10.9,-11.1
2018-2019,Genoa,31,38.0,37,528,147,27.8,13.89,3.87,0.06,0.22,18.9,24,4,5,46.9,43.0,0.08,-9.9,-10.0
2018-2019,Inter,23,38.0,57,625,186,29.8,16.45,4.89,0.08,0.26,18.0,10,8,9,63.8,56.8,0.09,-6.8,-7.8
2018-2019,Juventus,31,38.0,66,601,191,31.8,15.82,5.03,0.1,0.31,18.4,27,7,8,60.7,54.5,0.09,5.3,4.5
2018-2019,Lazio,30,38.0,54,606,182,30.0,15.95,4.79,0.08,0.26,18.2,22,6,6,60.4,55.8,0.09,-6.4,-7.8
2018-2019,Milan,23,38.0,51,582,192,33.0,15.32,5.05,0.08,0.25,19.6,19,3,4,48.8,45.7,0.08,2.2,2.3
2018-2019,Napoli,26,38.0,73,702,231,32.9,18.47,6.08,0.1,0.3,19.5,23,3,4,61.8,58.8,0.08,11.2,11.2
2018-2019,Parma,31,38.0,40,350,105,30.0,9.21,2.76,0.1,0.34,19.1,19,4,5,40.2,36.3,0.11,-0.2,-0.3
2018-2019,Roma,26,38.0,65,616,210,34.1,16.21,5.53,0.1,0.28,17.1,15,6,6,64.4,59.6,0.1,0.6,-0.6
2018-2019,Sampdoria,24,38.0,60,475,166,34.9,12.5,4.37,0.11,0.3,19.9,20,10,12,50.5,41.8,0.09,9.5,8.2
2018-2019,Sassuolo,29,38.0,50,507,150,29.6,13.34,3.95,0.09,0.3,19.8,21,5,5,48.5,44.6,0.09,1.5,0.4
2018-2019,SPAL,28,38.0,44,454,129,28.4,11.95,3.39,0.08,0.29,18.2,15,7,8,43.9,37.7,0.08,0.1,-0.7
2018-2019,Torino,25,38.0,50,513,175,34.1,13.5,4.61,0.09,0.26,18.7,26,5,6,46.6,41.9,0.08,3.4,3.1
2018-2019,Udinese,31,38.0,37,455,119,26.2,11.97,3.13,0.07,0.29,20.7,12,3,8,42.5,36.0,0.08,-5.5,-2.0
2019-2020,Atalanta,30,38.0,96,700,256,36.6,18.42,6.74,0.13,0.35,17.3,31,7,10,83.5,75.6,0.11,12.5,13.4
2019-2020,Bologna,31,38.0,48,549,160,29.1,14.45,4.21,0.08,0.27,18.8,29,5,6,56.9,52.2,0.1,-8.9,-9.2
2019-2020,Brescia,32,38.0,34,414,138,33.3,10.89,3.63,0.07,0.22,17.9,32,4,4,43.4,40.2,0.1,-9.4,-10.2
2019-2020,Cagliari,33,38.0,50,438,136,31.1,11.53,3.58,0.11,0.34,19.5,16,4,6,41.8,37.1,0.09,8.2,8.9
2019-2020,Fiorentina,33,38.0,48,538,170,31.6,14.16,4.47,0.07,0.23,18.2,23,9,11,53.6,45.4,0.09,-5.6,-6.4
