Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,Result,home_season_pts,home_season_wins,home_season_draws,home_season_losses,home_season_gf,home_season_ga,home_season_matches,home_season_avg_shots,home_recent_pts_mean,home_recent_gd_mean,home_recent_matches,home_days_since_last,home_days_since_log,home_recent_shots_sum,home_recent_goals_sum,home_recent_conversion,home_recent_pts_ma_3,home_recent_pts_ma_5,home_recent_pts_ma_10,home_elo,away_season_pts,away_season_wins,away_season_draws,away_season_losses,away_season_gf,away_season_ga,away_season_matches,away_season_avg_shots,away_recent_pts_mean,away_recent_gd_mean,away_recent_matches,away_days_since_last,away_days_since_log,away_recent_shots_sum,away_recent_goals_sum,away_recent_conversion,away_recent_pts_ma_3,away_recent_pts_ma_5,away_recent_pts_ma_10,away_elo,h2h_home_goals_avg,h2h_away_goals_avg,h2h_home_pts_mean,elo_diff
2017-08-19,Juventus,Cagliari,3,0,H,2,0,H,,17,5,7,2,13,11,4,1,1,0,0,0,season-1718.csv,H,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-19,Verona,Napoli,1,3,A,0,2,A,,12,22,4,12,7,9,3,6,2,2,0,1,season-1718.csv,A,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Atalanta,Roma,0,1,A,0,1,A,,14,6,6,1,14,16,4,1,1,2,0,0,season-1718.csv,A,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Bologna,Torino,1,1,D,1,1,D,,13,9,3,3,18,10,0,8,2,1,0,0,season-1718.csv,D,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Crotone,Milan,0,3,A,0,3,A,,6,19,2,10,9,14,2,9,1,3,1,0,season-1718.csv,A,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Inter,Fiorentina,3,0,H,2,0,H,,16,15,6,3,7,13,9,7,0,1,0,0,season-1718.csv,H,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Lazio,Spal,0,0,D,0,0,D,,23,9,13,2,20,4,9,5,2,2,0,0,season-1718.csv,D,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Sampdoria,Benevento,2,1,H,1,1,D,,16,18,6,7,10,10,6,7,1,2,0,0,season-1718.csv,H,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Sassuolo,Genoa,0,0,D,0,0,D,,14,12,3,4,16,28,2,5,2,3,0,0,season-1718.csv,D,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2017-08-20,Udinese,Chievo,1,2,A,1,1,D,,18,10,5,3,11,10,5,4,2,2,0,0,season-1718.csv,A,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
