Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jean-François Gillet,be BEL,GK,31.0,36,36.0,3240,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Masiello,it ITA,DF,24.0,36,36.0,3151,35.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.03,0.0,0.03,0.0,0.0,Matches
Alessandro Gazzi,it ITA,MF,27.0,31,29.0,2559,28.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.04,0.11,0.14,0.04,0.14,Matches
Marco Rossi,it ITA,DF,22.0,30,27.0,2414,26.8,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Parisi,it ITA,DF,33.0,27,27.0,2274,25.3,2.0,1.0,3.0,2.0,0.0,1.0,8.0,1.0,0.08,0.04,0.12,0.08,0.12,Matches
Nicola Belmonte,it ITA,DF,23.0,26,25.0,2135,23.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Massimo Donati,it ITA,MF,29.0,31,23.0,2217,24.6,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.04,0.04,0.08,0.04,0.08,Matches
Sergio Almirón,ar ARG,MF,29.0,25,21.0,1837,20.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Édgar Álvarez,hn HON,"DF,MF",30.0,29,18.0,1885,20.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches
Simone Bentivoglio,it ITA,MF,25.0,16,16.0,1357,15.1,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,0.13,0.13,0.27,0.07,0.2,Matches
Abdelkader Ghezzal,dz ALG,FW,25.0,20,15.0,1365,15.2,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.13,0.0,0.13,0.07,0.07,Matches
Kamil Glik,pl POL,"DF,MF",22.0,16,15.0,1356,15.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches
Andrea Raggi,it ITA,DF,26.0,16,14.0,1233,13.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulo Vitor Barreto,br BRA,FW,25.0,13,13.0,980,10.9,4.0,1.0,5.0,2.0,2.0,3.0,0.0,0.0,0.37,0.09,0.46,0.18,0.28,Matches
Vitali Kutuzov,by BLR,FW,30.0,14,13.0,861,9.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
