Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andrea Caracciolo,it ITA,FW,28.0,33,30.0,2625,29.2,12.0,1.0,13.0,8.0,4.0,5.0,5.0,1.0,0.41,0.03,0.45,0.27,0.31,Matches
Alessandro Diamanti,it ITA,"FW,MF",27.0,32,29.0,2377,26.4,6.0,5.0,11.0,5.0,1.0,1.0,10.0,1.0,0.23,0.19,0.42,0.19,0.38,Matches
Përparim Hetemaj,fi FIN,MF,23.0,30,28.0,2486,27.6,2.0,3.0,5.0,2.0,0.0,0.0,12.0,0.0,0.07,0.11,0.18,0.07,0.18,Matches
Éder,it ITA,FW,23.0,35,27.0,2344,26.0,6.0,1.0,7.0,6.0,0.0,0.0,5.0,1.0,0.23,0.04,0.27,0.23,0.27,Matches
Jonathan Zebina,fr FRA,DF,32.0,28,26.0,2358,26.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Bega,it ITA,DF,35.0,27,25.0,2291,25.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Marco Zambelli,it ITA,"DF,MF",24.0,28,25.0,2105,23.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Gaetano Berardi,ch SUI,DF,21.0,27,24.0,2082,23.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Panagiotis Kone,gr GRE,MF,23.0,31,23.0,2049,22.8,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches
Michele Arcari,it ITA,GK,32.0,22,22.0,1980,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gilberto Martínez,cr CRC,DF,30.0,19,19.0,1650,18.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Zoboli,it ITA,DF,28.0,18,18.0,1590,17.7,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Nicolás Córdova,cl CHI,MF,31.0,21,17.0,1457,16.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.12,0.06,0.19,0.12,0.19,Matches
Matteo Sereni,it ITA,GK,35.0,15,15.0,1350,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ádám Vass,hu HUN,MF,21.0,20,15.0,1134,12.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Davide Baiocco,it ITA,MF,35.0,21,13.0,1242,13.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Simone Dallamano,it ITA,DF,26.0,14,12.0,1122,12.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Antonio Filippini,it ITA,"DF,MF",37.0,15,11.0,968,10.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristiano Zanetti,it ITA,MF,33.0,8,8.0,632,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Fabio Daprelà,ch SUI,"DF,MF",19.0,10,6.0,632,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pietro Accardi,it ITA,DF,27.0,8,6.0,586,6.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Víctor Hugo Mareco,py PAR,DF,26.0,8,6.0,549,6.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Possanzini,it ITA,"FW,MF",34.0,17,5.0,631,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Alessandro Budel,it ITA,MF,29.0,12,4.0,438,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathas,br BRA,FW,21.0,6,2.0,229,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Lanzafame,it ITA,"FW,MF",23.0,13,1.0,439,4.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Leali,it ITA,GK,17.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Róbert Feczesin,hu HUN,FW,24.0,2,0.0,48,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Riccardo Taddei,it ITA,"FW,MF",29.0,4,0.0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nana Welbeck,gh GHA,MF,15.0,1,0.0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenzo Tassi,it ITA,MF,15.0,1,0.0,14,0.2,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
Sebastien De Maio,fr FRA,DF,23.0,2,0.0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.3,38,418.0,3420,38.0,34.0,18.0,52.0,29.0,5.0,6.0,104.0,5.0,0.89,0.47,1.37,0.76,1.24,
Opponent Total,,,27.5,38,,3420,38.0,,,,,,,,,,,,,,
