Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mariano Andújar,ar ARG,GK,27.0,37,37.0,3330,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matías Silvestre,ar ARG,DF,25.0,36,36.0,3233,35.9,6.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Maxi López,ar ARG,FW,26.0,35,32.0,2798,31.1,8.0,1.0,9.0,7.0,1.0,1.0,7.0,1.0,0.26,0.03,0.29,0.23,0.26,Matches
Papu Gómez,ar ARG,"FW,MF",22.0,36,30.0,2553,28.4,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches
Pablo Ledesma,ar ARG,MF,26.0,32,25.0,2257,25.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.08,0.0,0.08,0.08,0.08,Matches
Ezequiel Carboni,ar ARG,MF,31.0,28,24.0,2022,22.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolás Spolli,ar ARG,DF,27.0,25,23.0,2026,22.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ciro Capuano,it ITA,DF,29.0,23,22.0,1812,20.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches
Pablo Álvarez,ar ARG,DF,26.0,23,20.0,1739,19.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrián Ricchiuti,it ITA,MF,32.0,31,19.0,1798,20.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.05,0.15,0.2,0.05,0.2,Matches
Alessandro Potenza,it ITA,DF,26.0,20,19.0,1668,18.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
