Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Alessandro Gamberini,it ITA,DF,28.0,35,35.0,3148,35.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Alberto Gilardino,it ITA,FW,28.0,35,35.0,3030,33.7,12.0,3.0,15.0,12.0,0.0,0.0,3.0,0.0,0.36,0.09,0.45,0.36,0.45,Matches
Manuel Pasqual,it ITA,"DF,MF",28.0,34,33.0,2996,33.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Riccardo Montolivo,it ITA,MF,25.0,29,29.0,2525,28.1,2.0,3.0,5.0,2.0,0.0,0.0,3.0,1.0,0.07,0.11,0.18,0.07,0.18,Matches
Artur Boruc,pl POL,GK,30.0,26,26.0,2340,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Donadel,it ITA,MF,27.0,29,26.0,2176,24.2,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Lorenzo De Silvestri,it ITA,"DF,MF",22.0,26,23.0,2044,22.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Mario Santana,ar ARG,MF,28.0,28,22.0,1927,21.4,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,0.19,0.14,0.33,0.19,0.33,Matches
Juan Manuel Vargas,pe PER,"DF,MF",26.0,24,19.0,1640,18.2,4.0,5.0,9.0,4.0,0.0,0.0,1.0,1.0,0.22,0.27,0.49,0.22,0.49,Matches
Adrian Mutu,ro ROU,"FW,MF",31.0,20,18.0,1516,16.8,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,0.24,0.12,0.36,0.24,0.36,Matches
Per Krøldrup,dk DEN,DF,31.0,19,17.0,1540,17.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessio Cerci,it ITA,"FW,MF",23.0,24,17.0,1369,15.2,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,0.46,0.2,0.66,0.46,0.66,Matches
Gianluca Comotto,it ITA,DF,31.0,20,16.0,1536,17.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cesare Natali,it ITA,DF,31.0,20,16.0,1404,15.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valon Behrami,ch SUI,"DF,MF",25.0,17,15.0,1323,14.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches
Adem Ljajić,rs SRB,"FW,MF",18.0,26,14.0,1380,15.3,3.0,4.0,7.0,1.0,2.0,3.0,2.0,0.0,0.2,0.26,0.46,0.07,0.33,Matches
Marco Marchionni,it ITA,MF,30.0,24,13.0,1225,13.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.07,0.15,0.22,0.07,0.22,Matches
Gaetano D'Agostino,it ITA,MF,28.0,20,12.0,1220,13.6,5.0,1.0,6.0,4.0,1.0,1.0,2.0,0.0,0.37,0.07,0.44,0.3,0.37,Matches
Sébastien Frey,fr FRA,GK,30.0,11,11.0,990,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michele Camporese,it ITA,DF,18.0,9,7.0,661,7.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Cristiano Zanetti,it ITA,MF,33.0,6,4.0,362,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
