Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Javier Zanetti,ar ARG,"DF,MF",36.0,35,35.0,3146,35.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Samuel Eto'o,cm CMR,FW,29.0,35,35.0,2954,32.8,21.0,8.0,29.0,16.0,5.0,6.0,3.0,0.0,0.64,0.24,0.88,0.49,0.73,Matches
Lúcio,br BRA,DF,32.0,31,30.0,2688,29.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches
Maicon Sisenando,br BRA,DF,29.0,28,28.0,2456,27.3,1.0,8.0,9.0,1.0,0.0,0.0,5.0,0.0,0.04,0.29,0.33,0.04,0.33,Matches
Esteban Cambiasso,ar ARG,MF,29.0,30,28.0,2369,26.3,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches
Júlio César,br BRA,GK,30.0,25,25.0,2156,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Chivu,ro ROU,DF,29.0,24,24.0,1985,22.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches
Wesley Sneijder,nl NED,MF,26.0,25,22.0,1993,22.1,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,0.18,0.18,0.36,0.18,0.36,Matches
Dejan Stanković,rs SRB,MF,31.0,26,22.0,1804,20.0,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,0.25,0.25,0.5,0.25,0.5,Matches
Goran Pandev,mk MKD,"FW,MF",27.0,27,17.0,1627,18.1,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,0.11,0.22,0.33,0.11,0.33,Matches
Andrea Ranocchia,it ITA,DF,22.0,18,17.0,1483,16.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches
Diego Milito,ar ARG,FW,31.0,23,16.0,1424,15.8,5.0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,0.32,0.32,0.63,0.32,0.63,Matches
Iván Córdoba,co COL,DF,33.0,22,15.0,1537,17.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Thiago Motta,it ITA,MF,27.0,19,15.0,1364,15.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,0.26,0.2,0.46,0.26,0.46,Matches
Giampaolo Pazzini,it ITA,FW,25.0,17,14.0,1217,13.5,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.81,0.81,Matches
Luca Castellazzi,it ITA,GK,35.0,15,13.0,1264,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Houssine Kharja,ma MAR,MF,27.0,15,10.0,923,10.3,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,0.1,0.39,0.49,0.1,0.49,Matches
Yuto Nagatomo,jp JPN,"DF,MF",23.0,13,10.0,915,10.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
Jonathan Biabiany,fr FRA,"FW,MF",22.0,14,9.0,700,7.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Philippe Coutinho,br BRA,"FW,MF",18.0,13,8.0,781,8.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Walter Samuel,ar ARG,DF,32.0,10,8.0,656,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Materazzi,it ITA,DF,36.0,8,6.0,551,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Santon,it ITA,DF,19.0,12,5.0,484,5.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
McDonald Mariga,ke KEN,MF,23.0,12,2.0,332,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joel Obi,ng NGA,MF,19.0,10,2.0,250,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sulley Muntari,gh GHA,MF,25.0,8,1.0,208,2.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches
Felice Natalino,it ITA,DF,18.0,2,1.0,126,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Denis Alibec,ro ROU,FW,19.0,2,0.0,60,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nwankwo Obiora,ng NGA,"DF,MF",19.0,2,0.0,49,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,1.84,0.0,1.84,Matches
Mancini,br BRA,"FW,MF",29.0,2,0.0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,29.5,38,418.0,3420,38.0,68.0,48.0,116.0,63.0,5.0,6.0,56.0,3.0,1.79,1.26,3.05,1.66,2.92,
Opponent Total,,,27.3,38,,3420,38.0,,,,,,,,,,,,,,
