Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Miloš Krasić,rs SRB,MF,25.0,33,33.0,2604,28.9,7.0,8.0,15.0,7.0,0.0,0.0,4.0,0.0,0.24,0.28,0.52,0.24,0.52,Matches
Leonardo Bonucci,it ITA,DF,23.0,34,32.0,2885,32.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches
Giorgio Chiellini,it ITA,DF,25.0,32,32.0,2880,32.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
Claudio Marchisio,it ITA,MF,24.0,32,32.0,2800,31.1,4.0,4.0,8.0,4.0,0.0,0.0,9.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches
Alberto Aquilani,it ITA,MF,26.0,33,31.0,2657,29.5,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,0.07,0.17,0.24,0.07,0.24,Matches
Felipe Melo,br BRA,"DF,MF",27.0,29,28.0,2344,26.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.04,0.0,0.04,0.0,0.0,Matches
Marco Storari,it ITA,GK,33.0,23,22.0,2058,22.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Pepe,it ITA,"FW,MF",26.0,30,22.0,2006,22.3,5.0,1.0,6.0,5.0,0.0,0.0,9.0,0.0,0.22,0.04,0.27,0.22,0.27,Matches
Alessandro Del Piero,it ITA,"FW,MF",35.0,33,19.0,1823,20.3,8.0,3.0,11.0,5.0,3.0,3.0,0.0,0.0,0.39,0.15,0.54,0.25,0.39,Matches
Marco Motta,it ITA,DF,24.0,22,19.0,1510,16.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabio Grosso,it ITA,"DF,MF",32.0,19,17.0,1597,17.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Fabio Quagliarella,it ITA,FW,27.0,17,17.0,1305,14.5,9.0,2.0,11.0,9.0,0.0,0.0,0.0,0.0,0.62,0.14,0.76,0.62,0.76,Matches
Gianluigi Buffon,it ITA,GK,32.0,16,16.0,1362,15.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Matri,it ITA,FW,25.0,16,15.0,1248,13.9,9.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.65,0.07,0.72,0.65,0.72,Matches
Andrea Barzagli,it ITA,DF,29.0,15,14.0,1284,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frederik Sørensen,dk DEN,DF,18.0,17,12.0,1139,12.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Zdeněk Grygera,cz CZE,DF,30.0,13,9.0,907,10.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vincenzo Iaquinta,it ITA,FW,30.0,19,8.0,964,10.7,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,0.37,0.28,0.65,0.37,0.65,Matches
Armand Traoré,sn SEN,"DF,MF",20.0,10,7.0,537,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jorge Martínez,uy URU,"FW,MF",27.0,14,6.0,568,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paolo De Ceglie,it ITA,DF,23.0,7,6.0,460,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Toni,it ITA,FW,33.0,14,5.0,533,5.9,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.34,0.34,0.68,0.34,0.68,Matches
Amauri,it ITA,FW,30.0,9,5.0,492,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mohamed Sissoko,ml MLI,MF,25.0,18,4.0,639,7.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Nicola Legrottaglie,it ITA,DF,33.0,5,2.0,214,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches
Manuel Giandonato,it ITA,MF,18.0,2,2.0,104,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Hasan Salihamidžić,ba BIH,"DF,MF",33.0,10,1.0,225,2.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.4,0.0,0.4,Matches
Leandro Rinaudo,it ITA,DF,27.0,1,1.0,74,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Niccolò Giannetti,it ITA,FW,19.0,1,1.0,57,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
