Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Fernando Muslera,uy URU,GK,24.0,36,36.0,3240,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Biava,it ITA,DF,33.0,35,35.0,3035,33.7,3.0,0.0,3.0,3.0,0.0,0.0,7.0,2.0,0.09,0.0,0.09,0.09,0.09,Matches
Hernanes,br BRA,MF,25.0,36,35.0,2839,31.5,11.0,6.0,17.0,10.0,1.0,1.0,1.0,0.0,0.35,0.19,0.54,0.32,0.51,Matches
André Dias,br BRA,DF,31.0,33,33.0,2964,32.9,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,0.06,0.03,0.09,0.06,0.09,Matches
Stephan Lichtsteiner,ch SUI,"DF,MF",26.0,34,33.0,2917,32.4,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Cristian Ledesma,it ITA,MF,27.0,34,30.0,2674,29.7,1.0,8.0,9.0,1.0,0.0,0.0,5.0,2.0,0.03,0.27,0.3,0.03,0.3,Matches
Mauro Zárate,ar ARG,"FW,MF",23.0,35,28.0,2484,27.6,9.0,7.0,16.0,7.0,2.0,3.0,2.0,0.0,0.33,0.25,0.58,0.25,0.51,Matches
Stefano Mauri,it ITA,"FW,MF",30.0,29,26.0,2267,25.2,6.0,8.0,14.0,6.0,0.0,0.0,3.0,1.0,0.24,0.32,0.56,0.24,0.56,Matches
Ștefan Radu,ro ROU,DF,23.0,26,26.0,2265,25.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Brocchi,it ITA,MF,34.0,31,25.0,2301,25.6,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Sergio Floccari,it ITA,FW,28.0,30,25.0,2180,24.2,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Matuzalém,br BRA,MF,30.0,22,18.0,1709,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Sculli,it ITA,"FW,MF",29.0,13,11.0,845,9.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.21,0.21,0.43,0.21,0.43,Matches
Álvaro González,uy URU,MF,25.0,19,8.0,882,9.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Javier Garrido,es ESP,DF,25.0,10,8.0,672,7.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Mark Bresciano,au AUS,MF,30.0,20,7.0,652,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Libor Kozák,cz CZE,FW,21.0,19,6.0,761,8.5,6.0,0.0,6.0,5.0,1.0,1.0,4.0,0.0,0.71,0.0,0.71,0.59,0.59,Matches
Guglielmo Stendardo,it ITA,DF,29.0,14,6.0,678,7.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tommaso Rocchi,it ITA,"FW,MF",32.0,17,6.0,554,6.2,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.49,0.49,0.97,0.49,0.97,Matches
Lionel Scaloni,ar ARG,"DF,MF",32.0,12,5.0,599,6.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Modibo Diakité,fr FRA,DF,23.0,8,4.0,338,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pasquale Foggia,it ITA,"FW,MF",27.0,9,2.0,253,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Pedro Cavanda,be BEL,"DF,MF",19.0,3,2.0,209,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tommaso Berni,it ITA,GK,27.0,2,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Del Nero,it ITA,"DF,FW",28.0,2,1.0,57,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.0,38,418.0,3420,38.0,52.0,40.0,92.0,48.0,4.0,5.0,73.0,7.0,1.37,1.05,2.42,1.26,2.32,
Opponent Total,,,27.4,38,,3420,38.0,,,,,,,,,,,,,,
