Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Antonio Rosati,it ITA,GK,27.0,38,37.0,3367,37.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guillermo Giacomazzi,uy URU,MF,32.0,32,30.0,2590,28.8,3.0,4.0,7.0,3.0,0.0,0.0,9.0,3.0,0.1,0.14,0.24,0.1,0.24,Matches
Rubén Olivera,uy URU,MF,27.0,31,30.0,2515,27.9,4.0,8.0,12.0,4.0,0.0,0.0,10.0,1.0,0.14,0.29,0.43,0.14,0.43,Matches
Djamel Mesbah,dz ALG,"DF,MF",25.0,34,29.0,2658,29.5,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches
Giuseppe Vives,it ITA,MF,30.0,33,29.0,2592,28.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches
Fabiano,br BRA,"DF,MF",28.0,29,28.0,2507,27.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches
Gianni Munari,it ITA,MF,27.0,34,27.0,2630,29.2,2.0,6.0,8.0,2.0,0.0,0.0,5.0,1.0,0.07,0.21,0.27,0.07,0.27,Matches
David Di Michele,it ITA,FW,34.0,23,22.0,1871,20.8,8.0,4.0,12.0,8.0,0.0,3.0,3.0,0.0,0.38,0.19,0.58,0.38,0.58,Matches
Jeda,br BRA,FW,31.0,25,22.0,1668,18.5,5.0,1.0,6.0,4.0,1.0,1.0,4.0,0.0,0.27,0.05,0.32,0.22,0.27,Matches
Gustavo,br BRA,DF,28.0,24,19.0,1833,20.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Ferrario,it ITA,DF,25.0,20,18.0,1397,15.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Grossmüller,uy URU,MF,27.0,23,18.0,1355,15.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Davide Brivio,it ITA,DF,22.0,22,17.0,1514,16.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nenad Tomović,rs SRB,DF,22.0,16,16.0,1439,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ignacio Piatti,ar ARG,"FW,MF",25.0,25,14.0,1234,13.7,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.22,0.07,0.29,0.22,0.29,Matches
Daniele Corvia,it ITA,FW,25.0,30,12.0,1454,16.2,6.0,1.0,7.0,5.0,1.0,1.0,7.0,1.0,0.37,0.06,0.43,0.31,0.37,Matches
Giulio Donati,it ITA,DF,20.0,14,10.0,933,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Giuliatto,it ITA,DF,26.0,12,9.0,822,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Rispoli,it ITA,"DF,MF",21.0,13,9.0,806,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Bertolacci,it ITA,MF,19.0,9,9.0,637,7.1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches
Edward Ofere,ng NGA,"FW,MF",24.0,11,6.0,622,6.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.43,0.14,0.58,0.43,0.58,Matches
Javier Chevantón,uy URU,FW,29.0,14,3.0,423,4.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.43,0.0,0.43,0.43,0.43,Matches
Manuel Coppola,it ITA,MF,28.0,14,1.0,269,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Souleymane Diamoutene,ml MLI,DF,27.0,2,1.0,135,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,Matches
Simone Sini,it ITA,DF,18.0,2,1.0,116,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Massimiliano Benassi,it ITA,GK,28.0,1,1.0,51,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.4,38,418.0,3420,38.0,45.0,31.0,76.0,43.0,2.0,5.0,89.0,9.0,1.18,0.82,2.0,1.13,1.95,
Opponent Total,,,27.4,38,,3420,38.0,,,,,,,,,,,,,,
