Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Antonio Mirante,it ITA,GK,27.0,36,36.0,3178,35.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Zaccardo,it ITA,DF,28.0,34,34.0,3041,33.8,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches
Alessandro Lucarelli,it ITA,DF,33.0,32,32.0,2880,32.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.03,0.03,0.06,0.03,0.06,Matches
Francesco Valiani,it ITA,MF,29.0,35,31.0,2783,30.9,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Massimo Gobbi,it ITA,"DF,MF",29.0,34,30.0,2612,29.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Stefano Morrone,it ITA,MF,31.0,34,30.0,2435,27.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Sebastian Giovinco,it ITA,"FW,MF",23.0,30,28.0,2261,25.1,7.0,4.0,11.0,7.0,0.0,0.0,5.0,0.0,0.28,0.16,0.44,0.28,0.44,Matches
Gabriel Paletta,it ITA,DF,24.0,27,26.0,2370,26.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Blerim Džemaili,ch SUI,MF,24.0,30,26.0,2216,24.6,1.0,0.0,1.0,1.0,0.0,0.0,12.0,2.0,0.04,0.0,0.04,0.04,0.04,Matches
Antonio Candreva,it ITA,"DF,FW",23.0,31,23.0,2173,24.1,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.12,0.08,0.21,0.12,0.21,Matches
Massimo Paci,it ITA,DF,32.0,19,18.0,1559,17.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Hernán Crespo,ar ARG,FW,35.0,29,16.0,1625,18.1,9.0,0.0,9.0,6.0,3.0,3.0,1.0,0.0,0.5,0.0,0.5,0.33,0.33,Matches
Valeri Bojinov,bg BUL,FW,24.0,31,13.0,1316,14.6,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.21,0.14,0.34,0.21,0.34,Matches
Francesco Modesto,it ITA,"DF,MF",28.0,15,13.0,1150,12.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Fernando Marqués,es ESP,MF,25.0,13,12.0,1101,12.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Luca Antonelli,it ITA,"DF,MF",23.0,12,12.0,1080,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Amauri,it ITA,FW,30.0,11,11.0,916,10.2,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,0.69,0.2,0.88,0.69,0.88,Matches
Ângelo,br BRA,"DF,MF",29.0,21,10.0,1013,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Raffaele Palladino,it ITA,"FW,MF",26.0,11,6.0,554,6.2,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.49,Matches
Daniele Galloppa,it ITA,MF,25.0,11,5.0,401,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Pavarini,it ITA,GK,36.0,3,2.0,242,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Pisano,it ITA,DF,28.0,5,2.0,202,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rolf Feltscher,ve VEN,DF,19.0,3,2.0,194,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zé Eduardo,br BRA,MF,18.0,2,0.0,59,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Toni Calvo,es ESP,MF,23.0,3,0.0,29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Filipe Oliveira,pt POR,"DF,MF",26.0,1,0.0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Paloschi,it ITA,FW,20.0,1,0.0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Grégoire Defrel,mq MTQ,"FW,MF",19.0,1,0.0,10,0.1,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
Manuel Coppola,it ITA,MF,28.0,1,0.0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nwankwo Obiora,ng NGA,"DF,MF",19.0,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paolo Dellafiore,it ITA,DF,25.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.1,38,418.0,3420,38.0,39.0,17.0,56.0,36.0,3.0,3.0,93.0,7.0,1.03,0.45,1.47,0.95,1.39,
Opponent Total,,,27.5,38,,3420,38.0,,,,,,,,,,,,,,
