Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gianluca Curci,it ITA,GK,25.0,35,35.0,3137,34.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Angelo Palombo,it ITA,MF,28.0,34,34.0,3006,33.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Reto Ziegler,ch SUI,"DF,MF",24.0,34,32.0,2923,32.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Stefano Guberti,it ITA,MF,25.0,36,29.0,2322,25.8,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,0.19,0.08,0.27,0.19,0.27,Matches
Daniele Gastaldello,it ITA,DF,27.0,29,28.0,2515,27.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.04,0.07,0.11,0.04,0.11,Matches
Luciano Zauri,it ITA,DF,32.0,27,26.0,2274,25.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Lucchini,it ITA,DF,29.0,26,26.0,2073,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Massimo Volta,it ITA,DF,23.0,25,20.0,1965,21.8,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Fernando Tissone,ar ARG,MF,24.0,22,20.0,1543,17.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches
Daniele Mannini,it ITA,MF,26.0,30,18.0,1705,18.9,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,0.11,0.05,0.16,0.11,0.16,Matches
Giampaolo Pazzini,it ITA,FW,25.0,19,18.0,1595,17.7,6.0,0.0,6.0,4.0,2.0,2.0,3.0,0.0,0.34,0.0,0.34,0.23,0.23,Matches
Daniele Dessena,it ITA,MF,23.0,22,17.0,1583,17.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Massimo Maccarone,it ITA,FW,30.0,17,15.0,1280,14.2,3.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.21,0.07,0.28,0.14,0.21,Matches
Vladimir Koman,hu HUN,MF,21.0,26,14.0,1381,15.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Pozzi,it ITA,FW,24.0,22,14.0,1242,13.8,6.0,0.0,6.0,4.0,2.0,2.0,3.0,0.0,0.43,0.0,0.43,0.29,0.29,Matches
Andrea Poli,it ITA,MF,20.0,21,13.0,1267,14.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathan Biabiany,fr FRA,"FW,MF",22.0,16,8.0,874,9.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches
Guido Marilungo,it ITA,FW,20.0,15,8.0,725,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gilberto Martínez,cr CRC,DF,30.0,9,8.0,700,7.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Cassano,it ITA,FW,28.0,7,7.0,608,6.8,4.0,2.0,6.0,2.0,2.0,2.0,1.0,0.0,0.59,0.3,0.89,0.3,0.59,Matches
Zsolt Laczkó,hu HUN,DF,23.0,9,7.0,558,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Franco Semioli,it ITA,MF,30.0,7,6.0,436,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabrizio Cacciatore,it ITA,DF,23.0,5,5.0,388,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pietro Accardi,it ITA,DF,27.0,9,4.0,528,5.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Macheda,it ITA,FW,18.0,14,3.0,479,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Angelo da Costa Júnior,br BRA,GK,26.0,4,3.0,283,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Obiang,gq EQG,MF,18.0,4,0.0,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Padalino,ch SUI,"DF,MF",26.0,1,0.0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Zaza,it ITA,FW,19.0,2,0.0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Fornaroli,au AUS,FW,22.0,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.0,38,418.0,3420,38.0,32.0,13.0,45.0,25.0,7.0,8.0,84.0,5.0,0.84,0.34,1.18,0.66,1.0,
Opponent Total,,,27.6,38,,3420,38.0,,,,,,,,,,,,,,
