Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Daniele Portanova,it ITA,DF,32.0,34,34.0,3037,33.7,3.0,1.0,4.0,3.0,0.0,0.0,9.0,1.0,0.09,0.03,0.12,0.09,0.12,Matches
Gaby Mudingayi,be BEL,MF,29.0,34,33.0,2992,33.2,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Di Vaio,it ITA,FW,35.0,37,32.0,2714,30.2,10.0,6.0,16.0,9.0,1.0,2.0,5.0,0.0,0.33,0.2,0.53,0.3,0.5,Matches
Andrea Raggi,it ITA,DF,27.0,31,31.0,2656,29.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jean-François Gillet,be BEL,GK,32.0,29,29.0,2589,28.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Gastón Ramírez,uy URU,"FW,MF",20.0,33,28.0,2291,25.5,8.0,4.0,12.0,8.0,0.0,0.0,8.0,0.0,0.31,0.16,0.47,0.31,0.47,Matches
Diego Pérez,uy URU,MF,31.0,28,27.0,2155,23.9,0.0,2.0,2.0,0.0,0.0,0.0,14.0,1.0,0.0,0.08,0.08,0.0,0.08,Matches
Alessandro Diamanti,it ITA,"FW,MF",28.0,30,27.0,2138,23.8,8.0,5.0,13.0,7.0,1.0,1.0,6.0,0.0,0.34,0.21,0.55,0.29,0.51,Matches
Archimede Morleo,it ITA,DF,27.0,29,25.0,2293,25.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
