Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Radja Nainggolan,be BEL,MF,23.0,37,37.0,3209,35.7,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.03,0.06,0.08,0.03,0.08,Matches
Michael Agazzi,it ITA,GK,27.0,36,36.0,3197,35.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Agostini,it ITA,DF,32.0,35,35.0,3072,34.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Michele Canini,it ITA,DF,26.0,34,34.0,3033,33.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Pisano,it ITA,DF,25.0,34,34.0,2865,31.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Cossu,it ITA,MF,31.0,32,31.0,2515,27.9,1.0,4.0,5.0,1.0,0.0,0.0,12.0,0.0,0.04,0.14,0.18,0.04,0.18,Matches
Daniele Conti,it ITA,MF,32.0,32,30.0,2636,29.3,4.0,5.0,9.0,3.0,1.0,1.0,12.0,0.0,0.14,0.17,0.31,0.1,0.27,Matches
Davide Astori,it ITA,DF,24.0,28,28.0,2450,27.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Thiago Ribeiro,br BRA,FW,25.0,35,28.0,2306,25.6,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.16,0.04,0.2,0.16,0.2,Matches
Albin Ekdal,se SWE,MF,22.0,30,23.0,1990,22.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches
Lorenzo Ariaudo,it ITA,DF,22.0,24,16.0,1601,17.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Víctor Ibarbo,co COL,"FW,MF",21.0,38,14.0,1842,20.5,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,0.15,0.2,0.34,0.15,0.34,Matches
Mauricio Pinilla,cl CHI,FW,27.0,14,14.0,1165,12.9,8.0,1.0,9.0,6.0,2.0,2.0,3.0,1.0,0.62,0.08,0.7,0.46,0.54,Matches
Joaquín Larrivey,ar ARG,FW,26.0,27,13.0,1240,13.8,7.0,1.0,8.0,5.0,2.0,2.0,1.0,0.0,0.51,0.07,0.58,0.36,0.44,Matches
Davide Biondini,it ITA,MF,28.0,15,13.0,1185,13.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Daniele Dessena,it ITA,MF,24.0,12,12.0,1055,11.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Nenê,br BRA,FW,28.0,18,11.0,976,10.8,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.09,0.0,0.09,0.0,0.0,Matches
Gabriele Perico,it ITA,DF,27.0,15,5.0,628,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vlada Avramov,rs SRB,GK,32.0,3,2.0,223,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Moestafa El Kabir,ma MAR,"FW,MF",22.0,7,1.0,141,1.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.64,0.0,0.64,0.64,0.64,Matches
Pablo Ceppelini,uy URU,MF,19.0,5,1.0,117,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rui Sampaio,pt POR,MF,24.0,6,0.0,76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Gozzi,it ITA,DF,25.0,2,0.0,37,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Murru,it ITA,DF,16.0,2,0.0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sebastian Eriksson,se SWE,"DF,MF",22.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.6,38,418.0,3420,38.0,35.0,20.0,55.0,29.0,6.0,6.0,83.0,2.0,0.92,0.53,1.45,0.76,1.29,
Opponent Total,,,27.8,38,,3420,38.0,,,,,,,,,,,,,,
