Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Francesco Antonioli,it ITA,GK,41.0,30,30.0,2691,29.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Parolo,it ITA,MF,26.0,31,30.0,2676,29.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Guillermo Daniel Rodríguez,uy URU,DF,27.0,28,28.0,2520,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gianluca Comotto,it ITA,DF,32.0,28,28.0,2337,26.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrian Mutu,ro ROU,"FW,MF",32.0,28,28.0,2243,24.9,8.0,1.0,9.0,6.0,2.0,4.0,5.0,1.0,0.32,0.04,0.36,0.24,0.28,Matches
Roberto Guana,it ITA,MF,30.0,31,27.0,2504,27.8,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Steve von Bergen,ch SUI,DF,28.0,27,27.0,2430,27.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Maurizio Lauro,it ITA,DF,30.0,20,20.0,1532,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Ceccarelli,it ITA,"DF,MF",28.0,25,19.0,1739,19.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.05,0.1,0.16,0.05,0.16,Matches
Giuseppe Colucci,it ITA,MF,30.0,22,18.0,1402,15.6,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.06,0.06,0.0,0.06,Matches
Antonio Candreva,it ITA,"DF,FW",24.0,18,15.0,1357,15.1,2.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,0.13,0.13,0.27,0.07,0.2,Matches
Mario Santana,ar ARG,MF,29.0,16,15.0,1261,14.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.21,0.07,0.29,0.21,0.29,Matches
Marco Rossi,it ITA,DF,23.0,21,14.0,1430,15.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Vangelis Moras,gr GRE,DF,29.0,15,14.0,1256,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Éder,it ITA,FW,24.0,17,14.0,1219,13.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.15,0.07,0.22,0.15,0.22,Matches
Raphael Martinho,br BRA,MF,23.0,18,14.0,1124,12.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Abdelkader Ghezzal,dz ALG,FW,26.0,13,10.0,754,8.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vincenzo Rennella,it ITA,FW,22.0,15,8.0,843,9.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Tommaso Arrigoni,it ITA,MF,17.0,13,8.0,768,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Ravaglia,it ITA,GK,22.0,8,8.0,720,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yohan Benalouane,tn TUN,DF,24.0,11,8.0,719,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Dominique Malonga,cg CGO,FW,22.0,13,7.0,670,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Pudil,cz CZE,"DF,FW",25.0,7,7.0,527,5.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.17,0.0,0.17,0.17,0.17,Matches
Vincenzo Iaquinta,it ITA,FW,31.0,7,6.0,532,5.9,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.17,0.0,0.17,0.0,0.0,Matches
Simone Del Nero,it ITA,"DF,FW",29.0,11,5.0,504,5.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.36,0.0,0.36,0.36,0.36,Matches
Jorge Martínez,uy URU,"FW,MF",28.0,13,4.0,347,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Damjan Đoković,hr CRO,MF,21.0,15,3.0,515,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erjon Bogdani,al ALB,FW,34.0,14,3.0,496,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mattia Filippi,it ITA,FW,18.0,4,0.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
César Meza Colli,py PAR,"FW,MF",19.0,2,0.0,56,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marko Livaja,hr CRO,"FW,MF",17.0,3,0.0,53,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Ricci,it ITA,DF,22.0,2,0.0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
