Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Cristian Ledesma,it ITA,MF,28.0,37,36.0,3273,36.4,3.0,5.0,8.0,0.0,3.0,3.0,4.0,0.0,0.08,0.14,0.22,0.0,0.14,Matches
Federico Marchetti,it ITA,GK,28.0,31,31.0,2761,30.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hernanes,br BRA,MF,26.0,31,27.0,2032,22.6,8.0,4.0,12.0,4.0,4.0,4.0,3.0,0.0,0.35,0.18,0.53,0.18,0.35,Matches
Miroslav Klose,de GER,FW,33.0,27,26.0,2282,25.4,13.0,5.0,18.0,13.0,0.0,0.0,1.0,0.0,0.51,0.2,0.71,0.51,0.71,Matches
Abdoulay Konko,fr FRA,"DF,MF",27.0,26,25.0,2162,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Biava,it ITA,DF,34.0,26,25.0,2098,23.3,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Álvaro González,uy URU,MF,26.0,31,23.0,2174,24.2,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.04,0.12,0.17,0.04,0.17,Matches
Senad Lulić,ba BIH,"DF,MF",25.0,27,23.0,2038,22.6,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,0.18,0.13,0.31,0.18,0.31,Matches
André Dias,br BRA,DF,32.0,23,22.0,1809,20.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Ștefan Radu,ro ROU,DF,24.0,21,21.0,1818,20.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Modibo Diakité,fr FRA,DF,24.0,25,19.0,1890,21.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.05,0.05,0.1,0.05,0.1,Matches
Tommaso Rocchi,it ITA,"FW,MF",33.0,20,17.0,1216,13.5,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,0.37,0.22,0.59,0.37,0.59,Matches
Stefano Mauri,it ITA,"FW,MF",31.0,16,14.0,1192,13.2,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.3,0.08,0.38,0.3,0.38,Matches
Djibril Cissé,fr FRA,FW,29.0,18,13.0,1196,13.3,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,0.08,0.38,0.45,0.08,0.45,Matches
Matuzalém,br BRA,MF,31.0,21,12.0,1185,13.2,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.08,0.15,0.23,0.08,0.23,Matches
Cristian Brocchi,it ITA,MF,35.0,15,12.0,1063,11.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lionel Scaloni,ar ARG,"DF,MF",33.0,19,11.0,1158,12.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.08,0.08,0.16,0.08,0.16,Matches
Antonio Candreva,it ITA,"DF,FW",24.0,15,10.0,1006,11.2,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches
Javier Garrido,es ESP,DF,26.0,11,10.0,735,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marius Stankevičius,lt LTU,"DF,MF",30.0,11,9.0,808,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorik Cana,al ALB,"DF,MF",28.0,15,8.0,787,8.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches
Albano Bizzarri,ar ARG,GK,33.0,7,7.0,585,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Luciano Zauri,it ITA,DF,33.0,8,6.0,592,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Sculli,it ITA,"FW,MF",30.0,11,5.0,525,5.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.34,0.17,0.51,0.34,0.51,Matches
Libor Kozák,cz CZE,FW,22.0,17,4.0,620,6.9,4.0,2.0,6.0,4.0,0.0,0.0,2.0,1.0,0.58,0.29,0.87,0.58,0.87,Matches
Emiliano Alfaro,uy URU,FW,23.0,8,1.0,240,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Pedro Cavanda,be BEL,"DF,MF",20.0,1,1.0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Pablo Carrizo,ar ARG,GK,27.0,2,0.0,74,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Rozzi,it ITA,"FW,MF",17.0,3,0.0,38,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Del Nero,it ITA,"DF,FW",29.0,2,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ogenyi Onazi,ng NGA,MF,18.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Enrico Zampa,it ITA,MF,19.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,29.1,38,418.0,3420,38.0,54.0,37.0,91.0,47.0,7.0,7.0,81.0,9.0,1.42,0.97,2.39,1.24,2.21,
Opponent Total,,,27.9,38,,3420,38.0,,,,,,,,,,,,,,
