Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Morgan De Sanctis,it ITA,GK,34.0,37,37.0,3330,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edinson Cavani,uy URU,"FW,MF",24.0,35,32.0,2912,32.4,23.0,3.0,26.0,20.0,3.0,6.0,4.0,0.0,0.71,0.09,0.8,0.62,0.71,Matches
Paolo Cannavaro,it ITA,DF,30.0,32,31.0,2670,29.7,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Marek Hamšík,sk SVK,MF,24.0,37,30.0,2679,29.8,9.0,8.0,17.0,9.0,0.0,2.0,5.0,0.0,0.3,0.27,0.57,0.3,0.57,Matches
Hugo Campagnaro,ar ARG,DF,31.0,31,30.0,2589,28.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches
Walter Gargano,uy URU,MF,27.0,33,30.0,2548,28.3,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches
Gökhan Inler,ch SUI,MF,27.0,36,29.0,2593,28.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Salvatore Aronica,it ITA,DF,33.0,31,29.0,2536,28.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Christian Maggio,it ITA,"DF,MF",29.0,33,27.0,2461,27.3,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,0.11,0.15,0.26,0.11,0.26,Matches
Ezequiel Lavezzi,ar ARG,"FW,MF",26.0,30,25.0,2205,24.5,9.0,6.0,15.0,8.0,1.0,1.0,7.0,0.0,0.37,0.24,0.61,0.33,0.57,Matches
Andrea Dossena,it ITA,"DF,MF",29.0,33,24.0,2194,24.4,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.08,0.12,0.21,0.08,0.21,Matches
Juan Zúñiga,co COL,"DF,MF",25.0,31,22.0,2112,23.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.09,0.0,0.09,0.09,0.09,Matches
Blerim Džemaili,ch SUI,MF,25.0,27,21.0,1930,21.4,3.0,4.0,7.0,3.0,0.0,0.0,9.0,0.0,0.14,0.19,0.33,0.14,0.33,Matches
Goran Pandev,mk MKD,"FW,MF",28.0,30,19.0,1726,19.2,6.0,6.0,12.0,6.0,0.0,0.0,1.0,1.0,0.31,0.31,0.63,0.31,0.63,Matches
Federico Fernández,ar ARG,DF,22.0,16,9.0,969,10.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Miguel Britos,uy URU,DF,26.0,11,9.0,668,7.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Mario Santana,ar ARG,MF,29.0,8,4.0,288,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ignacio Fideleff,ar ARG,DF,22.0,4,4.0,275,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gianluca Grava,it ITA,DF,34.0,6,3.0,295,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Mascara,it ITA,FW,31.0,7,2.0,237,2.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.38,0.38,0.76,0.38,0.76,Matches
Antonio Rosati,it ITA,GK,28.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo Vargas,cl CHI,"FW,MF",21.0,10,0.0,163,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristiano Lucarelli,it ITA,FW,35.0,3,0.0,22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Chávez,ar ARG,"FW,MF",24.0,2,0.0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Massimiliano Ammendola,it ITA,MF,21.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.3,38,418.0,3420,38.0,65.0,40.0,105.0,61.0,4.0,9.0,80.0,5.0,1.71,1.05,2.76,1.61,2.66,
Opponent Total,,,27.9,38,,3420,38.0,,,,,,,,,,,,,,
