Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Marco Rigoni,it ITA,MF,31.0,35,35.0,3076,34.2,11.0,6.0,17.0,5.0,6.0,7.0,4.0,0.0,0.32,0.18,0.5,0.15,0.32,Matches
Giuseppe Gemiti,de GER,"DF,MF",30.0,34,32.0,2884,32.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.03,0.06,0.09,0.03,0.09,Matches
Filippo Porcari,it ITA,MF,27.0,35,32.0,2871,31.9,2.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,0.06,0.06,0.13,0.06,0.13,Matches
Michel Morganella,ch SUI,"DF,MF",22.0,31,28.0,2648,29.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samir Ujkani,xk KVX,GK,23.0,24,24.0,2067,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Massimo Paci,it ITA,DF,33.0,26,22.0,2086,23.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Andrea Lisuzzo,it ITA,DF,30.0,21,21.0,1845,20.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Santiago García,ar ARG,DF,23.0,21,21.0,1816,20.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Matteo Centurioni,it ITA,DF,37.0,22,20.0,1846,20.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivan Radovanović,rs SRB,"DF,MF",22.0,28,17.0,1554,17.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches
Andrea Caracciolo,it ITA,FW,29.0,19,17.0,1450,16.1,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,0.12,0.12,0.25,0.12,0.25,Matches
Simone Pesce,it ITA,MF,29.0,21,16.0,1517,16.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jeda,br BRA,FW,32.0,24,15.0,1278,14.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.21,0.07,0.28,0.21,0.28,Matches
Paolo Dellafiore,it ITA,DF,26.0,17,15.0,1106,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Mascara,it ITA,FW,31.0,15,13.0,980,10.9,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.28,0.09,0.37,0.28,0.37,Matches
Alberto Fontana,it ITA,GK,36.0,15,12.0,1219,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Riccardo Meggiorini,it ITA,FW,25.0,13,11.0,856,9.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches
Andrea Mazzarani,it ITA,MF,21.0,20,10.0,966,10.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.19,0.09,0.19,Matches
Francesco Marianini,it ITA,MF,32.0,13,10.0,851,9.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Takayuki Morimoto,jp JPN,"FW,MF",23.0,18,8.0,911,10.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.4,0.1,0.49,0.4,0.49,Matches
Carlalberto Ludi,it ITA,DF,28.0,10,8.0,681,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Raffaele Rubino,it ITA,FW,33.0,19,7.0,849,9.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Alex Pinardi,it ITA,MF,30.0,10,6.0,536,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
Leandro Rinaudo,it ITA,DF,28.0,5,5.0,382,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Granoche,uy URU,FW,27.0,11,4.0,396,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luigi Giorgi,it ITA,MF,24.0,10,3.0,364,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Jensen,dk DEN,MF,32.0,6,3.0,250,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Achille Coser,it ITA,GK,29.0,2,2.0,134,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Silva,br BRA,"DF,MF",20.0,3,1.0,119,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Labrín,cl CHI,DF,20.0,1,0.0,37,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jean-Christophe Coubronne,fr FRA,DF,22.0,1,0.0,22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mattia Maggio,it ITA,FW,17.0,1,0.0,7,0.1,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
Squad Total,,,28.7,38,418.0,3420,38.0,34.0,17.0,51.0,28.0,6.0,7.0,83.0,6.0,0.89,0.45,1.34,0.74,1.18,
Opponent Total,,,27.9,38,,3420,38.0,,,,,,,,,,,,,,
