Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Franco Brienza,it ITA,"FW,MF",32.0,36,34.0,3104,34.5,4.0,3.0,7.0,4.0,0.0,0.0,6.0,1.0,0.12,0.09,0.2,0.12,0.2,Matches
Claudio Terzi,it ITA,DF,27.0,35,33.0,2918,32.4,1.0,1.0,2.0,0.0,1.0,2.0,12.0,0.0,0.03,0.03,0.06,0.0,0.03,Matches
Roberto Vitiello,it ITA,DF,28.0,33,33.0,2917,32.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Cristiano Del Grosso,it ITA,DF,28.0,32,31.0,2692,29.9,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches
Alessandro Gazzi,it ITA,MF,28.0,33,31.0,2610,29.0,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.03,0.1,0.14,0.03,0.14,Matches
Luca Rossettini,it ITA,DF,26.0,31,30.0,2746,30.5,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Mattia Destro,it ITA,FW,20.0,30,26.0,2183,24.3,12.0,2.0,14.0,12.0,0.0,0.0,4.0,0.0,0.49,0.08,0.58,0.49,0.58,Matches
Emanuele Calaiò,it ITA,FW,29.0,25,24.0,2004,22.3,11.0,1.0,12.0,7.0,4.0,4.0,5.0,0.0,0.49,0.04,0.54,0.31,0.36,Matches
Simone Vergassola,it ITA,MF,35.0,29,23.0,2141,23.8,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Gianluca Pegolo,it ITA,GK,30.0,19,19.0,1710,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Gaetano D'Agostino,it ITA,MF,29.0,24,19.0,1632,18.1,3.0,2.0,5.0,2.0,1.0,1.0,6.0,0.0,0.17,0.11,0.28,0.11,0.22,Matches
Željko Brkić,rs SRB,GK,25.0,18,18.0,1620,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniele Mannini,it ITA,MF,27.0,21,12.0,1152,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matteo Contini,it ITA,DF,31.0,16,12.0,1126,12.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luigi Giorgi,it ITA,MF,24.0,13,12.0,870,9.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches
Paolo Grossi,it ITA,MF,26.0,17,9.0,759,8.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches
Francesco Bolzoni,it ITA,MF,22.0,16,8.0,859,9.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Andrea Rossi,it ITA,DF,24.0,10,7.0,720,8.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
Ângelo,br BRA,"DF,MF",30.0,13,7.0,629,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Emanuele Pesoli,it ITA,DF,30.0,9,7.0,603,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcelo Larrondo,cl CHI,FW,22.0,14,6.0,544,6.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.17,0.0,0.17,0.0,0.0,Matches
Pablo González,ar ARG,"FW,MF",26.0,16,5.0,596,6.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Reginaldo,br BRA,FW,28.0,13,4.0,479,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erjon Bogdani,al ALB,FW,34.0,11,4.0,471,5.2,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0.76,0.76,Matches
Francesco Parravicini,it ITA,MF,29.0,9,1.0,186,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessio Sestu,it ITA,MF,27.0,5,1.0,148,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Farelli,it ITA,GK,28.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Belmonte,it ITA,DF,24.0,2,1.0,87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paul Codrea,ro ROU,"DF,MF",30.0,1,0.0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.2,38,418.0,3420,38.0,45.0,20.0,65.0,38.0,7.0,8.0,96.0,2.0,1.18,0.53,1.71,1.0,1.53,
Opponent Total,,,27.8,38,,3420,38.0,,,,,,,,,,,,,,
