Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Samir Handanović,si SVN,GK,27.0,38,38.0,3420,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Danilo Larangeira,br BRA,DF,27.0,37,37.0,3324,36.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Antonio Di Natale,it ITA,FW,33.0,36,35.0,3044,33.8,23.0,7.0,30.0,19.0,4.0,5.0,2.0,0.0,0.68,0.21,0.89,0.56,0.77,Matches
Kwadwo Asamoah,gh GHA,"DF,MF",22.0,31,31.0,2724,30.3,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.1,0.07,0.17,0.1,0.17,Matches
Dušan Basta,rs SRB,"DF,MF",26.0,31,31.0,2625,29.2,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,0.17,0.14,0.31,0.17,0.31,Matches
Maurizio Domizzi,it ITA,DF,31.0,31,30.0,2595,28.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches
Medhi Benatia,ma MAR,DF,24.0,27,27.0,2380,26.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Giampiero Pinzi,it ITA,MF,30.0,28,27.0,2224,24.7,2.0,1.0,3.0,2.0,0.0,0.0,12.0,1.0,0.08,0.04,0.12,0.08,0.12,Matches
Pablo Armero,co COL,"DF,MF",24.0,28,25.0,2328,25.9,0.0,9.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches
Mauricio Isla,cl CHI,"DF,MF",23.0,21,21.0,1816,20.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.15,0.1,0.25,0.15,0.25,Matches
Giovanni Pasquale,it ITA,DF,29.0,21,13.0,1185,13.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Antonio Floro Flores,it ITA,FW,28.0,26,12.0,1319,14.7,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,0.27,0.2,0.48,0.27,0.48,Matches
Michele Pazienza,it ITA,MF,28.0,15,12.0,1186,13.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Gelson Fernandes,ch SUI,MF,24.0,16,12.0,1138,12.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches
Gabriel Torje,ro ROU,"FW,MF",21.0,21,12.0,895,9.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.2,0.1,0.3,0.2,0.3,Matches
Damiano Ferronetti,it ITA,"DF,MF",26.0,15,11.0,1081,12.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.08,0.0,0.08,0.08,0.08,Matches
Almen Abdi,ch SUI,MF,24.0,23,9.0,920,10.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Fabbrini,it ITA,"FW,MF",21.0,14,8.0,657,7.3,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.27,0.0,0.27,0.27,0.27,Matches
Roberto Pereyra,ar ARG,"DF,FW",20.0,11,7.0,663,7.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.14,0.14,0.27,0.14,0.27,Matches
Emmanuel Agyemang-Badu,gh GHA,MF,20.0,10,6.0,612,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Coda,it ITA,DF,26.0,7,6.0,524,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joel Ekstrand,se SWE,DF,22.0,11,5.0,522,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulo Vitor Barreto,br BRA,FW,26.0,7,2.0,216,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Neuton,br BRA,DF,21.0,4,1.0,124,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Battocchio,it ITA,MF,19.0,4,0.0,39,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thierry Doubai,ci CIV,MF,23.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.7,38,418.0,3420,38.0,51.0,35.0,86.0,47.0,4.0,5.0,88.0,3.0,1.34,0.92,2.26,1.24,2.16,
Opponent Total,,,27.8,38,,3420,38.0,,,,,,,,,,,,,,
