Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mariano Andújar,ar ARG,GK,29.0,34,34.0,3060,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Papu Gómez,ar ARG,"FW,MF",24.0,36,34.0,2962,32.9,8.0,7.0,15.0,8.0,0.0,0.0,5.0,0.0,0.24,0.21,0.46,0.24,0.46,Matches
Francesco Lodi,it ITA,MF,28.0,33,33.0,2858,31.8,6.0,8.0,14.0,5.0,1.0,1.0,1.0,1.0,0.19,0.25,0.44,0.16,0.41,Matches
Gonzalo Bergessio,ar ARG,FW,28.0,32,32.0,2666,29.6,13.0,5.0,18.0,13.0,0.0,1.0,7.0,0.0,0.44,0.17,0.61,0.44,0.61,Matches
Mariano Julio Izco,ar ARG,MF,29.0,35,31.0,2812,31.2,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,0.03,0.13,0.16,0.03,0.16,Matches
Pablo Barrientos,ar ARG,MF,27.0,31,30.0,2519,28.0,5.0,5.0,10.0,5.0,0.0,0.0,7.0,1.0,0.18,0.18,0.36,0.18,0.36,Matches
Giovanni Marchese,it ITA,DF,27.0,30,29.0,2656,29.5,2.0,2.0,4.0,2.0,0.0,0.0,7.0,1.0,0.07,0.07,0.14,0.07,0.14,Matches
Nicolás Spolli,ar ARG,DF,29.0,29,29.0,2533,28.1,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches
Nicola Legrottaglie,it ITA,DF,35.0,27,26.0,2279,25.3,3.0,0.0,3.0,3.0,0.0,0.0,9.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches
Pablo Álvarez,ar ARG,DF,28.0,27,26.0,2194,24.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Almirón,ar ARG,MF,31.0,30,26.0,1947,21.6,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Giuseppe Bellusci,it ITA,DF,22.0,26,22.0,2082,23.1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Castro,ar ARG,MF,23.0,36,18.0,2036,22.6,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,0.18,0.27,0.44,0.18,0.44,Matches
Marco Biagianti,it ITA,MF,28.0,28,17.0,1568,17.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexis Rolín,uy URU,DF,23.0,11,9.0,818,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ciro Capuano,it ITA,DF,31.0,14,9.0,676,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Frison,it ITA,GK,24.0,4,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Amidu Salifu,gh GHA,MF,19.0,10,4.0,295,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Keko,es ESP,"FW,MF",20.0,4,2.0,169,1.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.53,0.0,0.53,0.53,0.53,Matches
Souleymane Doukara,mr MTN,"FW,MF",20.0,12,1.0,275,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mario Paglialunga,ar ARG,MF,23.0,6,1.0,201,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Matches
Takayuki Morimoto,jp JPN,"FW,MF",24.0,5,1.0,114,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrián Ricchiuti,it ITA,MF,34.0,8,0.0,100,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Potenza,it ITA,DF,28.0,2,0.0,66,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabio Sciacca,it ITA,MF,23.0,3,0.0,52,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Błażej Augustyn,pl POL,DF,24.0,1,0.0,34,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edgar Çani,al ALB,FW,23.0,4,0.0,33,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mirco Antenucci,it ITA,FW,27.0,1,0.0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Petković,hr CRO,FW,17.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.9,38,418.0,3420,38.0,50.0,38.0,88.0,49.0,1.0,2.0,95.0,7.0,1.32,1.0,2.32,1.29,2.29,
Opponent Total,,,27.4,38,,3420,38.0,,,,,,,,,,,,,,
