Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Sébastien Frey,fr FRA,GK,32.0,36,36.0,3240,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Granqvist,se SWE,"DF,MF",27.0,35,32.0,2952,32.8,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Juraj Kucka,sk SVK,MF,25.0,33,32.0,2817,31.3,3.0,3.0,6.0,3.0,0.0,0.0,8.0,1.0,0.1,0.1,0.19,0.1,0.19,Matches
Luca Antonelli,it ITA,"DF,MF",25.0,33,32.0,2812,31.2,1.0,5.0,6.0,1.0,0.0,0.0,7.0,0.0,0.03,0.16,0.19,0.03,0.19,Matches
Emiliano Moretti,it ITA,DF,31.0,33,26.0,2368,26.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Borriello,it ITA,FW,30.0,28,26.0,2340,26.0,12.0,1.0,13.0,10.0,2.0,3.0,10.0,0.0,0.46,0.04,0.5,0.38,0.42,Matches
Andrea Bertolacci,it ITA,MF,21.0,29,24.0,2017,22.4,4.0,5.0,9.0,4.0,0.0,0.0,7.0,1.0,0.18,0.22,0.4,0.18,0.4,Matches
Ciro Immobile,it ITA,FW,22.0,33,21.0,2026,22.5,5.0,3.0,8.0,5.0,0.0,0.0,5.0,0.0,0.22,0.13,0.36,0.22,0.36,Matches
Boško Janković,rs SRB,MF,28.0,19,16.0,1426,15.8,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.25,0.06,0.32,0.25,0.32,Matches
Dániel Tőzsér,hu HUN,MF,27.0,22,16.0,1334,14.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Mario Sampirisi,it ITA,"DF,MF",19.0,16,16.0,1292,14.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniele Portanova,it ITA,DF,33.0,15,15.0,1350,15.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Juan Manuel Vargas,pe PER,"DF,MF",28.0,20,15.0,1339,14.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Matuzalém,br BRA,MF,32.0,15,15.0,1277,14.2,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.07,0.14,0.21,0.07,0.21,Matches
Michele Canini,it ITA,DF,27.0,14,14.0,1260,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thomas Manfredini,it ITA,DF,32.0,14,14.0,1235,13.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Cesare Bovo,it ITA,DF,29.0,13,12.0,950,10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eros Pisano,it ITA,DF,25.0,10,9.0,668,7.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Felipe Seymour,cl CHI,MF,25.0,15,8.0,766,8.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Rossi,it ITA,MF,34.0,14,7.0,698,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Rigoni,it ITA,MF,32.0,13,7.0,694,7.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.13,0.26,0.39,0.13,0.39,Matches
Antonio Floro Flores,it ITA,FW,29.0,11,6.0,553,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Cristóbal Jorquera,cl CHI,"FW,MF",23.0,13,4.0,493,5.5,0.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.55,0.55,0.0,0.55,Matches
Alexander Merkel,kz KAZ,MF,20.0,6,4.0,299,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches
Mattia Cassani,it ITA,DF,28.0,5,3.0,178,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rubén Olivera,uy URU,MF,29.0,5,2.0,166,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anselmo de Moraes,br BRA,MF,23.0,5,1.0,133,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Donnarumma,it ITA,GK,22.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giandomenico Mesto,it ITA,"DF,MF",30.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexandros Tzorvas,gr GRE,GK,29.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luka Krajnc,si SVN,DF,17.0,3,1.0,69,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Linus Hallenius,se SWE,FW,23.0,1,1.0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Damiano Ferronetti,it ITA,"DF,MF",27.0,4,0.0,133,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giammario Piscitella,it ITA,FW,19.0,6,0.0,128,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Said Ahmed Said,it ITA,FW,19.0,5,0.0,126,1.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.71,0.71,1.43,0.71,1.43,Matches
Enis Nadarević,ba BIH,MF,25.0,3,0.0,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Melazzi,uy URU,FW,21.0,2,0.0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.7,38,418.0,3420,38.0,38.0,31.0,69.0,36.0,2.0,4.0,105.0,4.0,1.0,0.82,1.82,0.95,1.76,
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,
