Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andrea Barzagli,it ITA,DF,31.0,34,34.0,2955,32.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Leonardo Bonucci,it ITA,DF,25.0,33,33.0,2960,32.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gianluigi Buffon,it ITA,GK,34.0,32,32.0,2880,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Pirlo,it ITA,MF,33.0,32,32.0,2857,31.7,5.0,7.0,12.0,5.0,0.0,1.0,8.0,0.0,0.16,0.22,0.38,0.16,0.38,Matches
Arturo Vidal,cl CHI,MF,25.0,31,29.0,2584,28.7,10.0,7.0,17.0,5.0,5.0,7.0,11.0,0.0,0.35,0.24,0.59,0.17,0.42,Matches
Claudio Marchisio,it ITA,MF,26.0,29,28.0,2470,27.4,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,0.22,0.07,0.29,0.22,0.29,Matches
Stephan Lichtsteiner,ch SUI,"DF,MF",28.0,28,25.0,2064,22.9,4.0,2.0,6.0,4.0,0.0,0.0,6.0,0.0,0.17,0.09,0.26,0.17,0.26,Matches
Mirko Vučinić,me MNE,FW,28.0,31,24.0,2066,23.0,10.0,8.0,18.0,8.0,2.0,2.0,5.0,0.0,0.44,0.35,0.78,0.35,0.7,Matches
Giorgio Chiellini,it ITA,DF,27.0,24,23.0,2038,22.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches
Sebastian Giovinco,it ITA,"FW,MF",25.0,31,23.0,1953,21.7,7.0,6.0,13.0,6.0,1.0,1.0,4.0,0.0,0.32,0.28,0.6,0.28,0.55,Matches
Kwadwo Asamoah,gh GHA,"DF,MF",23.0,27,22.0,1972,21.9,2.0,6.0,8.0,2.0,0.0,0.0,1.0,0.0,0.09,0.27,0.37,0.09,0.37,Matches
Paul Pogba,fr FRA,MF,19.0,27,18.0,1741,19.3,5.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.26,0.0,0.26,0.26,0.26,Matches
Fabio Quagliarella,it ITA,FW,29.0,27,13.0,1156,12.8,9.0,4.0,13.0,9.0,0.0,0.0,0.0,0.0,0.7,0.31,1.01,0.7,1.01,Matches
Martín Cáceres,uy URU,DF,25.0,18,12.0,1218,13.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Paolo De Ceglie,it ITA,DF,25.0,14,12.0,870,9.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Matri,it ITA,FW,27.0,22,10.0,1008,11.2,8.0,0.0,8.0,8.0,0.0,0.0,3.0,0.0,0.71,0.0,0.71,0.71,0.71,Matches
Emanuele Giaccherini,it ITA,"FW,MF",27.0,17,10.0,949,10.5,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.28,0.28,0.57,0.28,0.57,Matches
Luca Marrone,it ITA,"DF,MF",22.0,10,8.0,756,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mauricio Isla,cl CHI,"DF,MF",24.0,11,8.0,586,6.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Federico Peluso,it ITA,DF,28.0,12,7.0,701,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Padoin,it ITA,"DF,MF",28.0,20,6.0,779,8.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Storari,it ITA,GK,35.0,6,6.0,529,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicklas Bendtner,dk DEN,FW,24.0,9,2.0,346,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lúcio,br BRA,DF,34.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolas Anelka,fr FRA,FW,33.0,2,0.0,43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Pepe,it ITA,"FW,MF",28.0,1,0.0,22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rubinho,br BRA,GK,29.0,1,0.0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Beltrame,it ITA,"FW,MF",19.0,1,0.0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.8,38,418.0,3420,38.0,71.0,49.0,120.0,63.0,8.0,11.0,77.0,1.0,1.87,1.29,3.16,1.66,2.95,
Opponent Total,,,27.4,38,,3420,38.0,,,,,,,,,,,,,,
