Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Steve von Bergen,ch SUI,DF,29.0,35,33.0,2972,33.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches
Édgar Barreto,py PAR,MF,28.0,30,30.0,2655,29.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Santiago García,ar ARG,DF,24.0,32,30.0,2632,29.2,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Michel Morganella,ch SUI,"DF,MF",23.0,30,30.0,2567,28.5,0.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.11,0.11,0.0,0.11,Matches
Ezequiel Muñoz,ar ARG,DF,21.0,32,29.0,2629,29.2,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Josip Iličić,si SVN,"FW,MF",24.0,31,29.0,2394,26.6,10.0,2.0,12.0,10.0,0.0,0.0,7.0,0.0,0.38,0.08,0.45,0.38,0.45,Matches
Jasmin Kurtić,si SVN,MF,23.0,31,26.0,2319,25.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Massimo Donati,it ITA,MF,31.0,28,26.0,2166,24.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Egidio Arévalo,uy URU,MF,30.0,27,22.0,2018,22.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches
Fabrizio Miccoli,it ITA,FW,33.0,29,22.0,1895,21.1,8.0,7.0,15.0,6.0,2.0,2.0,7.0,1.0,0.38,0.33,0.71,0.28,0.62,Matches
Samir Ujkani,xk KVX,GK,24.0,19,19.0,1666,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Salvatore Aronica,it ITA,DF,34.0,16,16.0,1342,14.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Sorrentino,it ITA,GK,33.0,15,15.0,1350,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Franco Brienza,it ITA,"FW,MF",33.0,17,13.0,995,11.1,1.0,5.0,6.0,1.0,0.0,0.0,2.0,1.0,0.09,0.45,0.54,0.09,0.54,Matches
Paulo Dybala,ar ARG,"FW,MF",18.0,27,11.0,1261,14.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Andrea Dossena,it ITA,"DF,MF",30.0,11,10.0,799,8.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
