Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mattia Perin,it ITA,GK,19.0,29,28.0,2520,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Emmanuel Cascione,it ITA,MF,28.0,30,23.0,2197,24.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Marco Capuano,it ITA,DF,20.0,26,23.0,2123,23.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Balzano,it ITA,DF,26.0,26,23.0,2079,23.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Bocchetti,it ITA,DF,32.0,24,23.0,2045,22.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Damiano Zanon,it ITA,DF,29.0,23,21.0,1874,20.8,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.1,0.1,0.0,0.1,Matches
Uroš Ćosić,rs SRB,DF,19.0,20,20.0,1642,18.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Modesto,it ITA,"DF,MF",30.0,19,19.0,1607,17.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Birkir Bjarnason,is ISL,MF,24.0,24,17.0,1619,18.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Vladimír Weiss,sk SVK,"FW,MF",22.0,22,16.0,1445,16.1,4.0,4.0,8.0,3.0,1.0,1.0,8.0,2.0,0.25,0.25,0.5,0.19,0.44,Matches
Eugênio Rômulo Togni,br BRA,MF,29.0,17,16.0,1393,15.5,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.13,0.06,0.19,0.13,0.19,Matches
Matti Lund Nielsen,dk DEN,MF,24.0,19,15.0,1321,14.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Gianluca Caprari,it ITA,"FW,MF",19.0,24,14.0,1280,14.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Ante Vukušić,hr CRO,"DF,FW",21.0,19,13.0,1101,12.2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Juan Quintero,co COL,"FW,MF",19.0,17,12.0,1020,11.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.09,0.18,0.26,0.09,0.26,Matches
Mervan Çelik,se SWE,"FW,MF",22.0,23,11.0,1201,13.3,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches
Elvis Abbruscato,it ITA,FW,31.0,25,11.0,1148,12.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Christian Terlizzi,it ITA,DF,32.0,11,11.0,897,10.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.2,0.0,0.2,0.2,0.2,Matches
Manuele Blasi,it ITA,MF,31.0,12,11.0,817,9.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Rizzo,it ITA,MF,21.0,11,10.0,910,10.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivan Pelizzoli,it ITA,GK,31.0,11,10.0,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ferdinando Sforzini,it ITA,FW,27.0,10,9.0,803,8.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Colucci,it ITA,MF,31.0,11,9.0,782,8.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
Giuseppe Sculli,it ITA,"FW,MF",31.0,10,8.0,667,7.4,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.13,0.13,0.27,0.13,0.27,Matches
Jonathas,br BRA,FW,23.0,12,8.0,619,6.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Gaetano D'Agostino,it ITA,MF,30.0,7,7.0,469,5.2,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.38,0.19,0.58,0.19,0.38,Matches
Luciano Zauri,it ITA,DF,34.0,8,6.0,603,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Romagnoli,it ITA,DF,22.0,7,6.0,543,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolás Bianchi Arce,ar ARG,DF,25.0,10,5.0,539,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Di Francesco,it ITA,"FW,MF",18.0,7,5.0,471,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Per Krøldrup,dk DEN,DF,33.0,5,5.0,410,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Milton Caraglio,ar ARG,FW,23.0,4,3.0,262,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giovanbattista Catalano,it ITA,MF,18.0,2,0.0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Vittiglio,,,,1,0.0,23,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.91,0.0,3.91,3.91,3.91,
Marco Vittiglio,it ITA,,18.0,1,0.0,22,0.2,1.0,,,1.0,0.0,,0.0,0.0,4.09,,,4.09,,Matches
Danilo Soddimo,it ITA,MF,24.0,1,0.0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Mancini,it ITA,FW,16.0,1,0.0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Iannascoli,it ITA,MF,17.0,1,0.0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Mbodj Mbaye,sn SEN,DF,17.0,1,0.0,7,0.1,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
Squad Total,,,25.8,38,418.0,3420,38.0,27.0,15.0,42.0,25.0,2.0,3.0,103.0,9.0,0.71,0.39,1.11,0.66,1.05,
Opponent Total,,,27.5,38,,3420,38.0,,,,,,,,,,,,,,
