Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gianluca Pegolo,it ITA,GK,31.0,38,38.0,3420,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felipe dal Belo,br BRA,DF,28.0,34,34.0,2948,32.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Vergassola,it ITA,MF,36.0,30,29.0,2550,28.3,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches
Alessandro Rosina,it ITA,MF,28.0,31,29.0,2229,24.8,5.0,4.0,9.0,2.0,3.0,4.0,4.0,0.0,0.2,0.16,0.36,0.08,0.24,Matches
Ângelo,br BRA,"DF,MF",31.0,28,27.0,2189,24.3,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches
Matteo Rubin,it ITA,"DF,MF",25.0,25,23.0,2072,23.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
Massimo Paci,it ITA,DF,34.0,23,20.0,1830,20.3,2.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches
Luís Neto,pt POR,DF,24.0,20,20.0,1786,19.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches
Emanuele Calaiò,it ITA,FW,30.0,18,18.0,1612,17.9,4.0,2.0,6.0,4.0,0.0,2.0,5.0,1.0,0.22,0.11,0.33,0.22,0.33,Matches
Francesco Bolzoni,it ITA,MF,23.0,25,16.0,1553,17.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
