Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jean-François Gillet,be BEL,GK,33.0,37,37.0,3330,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Gazzi,it ITA,MF,29.0,34,33.0,2869,31.9,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Alessio Cerci,it ITA,"FW,MF",25.0,35,32.0,2728,30.3,8.0,9.0,17.0,7.0,1.0,1.0,4.0,0.0,0.26,0.3,0.56,0.23,0.53,Matches
Kamil Glik,pl POL,"DF,MF",24.0,32,31.0,2691,29.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,2.0,0.03,0.03,0.07,0.03,0.07,Matches
Matteo Darmian,it ITA,"DF,MF",22.0,30,30.0,2689,29.9,0.0,2.0,2.0,0.0,0.0,0.0,11.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches
Rolando Bianchi,it ITA,FW,29.0,32,25.0,2308,25.6,11.0,2.0,13.0,8.0,3.0,4.0,5.0,0.0,0.43,0.08,0.51,0.31,0.39,Matches
Salvatore Masiello,it ITA,"DF,MF",30.0,24,22.0,2014,22.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Angelo Ogbonna,it ITA,DF,24.0,22,22.0,1963,21.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Danilo D'Ambrosio,it ITA,DF,23.0,27,22.0,1958,21.8,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.09,0.14,0.23,0.09,0.23,Matches
Mario Santana,ar ARG,MF,30.0,27,21.0,1753,19.5,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.21,0.1,0.31,0.21,0.31,Matches
Giuseppe Vives,it ITA,MF,32.0,25,21.0,1753,19.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guillermo Daniel Rodríguez,uy URU,DF,28.0,22,20.0,1874,20.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matteo Brighi,it ITA,MF,31.0,23,18.0,1678,18.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.11,0.05,0.16,0.11,0.16,Matches
Riccardo Meggiorini,it ITA,FW,26.0,31,18.0,1597,17.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,0.17,0.11,0.28,0.17,0.28,Matches
Migjen Basha,al ALB,MF,25.0,20,17.0,1601,17.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Paulo Vitor Barreto,br BRA,FW,27.0,16,13.0,1055,11.7,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.26,0.17,0.43,0.26,0.43,Matches
Alen Stevanović,rs SRB,"FW,MF",21.0,15,8.0,679,7.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.27,0.13,0.4,0.27,0.4,Matches
Valerio Di Cesare,it ITA,DF,29.0,9,7.0,673,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Sgrigna,it ITA,"FW,MF",32.0,11,7.0,559,6.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.16,0.32,0.48,0.16,0.48,Matches
Gianluca Sansone,it ITA,FW,25.0,14,5.0,517,5.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.17,0.0,0.17,0.17,0.17,Matches
Valter Birsa,si SVN,"FW,MF",25.0,17,4.0,594,6.6,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,0.3,0.61,0.91,0.3,0.91,Matches
Pablo Cáceres,uy URU,DF,27.0,2,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathas,br BRA,FW,23.0,11,1.0,212,2.4,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.85,0.0,0.85,0.42,0.42,Matches
Ferdinando Coppola,it ITA,GK,34.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marko Bakić,me MNE,MF,18.0,1,1.0,68,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Verdi,it ITA,"FW,MF",20.0,4,0.0,55,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Abou Diop,sn SEN,FW,18.0,2,0.0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergiu Suciu,ro ROU,MF,22.0,1,0.0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dolly Menga,ao ANG,FW,19.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.7,38,418.0,3420,38.0,45.0,32.0,77.0,40.0,5.0,6.0,86.0,5.0,1.18,0.84,2.03,1.05,1.89,
Opponent Total,,,27.3,38,,3420,38.0,,,,,,,,,,,,,,
