Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Germán Denis,ar ARG,FW,31.0,37,36.0,3236,36.0,13.0,5.0,18.0,11.0,2.0,3.0,3.0,0.0,0.36,0.14,0.5,0.31,0.44,Matches
Andrea Consigli,it ITA,GK,26.0,35,35.0,3150,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Carmona,cl CHI,MF,26.0,32,30.0,2544,28.3,2.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,0.07,0.0,0.07,0.07,0.07,Matches
Giacomo Bonaventura,it ITA,"FW,MF",23.0,31,29.0,2513,27.9,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,0.18,0.11,0.29,0.18,0.29,Matches
Luca Cigarini,it ITA,MF,27.0,33,28.0,2498,27.8,2.0,7.0,9.0,2.0,0.0,0.0,13.0,2.0,0.07,0.25,0.32,0.07,0.32,Matches
Guglielmo Stendardo,it ITA,DF,32.0,28,28.0,2414,26.8,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Maximiliano Moralez,ar ARG,"FW,MF",26.0,32,26.0,2302,25.6,5.0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,0.2,0.23,0.43,0.2,0.43,Matches
Cristian Raimondi,it ITA,"DF,MF",32.0,30,26.0,2227,24.7,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Davide Brivio,it ITA,DF,25.0,23,22.0,1922,21.4,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.14,0.0,0.14,0.14,0.14,Matches
Mario Yepes,co COL,DF,37.0,24,21.0,1901,21.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristiano Del Grosso,it ITA,DF,30.0,19,18.0,1484,16.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yohan Benalouane,tn TUN,DF,26.0,17,16.0,1454,16.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Daniele Baselli,it ITA,MF,21.0,28,14.0,1404,15.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Stefano Lucchini,it ITA,DF,32.0,19,14.0,1265,14.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Giulio Migliaccio,it ITA,"DF,MF",32.0,19,13.0,1216,13.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.07,0.07,0.15,0.07,0.15,Matches
Marko Livaja,hr CRO,"FW,MF",19.0,20,8.0,744,8.3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches
Marcelo Estigarribia,py PAR,"DF,MF",25.0,12,8.0,728,8.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.12,0.12,0.25,0.12,0.25,Matches
Franco Brienza,it ITA,"FW,MF",34.0,18,8.0,703,7.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches
Gianpaolo Bellini,it ITA,DF,33.0,9,8.0,573,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michele Canini,it ITA,DF,28.0,8,7.0,599,6.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe De Luca,it ITA,FW,21.0,17,6.0,680,7.6,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,0.53,0.26,0.79,0.53,0.79,Matches
Moussa Koné,ci CIV,MF,23.0,8,5.0,408,4.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.22,0.22,0.44,0.22,0.44,Matches
Lionel Scaloni,ar ARG,"DF,MF",35.0,5,4.0,428,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Constantin Nica,ro ROU,DF,20.0,7,3.0,288,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Sportiello,it ITA,GK,21.0,3,3.0,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Riccardo Cazzola,it ITA,MF,27.0,6,2.0,276,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Guido Marilungo,it ITA,FW,23.0,6,0.0,138,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rubén Bentancourt,uy URU,FW,20.0,3,0.0,48,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mattia Caldara,it ITA,DF,19.0,1,0.0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joakim Olausson,se SWE,MF,18.0,1,0.0,26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luigi Giorgi,it ITA,MF,26.0,1,0.0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.4,38,418.0,3420,38.0,43.0,32.0,75.0,41.0,2.0,3.0,90.0,0.0,1.13,0.84,1.97,1.08,1.92,
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,
