Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Neto,br BRA,GK,24.0,35,35.0,3150,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonzalo Rodríguez,ar ARG,DF,29.0,33,33.0,2941,32.7,4.0,1.0,5.0,2.0,2.0,2.0,12.0,0.0,0.12,0.03,0.15,0.06,0.09,Matches
Stefan Savić,me MNE,"DF,MF",22.0,31,31.0,2790,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Borja Valero,es ESP,MF,28.0,32,31.0,2748,30.5,6.0,9.0,15.0,6.0,0.0,0.0,4.0,1.0,0.2,0.29,0.49,0.2,0.49,Matches
Juan Cuadrado,co COL,"DF,FW",25.0,32,31.0,2695,29.9,11.0,6.0,17.0,11.0,0.0,0.0,8.0,1.0,0.37,0.2,0.57,0.37,0.57,Matches
Alberto Aquilani,it ITA,MF,29.0,31,31.0,2587,28.7,6.0,1.0,7.0,5.0,1.0,1.0,7.0,0.0,0.21,0.03,0.24,0.17,0.21,Matches
Manuel Pasqual,it ITA,"DF,MF",31.0,26,26.0,2176,24.2,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
David Pizarro,cl CHI,MF,33.0,28,24.0,2201,24.5,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,0.04,0.12,0.16,0.04,0.16,Matches
Nenad Tomović,rs SRB,DF,25.0,25,23.0,2022,22.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Giuseppe Rossi,it ITA,FW,26.0,21,19.0,1516,16.8,16.0,4.0,20.0,10.0,6.0,6.0,1.0,0.0,0.95,0.24,1.19,0.59,0.83,Matches
Massimo Ambrosini,it ITA,MF,36.0,21,16.0,1317,14.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Joaquín,es ESP,"FW,MF",32.0,26,15.0,1417,15.7,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.13,0.19,0.32,0.13,0.32,Matches
Juan Manuel Vargas,pe PER,"DF,MF",29.0,24,14.0,1456,16.2,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.25,0.25,Matches
Josip Iličić,si SVN,"FW,MF",25.0,21,13.0,1101,12.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.25,0.08,0.33,0.25,0.33,Matches
Matías Fernández,cl CHI,MF,27.0,23,12.0,1316,14.6,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.21,0.21,0.41,0.21,0.41,Matches
Facundo Roncaglia,ar ARG,DF,26.0,13,11.0,1070,11.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Matri,it ITA,FW,28.0,15,10.0,854,9.5,4.0,2.0,6.0,3.0,1.0,1.0,2.0,0.0,0.42,0.21,0.63,0.32,0.53,Matches
Modibo Diakité,fr FRA,DF,26.0,9,9.0,752,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marvin Compper,de GER,DF,28.0,9,8.0,730,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ryder Matos,br BRA,"FW,MF",20.0,23,5.0,631,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mario Gómez,de GER,FW,28.0,9,5.0,499,5.5,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.54,0.18,0.72,0.36,0.54,Matches
Rafał Wolski,pl POL,"FW,MF",20.0,14,5.0,422,4.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Anderson,br BRA,MF,25.0,7,4.0,277,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Rosati,it ITA,GK,30.0,3,3.0,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcos Alonso,es ESP,"DF,MF",22.0,3,1.0,160,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matías Vecino,uy URU,"FW,MF",21.0,6,1.0,149,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,Matches
Ahmed Hegazi,eg EGY,DF,22.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marko Bakić,me MNE,MF,19.0,3,1.0,73,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ante Rebić,hr CRO,"FW,MF",19.0,4,0.0,94,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.96,0.0,0.96,0.96,0.96,Matches
Oleksandr Yakovenko,ua UKR,"FW,MF",26.0,3,0.0,77,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rubén Olivera,uy URU,MF,30.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.7,38,418.0,3420,38.0,65.0,41.0,106.0,54.0,11.0,11.0,90.0,0.0,1.71,1.08,2.79,1.42,2.5,
Opponent Total,,,27.4,38,,3420,38.0,,,,,,,,,,,,,,
