Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mattia Perin,it ITA,GK,20.0,37,37.0,3330,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Gilardino,it ITA,FW,31.0,36,34.0,2928,32.5,15.0,1.0,16.0,11.0,4.0,7.0,8.0,0.0,0.46,0.03,0.49,0.34,0.37,Matches
Luca Antonelli,it ITA,"DF,MF",26.0,30,30.0,2576,28.6,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.1,0.03,0.14,0.1,0.14,Matches
Luca Antonini,it ITA,"DF,MF",30.0,26,25.0,2147,23.9,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.08,0.04,0.13,0.08,0.13,Matches
Giovanni Marchese,it ITA,DF,28.0,27,23.0,2121,23.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Andrea Bertolacci,it ITA,MF,22.0,25,23.0,1952,21.7,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches
Šime Vrsaljko,hr CRO,"DF,MF",21.0,22,22.0,1793,19.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Daniele Portanova,it ITA,DF,34.0,21,21.0,1815,20.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches
Matuzalém,br BRA,MF,33.0,21,20.0,1604,17.8,0.0,4.0,4.0,0.0,0.0,0.0,10.0,1.0,0.0,0.22,0.22,0.0,0.22,Matches
Sebastien De Maio,fr FRA,DF,26.0,23,15.0,1448,16.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Davide Biondini,it ITA,MF,30.0,16,15.0,1360,15.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.07,0.13,0.2,0.07,0.2,Matches
Thomas Manfredini,it ITA,DF,33.0,15,15.0,1249,13.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolás Burdisso,ar ARG,DF,32.0,15,14.0,1299,14.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Moussa Konaté,sn SEN,FW,20.0,25,13.0,1211,13.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.07,0.15,0.22,0.07,0.22,Matches
Stefano Sturaro,it ITA,MF,20.0,16,13.0,1113,12.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.08,0.16,0.24,0.08,0.24,Matches
Giannis Fetfatzidis,gr GRE,MF,22.0,31,11.0,1355,15.1,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.13,0.2,0.33,0.13,0.33,Matches
Marco Motta,it ITA,DF,27.0,13,11.0,969,10.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paolo De Ceglie,it ITA,DF,26.0,12,10.0,725,8.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Juraj Kucka,sk SVK,MF,26.0,11,9.0,792,8.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches
Giuseppe Sculli,it ITA,"FW,MF",32.0,10,9.0,689,7.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Emanuele Calaiò,it ITA,FW,31.0,22,8.0,950,10.6,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
Francesco Lodi,it ITA,MF,29.0,9,8.0,715,7.9,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.25,0.13,0.38,0.13,0.25,Matches
Isaac Cofie,gh GHA,MF,21.0,17,7.0,921,10.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Alessandro Gamberini,it ITA,DF,31.0,10,7.0,581,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ricardo Centurión,ar ARG,"FW,MF",20.0,12,5.0,587,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cabral,ch SUI,MF,24.0,7,4.0,382,4.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches
Mario Santana,ar ARG,MF,31.0,6,4.0,301,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mario Sampirisi,it ITA,"DF,MF",20.0,4,3.0,206,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
