Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rafael,br BRA,GK,31.0,37,37.0,3330,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Toni,it ITA,FW,36.0,34,34.0,3006,33.4,20.0,7.0,27.0,17.0,3.0,3.0,4.0,0.0,0.6,0.21,0.81,0.51,0.72,Matches
Fabrizio Cacciatore,it ITA,DF,26.0,32,30.0,2603,28.9,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Emil Hallfreðsson,is ISL,"FW,MF",29.0,33,30.0,2456,27.3,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,0.07,0.11,0.18,0.07,0.18,Matches
Rômulo,it ITA,"DF,MF",26.0,32,29.0,2628,29.2,6.0,8.0,14.0,6.0,0.0,0.0,4.0,0.0,0.21,0.27,0.48,0.21,0.48,Matches
Vangelis Moras,gr GRE,DF,31.0,30,29.0,2547,28.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Iturbe,py PAR,"FW,MF",20.0,33,29.0,2496,27.7,8.0,4.0,12.0,8.0,0.0,0.0,4.0,0.0,0.29,0.14,0.43,0.29,0.43,Matches
Domenico Maietta,it ITA,DF,30.0,25,23.0,1972,21.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Alessandro Agostini,it ITA,DF,34.0,25,22.0,1922,21.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
