Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rodrigo Palacio,ar ARG,"FW,MF",31.0,37,36.0,3166,35.2,17.0,6.0,23.0,17.0,0.0,0.0,3.0,0.0,0.48,0.17,0.65,0.48,0.65,Matches
Samir Handanović,si SVN,GK,29.0,36,36.0,3110,34.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Yuto Nagatomo,jp JPN,"DF,MF",26.0,34,32.0,2845,31.6,5.0,6.0,11.0,5.0,0.0,0.0,3.0,0.0,0.16,0.19,0.35,0.16,0.35,Matches
Esteban Cambiasso,ar ARG,MF,32.0,32,32.0,2705,30.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,0.13,0.07,0.2,0.13,0.2,Matches
Jonathan Moreira,br BRA,DF,27.0,31,31.0,2590,28.8,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,0.1,0.17,0.28,0.1,0.28,Matches
Rolando,pt POR,DF,27.0,29,28.0,2574,28.6,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Juan Jesus,br BRA,DF,22.0,27,27.0,2350,26.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fredy Guarín,co COL,MF,27.0,32,26.0,2203,24.5,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,0.16,0.29,0.45,0.16,0.45,Matches
Ricky Álvarez,ar ARG,MF,25.0,29,25.0,2110,23.4,4.0,8.0,12.0,4.0,0.0,0.0,5.0,1.0,0.17,0.34,0.51,0.17,0.51,Matches
