Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Francesco Bardi,it ITA,GK,21.0,35,35.0,3150,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulinho,br BRA,FW,27.0,35,35.0,3142,34.9,15.0,3.0,18.0,12.0,3.0,3.0,8.0,0.0,0.43,0.09,0.52,0.34,0.43,Matches
Federico Ceccherini,it ITA,DF,21.0,32,32.0,2703,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Emerson,br BRA,"DF,MF",32.0,31,30.0,2566,28.5,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Leandro Greco,it ITA,MF,27.0,32,29.0,2397,26.6,4.0,3.0,7.0,4.0,0.0,0.0,13.0,0.0,0.15,0.11,0.26,0.15,0.26,Matches
Marco Biagianti,it ITA,MF,29.0,26,24.0,1953,21.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Ibrahima Mbaye,sn SEN,"DF,MF",18.0,25,22.0,1938,21.5,2.0,1.0,3.0,2.0,0.0,0.0,8.0,1.0,0.09,0.05,0.14,0.09,0.14,Matches
Andrea Luci,it ITA,MF,28.0,22,22.0,1895,21.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Andrea Coda,it ITA,DF,28.0,23,21.0,1866,20.7,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Alfred Duncan,gh GHA,MF,20.0,32,19.0,1813,20.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Innocent Emeghara,ch SUI,FW,24.0,30,17.0,1579,17.5,4.0,4.0,8.0,3.0,1.0,1.0,5.0,1.0,0.23,0.23,0.46,0.17,0.4,Matches
Marco Benassi,it ITA,MF,18.0,20,17.0,1533,17.0,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,0.12,0.18,0.29,0.12,0.29,Matches
Pasquale Schiattarella,it ITA,MF,26.0,17,17.0,1467,16.3,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches
Leandro Rinaudo,it ITA,DF,30.0,21,15.0,1449,16.1,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Djamel Mesbah,dz ALG,"DF,MF",28.0,14,14.0,1226,13.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.07,0.07,0.15,0.07,0.15,Matches
Luca Siligardi,it ITA,"FW,MF",25.0,26,13.0,1310,14.6,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.34,0.07,0.41,0.34,0.41,Matches
Paolo Castellini,it ITA,DF,34.0,15,13.0,1069,11.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nahuel Valentini,ar ARG,DF,24.0,16,12.0,1140,12.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ishak Belfodil,dz ALG,"FW,MF",21.0,17,8.0,836,9.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Gemiti,de GER,"DF,MF",32.0,10,8.0,575,6.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches
Cristiano Piccini,it ITA,DF,20.0,20,7.0,920,10.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Luca Anania,it ITA,GK,33.0,3,3.0,262,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonny Mosquera,co COL,MF,22.0,7,2.0,259,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Lambrughi,it ITA,DF,26.0,6,2.0,197,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Belingheri,it ITA,MF,30.0,4,1.0,130,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
