Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Antonio Mirante,it ITA,GK,30.0,36,36.0,3191,35.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Parolo,it ITA,MF,28.0,36,36.0,3190,35.4,8.0,6.0,14.0,8.0,0.0,0.0,9.0,0.0,0.23,0.17,0.39,0.23,0.39,Matches
Mattia Cassani,it ITA,DF,29.0,36,35.0,3155,35.1,0.0,5.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Alessandro Lucarelli,it ITA,DF,36.0,34,34.0,3002,33.4,4.0,0.0,4.0,4.0,0.0,0.0,14.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches
Marco Marchionni,it ITA,MF,33.0,33,32.0,2758,30.6,1.0,3.0,4.0,1.0,0.0,0.0,9.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches
Jonathan Biabiany,fr FRA,"FW,MF",25.0,36,32.0,2736,30.4,6.0,5.0,11.0,6.0,0.0,0.0,0.0,0.0,0.2,0.16,0.36,0.2,0.36,Matches
Antonio Cassano,it ITA,FW,31.0,33,32.0,2654,29.5,12.0,6.0,18.0,11.0,1.0,3.0,5.0,0.0,0.41,0.2,0.61,0.37,0.58,Matches
Massimo Gobbi,it ITA,"DF,MF",32.0,28,26.0,2289,25.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
Amauri,it ITA,FW,33.0,31,20.0,1798,20.0,8.0,0.0,8.0,6.0,2.0,3.0,1.0,2.0,0.4,0.0,0.4,0.3,0.3,Matches
Afriyie Acquah,gh GHA,MF,21.0,27,19.0,1787,19.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches
Felipe dal Belo,br BRA,DF,29.0,22,19.0,1688,18.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Walter Gargano,uy URU,MF,29.0,21,19.0,1587,17.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.06,0.06,0.11,0.06,0.11,Matches
