Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Morgan De Sanctis,it ITA,GK,36.0,36,36.0,3240,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leandro Castán,br BRA,DF,26.0,35,35.0,3055,33.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Medhi Benatia,ma MAR,DF,26.0,33,32.0,2857,31.7,5.0,0.0,5.0,5.0,0.0,0.0,8.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Miralem Pjanić,ba BIH,MF,23.0,35,32.0,2686,29.8,6.0,6.0,12.0,5.0,1.0,1.0,9.0,1.0,0.2,0.2,0.4,0.17,0.37,Matches
Daniele De Rossi,it ITA,"DF,MF",30.0,32,31.0,2723,30.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.03,0.03,0.07,0.03,0.07,Matches
Gervinho,ci CIV,"FW,MF",26.0,33,30.0,2725,30.3,9.0,10.0,19.0,9.0,0.0,0.0,2.0,0.0,0.3,0.33,0.63,0.3,0.63,Matches
Maicon Sisenando,br BRA,DF,32.0,28,28.0,2320,25.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.08,0.0,0.08,0.08,0.08,Matches
Kevin Strootman,nl NED,MF,23.0,24,23.0,1994,22.2,5.0,6.0,11.0,3.0,2.0,2.0,6.0,0.0,0.23,0.27,0.5,0.14,0.41,Matches
Alessandro Florenzi,it ITA,"DF,FW",22.0,37,22.0,1893,21.0,6.0,7.0,13.0,6.0,0.0,0.0,4.0,0.0,0.29,0.33,0.62,0.29,0.62,Matches
Francesco Totti,it ITA,"FW,MF",36.0,26,20.0,1664,18.5,8.0,10.0,18.0,6.0,2.0,2.0,3.0,0.0,0.43,0.54,0.97,0.32,0.87,Matches
Adem Ljajić,rs SRB,"FW,MF",21.0,28,17.0,1625,18.1,6.0,5.0,11.0,5.0,1.0,1.0,5.0,0.0,0.33,0.28,0.61,0.28,0.55,Matches
Radja Nainggolan,be BEL,MF,25.0,17,16.0,1413,15.7,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,0.13,0.19,0.32,0.13,0.32,Matches
Dodô,br BRA,DF,21.0,19,15.0,1359,15.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Mattia Destro,it ITA,FW,22.0,20,15.0,1236,13.7,13.0,1.0,14.0,13.0,0.0,0.0,5.0,0.0,0.95,0.07,1.02,0.95,1.02,Matches
Vasilis Torosidis,gr GRE,"DF,MF",28.0,18,12.0,1242,13.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Federico Balzaretti,it ITA,DF,31.0,11,10.0,915,10.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches
Alessio Romagnoli,it ITA,DF,18.0,11,8.0,703,7.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
