Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Marco Sportiello,it ITA,GK,22.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Carmona,cl CHI,MF,27.0,33,32,2809.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Cigarini,it ITA,MF,28.0,33,30,2679.0,29.8,0.0,3.0,3.0,0.0,0.0,0.0,12.0,1.0,0.0,0.1,0.1,0.0,0.1,Matches
Boukary Dramé,sn SEN,"DF,MF",29.0,29,27,2420.0,26.9,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Germán Denis,ar ARG,FW,32.0,32,27,2303.0,25.6,8.0,0.0,8.0,5.0,3.0,4.0,4.0,0.0,0.31,0.0,0.31,0.2,0.2,Matches
Davide Zappacosta,it ITA,"DF,MF",22.0,29,27,2254.0,25.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.12,0.04,0.16,0.12,0.16,Matches
Maximiliano Moralez,ar ARG,"FW,MF",27.0,30,26,2239.0,24.9,5.0,4.0,9.0,5.0,0.0,0.0,3.0,0.0,0.2,0.16,0.36,0.2,0.36,Matches
Yohan Benalouane,tn TUN,DF,27.0,27,25,2189.0,24.3,1.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches
Guglielmo Stendardo,it ITA,DF,33.0,24,23,2093.0,23.3,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Giuseppe Biava,it ITA,DF,37.0,18,18,1539.0,17.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches
Papu Gómez,ar ARG,"FW,MF",26.0,24,18,1496.0,16.6,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,0.18,0.12,0.3,0.18,0.3,Matches
Daniele Baselli,it ITA,MF,22.0,22,15,1281.0,14.2,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches
