Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Luca Rossettini,it ITA,DF,29.0,32,32,2835.0,31.5,3.0,3.0,6.0,3.0,0.0,0.0,12.0,0.0,0.1,0.1,0.19,0.1,0.19,Matches
Albin Ekdal,se SWE,MF,25.0,33,32,2683.0,29.8,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,0.17,0.03,0.2,0.17,0.2,Matches
Danilo Avelar,br BRA,"DF,MF",25.0,31,29,2636.0,29.3,4.0,3.0,7.0,1.0,3.0,4.0,12.0,1.0,0.14,0.1,0.24,0.03,0.14,Matches
Lorenzo Crisetig,it ITA,MF,21.0,28,26,2225.0,24.7,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Luca Ceppitelli,it ITA,DF,24.0,25,22,1975.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Balzano,it ITA,DF,28.0,25,21,1997.0,22.2,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Daniele Dessena,it ITA,MF,27.0,28,21,1911.0,21.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches
Željko Brkić,rs SRB,GK,28.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Sau,it ITA,"FW,MF",26.0,28,20,1794.0,19.9,7.0,6.0,13.0,7.0,0.0,0.0,3.0,0.0,0.35,0.3,0.65,0.35,0.65,Matches
Diego Farias,br BRA,FW,24.0,29,20,1785.0,19.8,6.0,3.0,9.0,6.0,0.0,0.0,7.0,0.0,0.3,0.15,0.45,0.3,0.45,Matches
Andrea Cossu,it ITA,MF,34.0,22,19,1591.0,17.7,2.0,2.0,4.0,1.0,1.0,2.0,6.0,1.0,0.11,0.11,0.23,0.06,0.17,Matches
Daniele Conti,it ITA,MF,35.0,18,17,1492.0,16.6,1.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches
João Pedro,it ITA,"FW,MF",22.0,29,15,1501.0,16.7,5.0,2.0,7.0,5.0,0.0,1.0,5.0,0.0,0.3,0.12,0.42,0.3,0.42,Matches
Alessio Cragno,it ITA,GK,20.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paul-Jose M'Poku,cd COD,"FW,MF",22.0,16,14,1242.0,13.8,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.22,0.14,0.36,0.22,0.36,Matches
Godfred Donsah,gh GHA,MF,18.0,21,13,1155.0,12.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.16,0.08,0.23,0.16,0.23,Matches
Marco Capuano,it ITA,DF,22.0,15,12,1131.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Víctor Ibarbo,co COL,"FW,MF",24.0,13,12,1053.0,11.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,0.17,0.17,0.34,0.17,0.34,Matches
Francesco Pisano,it ITA,DF,28.0,13,12,860.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuele Longo,it ITA,FW,22.0,27,9,1077.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Duje Čop,hr CRO,FW,24.0,16,9,812.0,9.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.44,0.0,0.44,0.44,0.44,Matches
Modibo Diakité,fr FRA,DF,27.0,9,8,716.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Murru,it ITA,DF,19.0,8,6,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Alejandro González,uy URU,DF,26.0,7,6,460.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Benedetti,it ITA,DF,22.0,5,4,326.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches
Simone Colombi,it ITA,GK,23.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolò Barella,it ITA,MF,17.0,3,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Caio Rangel,br BRA,"FW,MF",18.0,6,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Josef Hušbauer,cz CZE,MF,24.0,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Capello,it ITA,"FW,MF",18.0,0,0,,,,,,,,,,,,,,,,Matches
Werther Carboni,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,Matches
Mattia Muroni,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.7,38,418,3420.0,38.0,45.0,31.0,76.0,41.0,4.0,7.0,115.0,0.0,1.18,0.82,2.0,1.08,1.89,
Opponent Total,,,27.6,38,418,3420.0,38.0,66.0,49.0,115.0,63.0,3.0,4.0,93.0,5.0,1.74,1.29,3.03,1.66,2.95,
