Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Grégoire Defrel,mq MTQ,"FW,MF",23.0,34,31,2695.0,29.9,9.0,5.0,14.0,9.0,0.0,0.0,7.0,0.0,0.3,0.17,0.47,0.3,0.47,Matches
Franco Brienza,it ITA,"FW,MF",35.0,30,29,2498.0,27.8,8.0,4.0,12.0,5.0,3.0,3.0,2.0,0.0,0.29,0.14,0.43,0.18,0.32,Matches
Daniele Capelli,it ITA,DF,28.0,30,29,2496.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Leali,it ITA,GK,21.0,28,28,2460.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Lucchini,it ITA,DF,33.0,28,26,2199.0,24.4,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Emmanuel Cascione,it ITA,MF,30.0,29,24,2185.0,24.3,1.0,1.0,2.0,0.0,1.0,2.0,8.0,0.0,0.04,0.04,0.08,0.0,0.04,Matches
Luigi Giorgi,it ITA,MF,27.0,27,24,2070.0,23.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Giuseppe De Feudis,it ITA,MF,31.0,25,23,1906.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Renzetti,it ITA,DF,26.0,23,21,1908.0,21.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Luka Krajnc,si SVN,DF,19.0,22,20,1831.0,20.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Massimo Volta,it ITA,DF,27.0,24,19,1835.0,20.4,0.0,2.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,0.1,0.1,0.0,0.1,Matches
Gabriele Perico,it ITA,DF,30.0,21,18,1540.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Milan Đurić,ba BIH,FW,24.0,28,17,1589.0,17.7,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches
Carlos Carbonero,co COL,MF,24.0,22,15,1408.0,15.6,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,0.19,0.13,0.32,0.19,0.32,Matches
Hörður Magnússon,is ISL,DF,21.0,12,12,994.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manuel Coppola,it ITA,MF,32.0,11,10,863.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Agliardi,it ITA,GK,31.0,10,9,870.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
