Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Daniele Rugani,it ITA,DF,20.0,38,38,3420.0,38.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Mirko Valdifiori,it ITA,MF,28.0,36,36,3201.0,35.6,0.0,6.0,6.0,0.0,0.0,0.0,8.0,1.0,0.0,0.17,0.17,0.0,0.17,Matches
Matías Vecino,uy URU,"FW,MF",22.0,36,36,2985.0,33.2,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches
Daniele Croce,it ITA,MF,31.0,37,35,2963.0,32.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
Elseid Hysaj,al ALB,DF,20.0,36,33,3024.0,33.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Luigi Sepe,it ITA,GK,23.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Massimo Maccarone,it ITA,FW,34.0,34,30,2476.0,27.5,10.0,7.0,17.0,9.0,1.0,1.0,4.0,0.0,0.36,0.25,0.62,0.33,0.58,Matches
Mário Rui,pt POR,"DF,MF",23.0,34,28,2599.0,28.9,0.0,4.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Lorenzo Tonelli,it ITA,DF,24.0,28,27,2296.0,25.5,5.0,0.0,5.0,5.0,0.0,0.0,6.0,2.0,0.2,0.0,0.2,0.2,0.2,Matches
Manuel Pucciarelli,it ITA,"FW,MF",23.0,34,25,2259.0,25.1,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,0.2,0.08,0.28,0.2,0.28,Matches
Simone Verdi,it ITA,"FW,MF",22.0,26,17,1434.0,15.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.13,0.06,0.13,Matches
Riccardo Saponara,it ITA,"FW,MF",22.0,17,17,1214.0,13.5,7.0,3.0,10.0,6.0,1.0,1.0,4.0,1.0,0.52,0.22,0.74,0.44,0.67,Matches
Francesco Tavano,it ITA,FW,35.0,26,15,1336.0,14.8,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.13,0.07,0.2,0.07,0.13,Matches
Vincent Laurini,fr FRA,DF,25.0,15,14,1057.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Barba,it ITA,DF,20.0,18,12,1275.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.14,0.07,0.21,0.14,0.21,Matches
Piotr Zieliński,pl POL,MF,20.0,28,7,1050.0,11.7,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Davide Bassi,it ITA,GK,29.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
