Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jérémy Ménez,fr FRA,"FW,MF",27.0,33,31,2689.0,29.9,16.0,4.0,20.0,8.0,8.0,8.0,3.0,1.0,0.54,0.13,0.67,0.27,0.4,Matches
Nigel de Jong,nl NED,MF,29.0,29,29,2594.0,28.8,3.0,0.0,3.0,3.0,0.0,0.0,11.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Giacomo Bonaventura,it ITA,"FW,MF",24.0,33,28,2574.0,28.6,7.0,4.0,11.0,7.0,0.0,0.0,5.0,1.0,0.24,0.14,0.38,0.24,0.38,Matches
Diego López,es ESP,GK,32.0,28,28,2514.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Keisuke Honda,jp JPN,"FW,MF",28.0,29,26,2149.0,23.9,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,0.25,0.17,0.42,0.25,0.42,Matches
Andrea Poli,it ITA,MF,24.0,33,23,2072.0,23.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches
Ignazio Abate,it ITA,"DF,MF",27.0,23,21,1884.0,20.9,0.0,6.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches
Philippe Mexès,fr FRA,DF,32.0,20,18,1671.0,18.6,2.0,0.0,2.0,2.0,0.0,0.0,9.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches
Adil Rami,fr FRA,DF,28.0,21,18,1665.0,18.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.05,0.05,0.11,0.05,0.11,Matches
