Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Franco Vázquez,ar ARG,"FW,MF",25.0,37,37,3209.0,35.7,10.0,10.0,20.0,9.0,1.0,2.0,7.0,0.0,0.28,0.28,0.56,0.25,0.53,Matches
Stefano Sorrentino,it ITA,GK,35.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulo Dybala,ar ARG,"FW,MF",20.0,34,34,2955.0,32.8,13.0,10.0,23.0,10.0,3.0,3.0,3.0,0.0,0.4,0.3,0.7,0.3,0.61,Matches
Siniša Anđelković,si SVN,DF,28.0,32,32,2819.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Rigoni,it ITA,MF,29.0,31,31,2695.0,29.9,9.0,1.0,10.0,9.0,0.0,0.0,11.0,0.0,0.3,0.03,0.33,0.3,0.33,Matches
Giancarlo González,cr CRC,DF,26.0,28,28,2489.0,27.7,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Achraf Lazaar,ma MAR,"DF,MF",22.0,29,27,2171.0,24.1,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.08,0.12,0.21,0.08,0.21,Matches
Édgar Barreto,py PAR,MF,30.0,24,24,2025.0,22.5,2.0,5.0,7.0,2.0,0.0,0.0,6.0,2.0,0.09,0.22,0.31,0.09,0.31,Matches
Michel Morganella,ch SUI,"DF,MF",25.0,20,20,1723.0,19.1,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches
Roberto Vitiello,it ITA,DF,31.0,19,17,1504.0,16.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Claudio Terzi,it ITA,DF,30.0,15,14,1291.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Enzo Maresca,it ITA,MF,34.0,19,14,1177.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mato Jajalo,ba BIH,MF,26.0,16,14,1120.0,12.4,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches
Ezequiel Muñoz,ar ARG,DF,23.0,13,13,1159.0,12.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Ivaylo Chochev,bg BUL,MF,21.0,18,13,1094.0,12.2,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.25,0.0,0.25,0.25,0.25,Matches
Francesco Bolzoni,it ITA,MF,25.0,23,12,1093.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabio Daprelà,ch SUI,"DF,MF",23.0,22,11,1058.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Belotti,it ITA,FW,20.0,38,9,1363.0,15.1,6.0,1.0,7.0,5.0,1.0,2.0,3.0,0.0,0.4,0.07,0.46,0.33,0.4,Matches
Andrea Rispoli,it ITA,"DF,MF",25.0,15,9,891.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Robin Quaison,se SWE,"FW,MF",20.0,19,8,784.0,8.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.23,0.11,0.34,0.23,0.34,Matches
Zouhair Feddal,ma MAR,"DF,MF",25.0,7,7,625.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eros Pisano,it ITA,DF,27.0,4,4,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samir Ujkani,xk KVX,GK,26.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Della Rocca,it ITA,MF,26.0,5,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sol Bamba,ci CIV,DF,29.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emerson Palmieri,it ITA,"DF,MF",19.0,9,0,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Granddi Ngoyi,cd COD,MF,26.0,5,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simon Makienok,dk DEN,FW,23.0,4,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Silva,pt POR,FW,24.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Accursio Bentivegna,it ITA,FW,18.0,3,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonino La Gumina,it ITA,FW,18.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Accardi,it ITA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Andrea Fulignati,it ITA,"FW,GK",19.0,0,0,,,,,,,,,,,,,,,,Matches
Milan Milanović,rs SRB,DF,23.0,0,0,,,,,,,,,,,,,,,,Matches
Danilo Ortiz,py PAR,DF,22.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.8,38,418,3420.0,38.0,52.0,34.0,86.0,47.0,5.0,7.0,89.0,0.0,1.37,0.89,2.26,1.24,2.13,
Opponent Total,,,27.3,38,418,3420.0,38.0,53.0,40.0,93.0,49.0,4.0,5.0,111.0,8.0,1.39,1.05,2.45,1.29,2.34,
