Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Morgan De Sanctis,it ITA,GK,37.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Radja Nainggolan,be BEL,MF,26.0,35,30,2779.0,30.9,5.0,2.0,7.0,5.0,0.0,0.0,10.0,0.0,0.16,0.06,0.23,0.16,0.23,Matches
Kostas Manolas,gr GRE,DF,23.0,30,30,2609.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Miralem Pjanić,ba BIH,MF,24.0,34,28,2522.0,28.0,5.0,10.0,15.0,5.0,0.0,0.0,9.0,0.0,0.18,0.36,0.54,0.18,0.54,Matches
Daniele De Rossi,it ITA,"DF,MF",31.0,26,25,2148.0,23.9,2.0,0.0,2.0,2.0,0.0,0.0,12.0,1.0,0.08,0.0,0.08,0.08,0.08,Matches
Alessandro Florenzi,it ITA,"DF,FW",23.0,35,24,2298.0,25.5,5.0,4.0,9.0,4.0,1.0,1.0,9.0,0.0,0.2,0.16,0.35,0.16,0.31,Matches
Francesco Totti,it ITA,"FW,MF",37.0,27,24,1728.0,19.2,8.0,6.0,14.0,4.0,4.0,4.0,5.0,0.0,0.42,0.31,0.73,0.21,0.52,Matches
José Holebas,gr GRE,"DF,MF",30.0,24,23,2055.0,22.8,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches
Adem Ljajić,rs SRB,"FW,MF",22.0,32,23,2016.0,22.4,8.0,2.0,10.0,7.0,1.0,2.0,2.0,0.0,0.36,0.09,0.45,0.31,0.4,Matches
Mapou Yanga-Mbiwa,fr FRA,DF,25.0,28,22,2100.0,23.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches
Davide Astori,it ITA,DF,27.0,24,22,2040.0,22.7,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Gervinho,ci CIV,"FW,MF",27.0,24,21,1897.0,21.1,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.09,0.19,0.28,0.09,0.28,Matches
Seydou Keita,ml MLI,MF,34.0,26,18,1730.0,19.2,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,0.1,0.05,0.16,0.1,0.16,Matches
Vasilis Torosidis,gr GRE,"DF,MF",29.0,20,17,1489.0,16.5,2.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches
Juan Iturbe,py PAR,"FW,MF",21.0,27,17,1378.0,15.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.13,0.07,0.2,0.13,0.2,Matches
Ashley Cole,eng ENG,DF,33.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maicon Sisenando,br BRA,DF,33.0,14,11,985.0,10.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches
Mattia Destro,it ITA,FW,23.0,16,8,824.0,9.2,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.55,0.0,0.55,0.55,0.55,Matches
Víctor Ibarbo,co COL,"FW,MF",24.0,10,6,574.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches
Seydou Doumbia,ci CIV,FW,26.0,13,6,545.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Leandro Paredes,ar ARG,MF,20.0,10,4,320.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
