Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andrea Consigli,it ITA,GK,27.0,35,35,3126.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Acerbi,it ITA,DF,26.0,32,32,2878.0,32.0,3.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,0.09,0.0,0.09,0.09,0.09,Matches
Domenico Berardi,it ITA,"FW,MF",19.0,32,32,2662.0,29.6,15.0,10.0,25.0,9.0,6.0,7.0,13.0,1.0,0.51,0.34,0.85,0.3,0.64,Matches
Simone Missiroli,it ITA,MF,28.0,33,30,2650.0,29.4,4.0,3.0,7.0,4.0,0.0,0.0,5.0,1.0,0.14,0.1,0.24,0.14,0.24,Matches
Nicola Sansone,it ITA,"FW,MF",22.0,35,30,2495.0,27.7,5.0,4.0,9.0,5.0,0.0,0.0,5.0,1.0,0.18,0.14,0.32,0.18,0.32,Matches
Simone Zaza,it ITA,FW,23.0,31,29,2584.0,28.7,11.0,2.0,13.0,10.0,1.0,2.0,11.0,0.0,0.38,0.07,0.45,0.35,0.42,Matches
Francesco Magnanelli,it ITA,MF,29.0,29,28,2490.0,27.7,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches
Federico Peluso,it ITA,DF,30.0,28,26,2341.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.04,0.04,0.0,0.04,Matches
Paolo Cannavaro,it ITA,DF,33.0,25,25,2100.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
