Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gaetano Letizia,it ITA,"DF,MF",25.0,35,33,2892.0,32.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Vid Belec,si SVN,GK,25.0,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Romagnoli,it ITA,DF,25.0,30,30,2637.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Riccardo Gagliolo,se SWE,DF,25.0,31,29,2637.0,29.3,1.0,0.0,1.0,1.0,0.0,0.0,13.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches
Cristian Zaccardo,it ITA,DF,33.0,27,26,2404.0,26.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Isaac Cofie,gh GHA,MF,23.0,29,26,2149.0,23.9,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Lorenzo Lollo,it ITA,MF,24.0,27,25,2094.0,23.3,3.0,1.0,4.0,3.0,0.0,0.0,14.0,2.0,0.13,0.04,0.17,0.13,0.17,Matches
Raffaele Bianco,it ITA,MF,27.0,26,21,1852.0,20.6,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.05,0.15,0.19,0.05,0.19,Matches
Jerry Mbakogu,ng NGA,FW,22.0,24,20,1692.0,18.8,2.0,2.0,4.0,1.0,1.0,3.0,2.0,0.0,0.11,0.11,0.21,0.05,0.16,Matches
Lorenzo Pasciuti,it ITA,MF,25.0,21,19,1550.0,17.2,2.0,3.0,5.0,2.0,0.0,0.0,6.0,1.0,0.12,0.17,0.29,0.12,0.29,Matches
Antonio Di Gaudio,it ITA,"FW,MF",25.0,29,16,1505.0,16.7,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,0.18,0.18,0.36,0.18,0.36,Matches
Gabriel Silva,br BRA,"DF,MF",24.0,16,14,1282.0,14.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Ryder Matos,br BRA,"FW,MF",22.0,15,14,1197.0,13.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
