Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Albano Bizzarri,ar ARG,GK,37.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Castro,ar ARG,MF,26.0,34,32,2785.0,30.9,3.0,1.0,4.0,3.0,0.0,0.0,9.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches
Valter Birsa,si SVN,"FW,MF",28.0,35,32,2365.0,26.3,6.0,7.0,13.0,4.0,2.0,3.0,4.0,0.0,0.23,0.27,0.49,0.15,0.42,Matches
Massimo Gobbi,it ITA,"DF,MF",34.0,34,31,2788.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Boštjan Cesar,si SVN,DF,33.0,31,30,2717.0,30.2,1.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches
Përparim Hetemaj,fi FIN,MF,28.0,28,26,2255.0,25.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Fabrizio Cacciatore,it ITA,DF,28.0,29,25,2313.0,25.7,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches
Ivan Radovanović,rs SRB,"DF,MF",26.0,26,25,2076.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Rigoni,it ITA,MF,24.0,28,22,1986.0,22.1,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,0.14,0.05,0.18,0.14,0.18,Matches
Alessandro Gamberini,it ITA,DF,33.0,22,22,1809.0,20.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Alberto Paloschi,it ITA,FW,25.0,21,19,1668.0,18.5,8.0,2.0,10.0,7.0,1.0,3.0,1.0,0.0,0.43,0.11,0.54,0.38,0.49,Matches
Riccardo Meggiorini,it ITA,FW,29.0,26,19,1640.0,18.2,5.0,7.0,12.0,5.0,0.0,0.0,8.0,1.0,0.27,0.38,0.66,0.27,0.66,Matches
Nicolas Frey,fr FRA,DF,31.0,19,17,1484.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dario Dainelli,it ITA,DF,36.0,18,15,1378.0,15.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
