Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nicola Leali,it ITA,GK,22.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Ciofani,it ITA,FW,30.0,37,33,2908.0,32.3,9.0,1.0,10.0,7.0,2.0,2.0,1.0,0.0,0.28,0.03,0.31,0.22,0.25,Matches
Federico Dionisi,it ITA,FW,28.0,32,28,2443.0,27.1,9.0,4.0,13.0,8.0,1.0,1.0,11.0,1.0,0.33,0.15,0.48,0.29,0.44,Matches
Leonardo Blanchard,it ITA,DF,27.0,28,27,2452.0,27.2,3.0,1.0,4.0,3.0,0.0,0.0,13.0,1.0,0.11,0.04,0.15,0.11,0.15,Matches
Mirko Gori,it ITA,MF,22.0,28,26,2162.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Paolo Sammarco,it ITA,MF,32.0,28,25,2322.0,25.8,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,0.16,0.04,0.19,0.16,0.19,Matches
Aleandro Rosi,it ITA,"DF,MF",28.0,27,24,2175.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Pavlović,ba BIH,"DF,MF",27.0,22,22,1930.0,21.4,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
Luca Paganini,it ITA,"DF,FW",22.0,27,21,1837.0,20.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches
Danilo Soddimo,it ITA,MF,27.0,28,20,1793.0,19.9,1.0,2.0,3.0,1.0,0.0,0.0,11.0,1.0,0.05,0.1,0.15,0.05,0.15,Matches
Modibo Diakité,fr FRA,DF,28.0,18,18,1620.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Roberto Crivello,it ITA,DF,23.0,17,16,1439.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Robert Gucher,at AUT,MF,24.0,24,15,1372.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arlind Ajeti,al ALB,DF,21.0,16,15,1218.0,13.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.07,0.0,0.07,0.07,0.07,Matches
Matteo Ciofani,it ITA,"DF,MF",27.0,17,14,1282.0,14.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Alessandro Frara,it ITA,MF,32.0,20,14,1162.0,12.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Raman Chibsah,gh GHA,MF,22.0,22,14,1159.0,12.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.16,0.16,0.0,0.16,Matches
Oliver Kragl,de GER,"DF,MF",25.0,15,12,925.0,10.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Aleksandar Tonev,bg BUL,MF,25.0,22,11,1086.0,12.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Adriano Russo,it ITA,DF,28.0,10,9,883.0,9.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Davide Bertoncini,it ITA,"DF,MF",24.0,5,4,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuele Longo,it ITA,FW,23.0,18,3,332.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches
Massimo Zappino,br BRA,GK,34.0,4,3,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolás Castillo,cl CHI,FW,22.0,6,3,308.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
