Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Eros Pisano,it ITA,DF,28.0,34,33,2904.0,32.3,5.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Vangelis Moras,gr GRE,DF,33.0,31,30,2750.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.03,0.03,0.07,0.03,0.07,Matches
Artur Ioniță,md MDA,MF,24.0,31,27,2378.0,26.4,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,0.15,0.08,0.23,0.15,0.23,Matches
Pierluigi Gollini,it ITA,GK,20.0,26,25,2320.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paweł Wszołek,pl POL,"DF,MF",23.0,26,23,1800.0,20.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.25,0.25,0.0,0.25,Matches
Leandro Greco,it ITA,MF,29.0,26,22,1892.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Filip Helander,se SWE,"DF,MF",22.0,24,21,1867.0,20.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Giampaolo Pazzini,it ITA,FW,30.0,30,20,1915.0,21.3,6.0,1.0,7.0,3.0,3.0,4.0,5.0,0.0,0.28,0.05,0.33,0.14,0.19,Matches
Luca Toni,it ITA,FW,38.0,23,20,1775.0,19.7,6.0,0.0,6.0,3.0,3.0,3.0,3.0,0.0,0.3,0.0,0.3,0.15,0.15,Matches
Juanito,ar ARG,FW,30.0,33,19,1842.0,20.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Samuel Souprayen,fr FRA,DF,26.0,20,18,1584.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Viviani,it ITA,MF,23.0,19,17,1592.0,17.7,3.0,6.0,9.0,3.0,0.0,0.0,5.0,1.0,0.17,0.34,0.51,0.17,0.51,Matches
Matteo Bianchetti,it ITA,DF,22.0,23,17,1587.0,17.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Jacopo Sala,it ITA,"DF,FW",23.0,18,17,1477.0,16.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Luca Siligardi,it ITA,"FW,MF",27.0,28,17,1407.0,15.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Emil Hallfreðsson,is ISL,"FW,MF",31.0,16,15,1209.0,13.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
