Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Carlos Bacca,co COL,FW,28.0,38,36,3156.0,35.1,18.0,2.0,20.0,16.0,2.0,2.0,2.0,0.0,0.51,0.06,0.57,0.46,0.51,Matches
Alessio Romagnoli,it ITA,DF,20.0,34,33,2944.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Giacomo Bonaventura,it ITA,"FW,MF",25.0,33,31,2840.0,31.6,6.0,8.0,14.0,6.0,0.0,0.0,8.0,0.0,0.19,0.25,0.44,0.19,0.44,Matches
Riccardo Montolivo,it ITA,MF,30.0,31,31,2680.0,29.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Gianluigi Donnarumma,it ITA,GK,16.0,30,30,2628.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ignazio Abate,it ITA,"DF,MF",28.0,27,27,2248.0,25.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Luca Antonelli,it ITA,"DF,MF",28.0,28,25,2338.0,26.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.12,0.04,0.15,0.12,0.15,Matches
Alex,br BRA,DF,33.0,25,24,2091.0,23.2,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.13,0.04,0.17,0.13,0.17,Matches
Juraj Kucka,sk SVK,MF,28.0,29,24,2077.0,23.1,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,0.04,0.13,0.17,0.04,0.17,Matches
