Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Emiliano Viviano,it ITA,GK,29.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando,br BRA,MF,23.0,35,34,2981.0,33.1,4.0,2.0,6.0,4.0,0.0,0.0,14.0,0.0,0.12,0.06,0.18,0.12,0.18,Matches
Roberto Soriano,it ITA,MF,24.0,37,33,2816.0,31.3,8.0,4.0,12.0,8.0,0.0,0.0,7.0,0.0,0.26,0.13,0.38,0.26,0.38,Matches
Édgar Barreto,py PAR,MF,31.0,30,26,2162.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Mattia Cassani,it ITA,DF,31.0,25,23,2032.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches
Matías Silvestre,ar ARG,DF,30.0,25,21,1975.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Niklas Moisander,fi FIN,DF,29.0,22,19,1779.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Muriel,co COL,FW,24.0,32,19,1692.0,18.8,6.0,5.0,11.0,6.0,0.0,0.0,3.0,0.0,0.32,0.27,0.59,0.32,0.59,Matches
Éder,it ITA,FW,28.0,19,19,1639.0,18.2,12.0,2.0,14.0,9.0,3.0,3.0,2.0,0.0,0.66,0.11,0.77,0.49,0.6,Matches
