Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andrea Consigli,it ITA,GK,28.0,37,37,3270.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Acerbi,it ITA,DF,27.0,36,36,3240.0,36.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Šime Vrsaljko,hr CRO,"DF,MF",23.0,35,35,3060.0,34.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,1.0,0.0,0.12,0.12,0.0,0.12,Matches
Francesco Magnanelli,it ITA,MF,30.0,34,34,3060.0,34.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Federico Peluso,it ITA,DF,31.0,34,34,3037.0,33.7,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Paolo Cannavaro,it ITA,DF,34.0,31,30,2643.0,29.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Nicola Sansone,it ITA,"FW,MF",23.0,37,28,2542.0,28.2,7.0,4.0,11.0,7.0,0.0,0.0,8.0,0.0,0.25,0.14,0.39,0.25,0.39,Matches
Alfred Duncan,gh GHA,MF,22.0,33,27,2488.0,27.6,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,0.04,0.18,0.22,0.04,0.22,Matches
Domenico Berardi,it ITA,"FW,MF",20.0,29,26,2167.0,24.1,7.0,6.0,13.0,4.0,3.0,4.0,10.0,1.0,0.29,0.25,0.54,0.17,0.42,Matches
Grégoire Defrel,mq MTQ,"FW,MF",24.0,33,24,2050.0,22.8,7.0,3.0,10.0,7.0,0.0,0.0,4.0,1.0,0.31,0.13,0.44,0.31,0.44,Matches
Simone Missiroli,it ITA,MF,29.0,24,22,1832.0,20.4,2.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches
Lorenzo Pellegrini,it ITA,MF,19.0,19,13,1150.0,12.8,3.0,0.0,3.0,3.0,0.0,0.0,6.0,1.0,0.23,0.0,0.23,0.23,0.23,Matches
Davide Biondini,it ITA,MF,32.0,22,12,1103.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Falcinelli,it ITA,"FW,MF",24.0,26,11,1117.0,12.4,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.16,0.08,0.24,0.08,0.16,Matches
