Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Emiliano Moretti,it ITA,DF,34.0,35,35,3150.0,35.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Daniele Padelli,it ITA,GK,29.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kamil Glik,pl POL,"DF,MF",27.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Belotti,it ITA,FW,21.0,35,31,2588.0,28.8,12.0,4.0,16.0,8.0,4.0,4.0,4.0,0.0,0.42,0.14,0.56,0.28,0.42,Matches
Bruno Peres,br BRA,"DF,MF",25.0,31,30,2592.0,28.8,3.0,4.0,7.0,3.0,0.0,0.0,9.0,0.0,0.1,0.14,0.24,0.1,0.24,Matches
Giuseppe Vives,it ITA,MF,35.0,33,28,2549.0,28.3,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,0.04,0.04,0.07,0.04,0.07,Matches
Daniele Baselli,it ITA,MF,23.0,35,25,2264.0,25.2,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,0.16,0.12,0.28,0.16,0.28,Matches
Cristian Molinaro,it ITA,"DF,MF",32.0,27,23,1960.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.05,0.05,0.09,0.05,0.09,Matches
Afriyie Acquah,gh GHA,MF,23.0,29,22,1888.0,21.0,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,0.1,0.14,0.24,0.1,0.24,Matches
Marco Benassi,it ITA,MF,20.0,32,21,1910.0,21.2,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,0.14,0.09,0.24,0.14,0.24,Matches
Cesare Bovo,it ITA,DF,32.0,21,20,1789.0,19.9,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Nikola Maksimović,rs SRB,DF,23.0,16,16,1440.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Fabio Quagliarella,it ITA,FW,32.0,16,16,1349.0,15.0,5.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,0.33,0.0,0.33,0.27,0.27,Matches
Davide Zappacosta,it ITA,"DF,MF",23.0,25,13,1266.0,14.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches
Ciro Immobile,it ITA,FW,25.0,14,11,987.0,11.0,5.0,2.0,7.0,3.0,2.0,3.0,2.0,0.0,0.46,0.18,0.64,0.27,0.46,Matches
Alessandro Gazzi,it ITA,MF,32.0,15,11,967.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
